UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement

02.33.07.326	2	13.986013986014	36.4539140859141	68.0247802734375	82.6923076923077	0.5	0	0	0
02.33.08.337	2	29.97002997003	66.9783416583417	57.8866209089987	66.4418604651163	0.5	0	0	0
02.33.09.345	2	29.97002997003	66.3486833166833	51.5951621615203	63.2739726027397	0.5	0	0	0
02.33.10.353	2	29	66.135216	51.8117065981939	59.3	0.5	0	0	0
02.33.11.362	2	29.97002997003	67.9521038961039	61.3547897476812	55.53	0.5	0	0	0
02.33.12.369	2	29.97002997003	66.4198921078921	57.896087367418	54.15	0.5	0	0	0
02.33.13.378	2	28.971028971029	64.5737622377622	55.4945600898453	54.43	0.5	0	0	0
02.33.14.385	2	24	567.856736	37.8252448433113	54.35	0.5	0	0	0
02.33.15.394	2	11.988011988012	24.3273686313686	47.2838928820418	52.7	0.5	0	0	0
02.33.16.403	2	14.985014985015	30.3020739260739	48.4903651090357	51.59	0.5	0	0	0
02.33.17.412	2	8.99100899100899	18.1848551448551	44.8544733693536	51.81	0.5	0	0	0
02.33.18.420	2	9	18.228168	48.241619036599	51.73	0.5	0	0	0
02.33.19.429	2	7.99200799200799	16.2038601398601	49.5922687871809	50.86	0.5	0	0	0
02.33.20.438	2	13.986013986014	28.1474445554446	43.3588369468734	50.01	0.5	0	0	0
02.33.21.448	2	10.9780439121756	22.1664191616766	46.1389598189632	48.82	0.5	0	0	0
02.33.22.455	2	15.984015984016	32.2695464535465	54.8410076586859	48.36	0.5	0	0	0
02.33.23.464	2	13.9720558882236	28.1481676646707	74.1298120732214	51.01	0.5	0	0	0
02.33.24.472	2	16.983016983017	34.0624495504495	53.817329901932	53.85	0.5	0	0	0
02.33.25.482	2	9.99000999000999	20.1643396603397	55.8015794237324	54.35	0.5	0	0	0
02.33.26.490	2	13.986013986014	28.2342617382617	43.8947388177314	54.38	0.5	0	0	0
02.33.27.498	2	14.985014985015	30.2307932067932	37.809746993336	53.24	0.5	0	0	0
02.33.28.507	2	12.987012987013	26.2062257742258	40.8994998091734	53.05	0.5	0	0	0
02.33.29.516	2	9	18.123768	51.8416005855648	55.53	0.5	0	0	0
02.33.29.520	7	0	0	0	0	0.5	0	0	0
02.33.30.528	2	10.9780439121756	21.8909221556886	47.6453531255718	54.24	0.5	0	0	0
02.33.30.532	7	0	0	0	0	0.5	0	0	0
02.33.31.540	2	29.97002997003	60.3282317682318	36.7887987120288	47.56	0.5	0	0	0
02.33.31.544	7	0	0	0	0	0.5	0	0	0
02.33.32.553	2	27.972027972028	56.5518881118881	96.9926014646471	51.43	0.5	0	0	0
02.33.32.557	7	0	0	0	0	0.5	0	0	0
02.33.33.566	2	31.968031968032	64.7637962037962	38.4880596982539	52.41	0.5	0	0	0
02.33.33.570	7	0	0	0	0	0.5	0	0	0
02.33.34.578	2	30	60.828408	44.3044018749968	52.51	0.5	0	0	0
02.33.34.582	7	0	0	0	0	0.5	0	0	0
02.33.35.593	2	29.97002997003	60.7963396603397	33.9909684707452	51.35	0.5	0	0	0
02.33.35.597	7	0	0	0	0	0.5	0	0	0
02.33.36.606	2	29.940119760479	60.757868263473	46.7208969411398	42.42	0.5	0	0	0
02.33.36.610	7	0	0	0	0	0.5	0	0	0
02.33.37.618	2	29.97002997003	60.7698701298701	47.8976054431134	43.63	0.5	0	0	0
02.33.37.622	7	0	0	0	0	0.5	0	0	0
02.33.38.631	2	30	60.813432	45.0199102786347	45.34	0.5	0	0	0
02.33.38.635	7	0	0	0	0	0.5	0	0	0
02.33.39.644	2	28.971028971029	58.8980619380619	43.7510505393333	46.22	0.5	0	0	0
02.33.39.648	7	0	0	0	0	0.5	0	0	0
02.33.40.658	2	29.97002997003	60.8208671328671	51.8122877952415	48.17	0.5	0	0	0
02.33.40.662	7	0	0	0	0	0.5	0	0	0
02.33.41.671	2	29.97002997003	60.8294265734266	41.3412935751548	46.8	0.5	0	0	0
02.33.41.675	7	0	0	0	0	0.5	0	0	0
02.33.42.683	2	30.969030969031	62.9450709290709	48.4602962167387	47.1	0.5	0	0	0
02.33.42.688	7	0	0	0	0	0.5	0	0	0
02.33.43.697	2	30	61.261416	39.8535264008309	45.87	0.5	0	0	0
02.33.43.701	7	0	0	0	0	0.5	0	0	0
02.33.44.711	2	30	62.413344	45.1615160395641	45.18	0.5	0	0	0
02.33.44.715	7	0	0	0	0	0.5	0	0	0
02.33.45.724	2	29.97002997003	63.7274805194805	49.9867099664747	45.6	0.5	0	0	0
02.33.45.729	7	0	0	0	0	0.5	0	0	0
02.33.46.738	2	29.97002997003	81.2858421578422	67.6851385580252	50.52	0.5	0	0	0
02.33.46.743	7	0	0	0	0	0.5	0	0	0
02.33.47.752	2	30	82.121688	71.4617757114443	58.11	0.5	0	0	0
02.33.47.759	7	0	0	0	0	0.5	0	0	0
02.33.48.772	2	28.971028971029	79.4165514485515	60.6891265944222	65.46	0.5	0	0	0
02.33.48.776	7	0	0	0	0	0.5	0	0	0
02.33.49.785	2	29.97002997003	84.1418901098901	54.4146204407742	67.36	0.5	0	0	0
02.33.49.790	7	0	0	0	0	0.5	0	0	0
02.33.50.800	2	29.97002997003	83.4613066933067	52.6125688174876	64.63	0.5	0	0	0
02.33.50.804	7	0	0	0	0	0.5	0	0	0
02.33.51.813	2	28.971028971029	80.7058621378621	61.8375909358497	61.33	0.5	0	0	0
02.33.51.819	7	0	0	0	0	0.5	0	0	0
02.33.52.829	2	29.97002997003	78.8041798201798	57.8412605122838	58.41	0.5	0	0	0
02.33.52.833	7	0	0	0	0	0.5	0	0	0
02.33.53.844	2	29.97002997003	77.6598041958042	61.4404205724981	57.48	0.5	0	0	0
02.33.53.849	7	0	0	0	0	0.5	0	0	0
02.33.54.858	2	27.972027972028	72.4408711288711	67.0941114489742	55.58	0.5	0.05	0	40
02.33.54.862	7	0	0	0	0	0.5	0	0	40
02.33.55.871	2	27.972027972028	60.9900659340659	52.1907092353219	54.21	0.5	0.1	0	40
02.33.55.876	7	0	0	0	0	0.5	0	0	40
02.33.56.885	2	28	56.79168	45.9436089850616	50.81	0.5	0.15	0	40
02.33.56.890	7	0	0	0	0	0.5	0	0	40
02.33.57.899	2	22.977022977023	46.6712967032967	54.7305979661475	47.64	0.5	0.2	0	40
02.33.57.904	7	0	0	0	0	0.5	0	0	40
02.33.58.914	2	23.976023976024	48.8701618381618	37.5251606622517	45.38	0.5	0.15	0	40
02.33.58.919	7	0	0	0	0	0.5	0	0	40
02.33.59.928	2	27.972027972028	56.9808671328671	45.3265927714302	44.84	0.5	0.2	0	40
02.33.59.932	7	0	0	0	0	0.5	0	0	40
02.34.00.940	2	21.978021978022	44.6924595404595	30.7979107292405	43.98	0.5	0.15	0	40
02.34.00.946	7	0	0	0	0	0.5	0	0	40
02.34.01.956	2	26.973026973027	55.0802157842158	37.6304585903572	43.65	0.5	0.1	0	40
02.34.01.961	7	0	0	0	0	0.5	0	0	40
02.34.02.970	2	28.971028971029	59.6213706293706	40.4271188799859	42.45	0.5	0.15	0	40
02.34.02.974	7	0	0	0	0	0.5	0	0	40
02.34.03.984	2	20.979020979021	43.0417582417582	39.4288155685038	40.97	0.5	0.1	0	40
02.34.03.988	7	0	0	0	0	0.5	0	0	40
02.34.04.997	2	28.971028971029	59.4850669330669	35.4834041305423	41.93	0.5	0.05000001	0	40
02.34.05.001	7	0	0	0	0	0.5	0	0	40
02.34.06.010	2	27	55.42524	23.7349892164894	41.48	0.5	7.450581E-09	0	40
02.34.06.015	7	0	0	0	0	0.5	0	0	40
02.34.07.024	2	28.971028971029	59.3594805194805	35.0398599127959	41	0.5	0	0	40
02.34.07.030	7	0	0	0	0	0.5	0	0	40
02.34.08.039	2	29.97002997003	61.5315164835165	39.1297413707522	41.45	0.5	0	0	40
02.34.08.044	7	0	0	0	0	0.5	0	0	40
02.34.09.054	2	29.97002997003	61.4121158841159	54.6123905671433	42.75	0.5	0.05	0	40
02.34.09.059	7	0	0	0	0	0.5	0	0	40
02.34.10.069	2	25.9481037924152	53.2282395209581	49.8107336254774	43.69	0.5	0.1	0	40
02.34.10.073	7	0	0	0	0	0.5	0	0	40
02.34.11.083	2	28.971028971029	59.5103136863137	41.8265002247046	44.51	0.5	0.15	0	40
02.34.11.088	7	0	0	0	0	0.5	0	0	40
02.34.12.098	2	25.974025974026	53.2158161838162	31.1626208709665	43.59	0.5	0.1	0	40
02.34.12.102	7	0	0	0	0	0.5	0	0	40
02.34.13.113	2	26.9461077844311	55.3009580838323	47.5935921606617	43.03	0.5	0.15	0	40
02.34.13.117	7	0	0	0	0	0.5	0	0	40
02.34.14.128	2	22.977022977023	46.9822417582418	39.5550453178396	41.59	0.5	0.1	0	40
02.34.14.132	7	0	0	0	0	0.5	0	0	40
02.34.15.141	2	27.972027972028	57.1723396603397	36.2636505237037	40.73	0.5	0.05000001	0	40
02.34.15.145	7	0	0	0	0	0.5	0	0	40
02.34.16.155	2	29.940119760479	61.148622754491	42.3315053836104	42.28	0.5	0.1	0	40
02.34.16.160	7	0	0	0	0	0.5	0	0	40
02.34.17.170	2	27.972027972028	56.9139020979021	43.7471770768296	42.26	0.5	0.15	0	40
