UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement

02.52.38.754	4	15.984015984016	46.5279200799201	72.0595840409052	67.8666666666667	0.699999988079071	0	0	0
02.52.39.762	4	30.938123752495	81.8361437125748	57.5423557493326	69.9347826086957	0.699999988079071	0	0	0
02.52.40.771	4	30.969030969031	82.3881638361638	53.3961978866176	65.2236842105263	0.699999988079071	0	0	0
02.52.41.778	4	28.971028971029	77.3917762237762	80.0784943246684	65.29	0.699999988079071	0	0	0
02.52.42.787	4	28.971028971029	78.0653826173826	132.267708988962	74.53	0.699999988079071	0	0	0
02.52.43.794	4	30.969030969031	84.773010989011	103.751164835107	91.76	0.699999988079071	0	0	0
02.52.44.803	4	30.969030969031	85.6474405594406	82.0706321603388	99.71	0.699999988079071	0	0	0
02.52.45.812	4	28.971028971029	79.1646593406594	114.470333480247	99.72	0.699999988079071	0	0	0
02.52.46.821	4	28.971028971029	79.4581978021978	168.79537324426	107.43	0.699999988079071	0	0	0
02.52.47.829	4	24.975024975025	69.1391568431568	300.726936163622	144.96	0.699999988079071	0	0	0
02.52.48.838	4	24.9500998003992	67.9533652694611	492.727560229785	228.78	0.699999988079071	0	0	0
02.52.49.847	4	20.979020979021	57.4306813186813	753.726289789178	335.12	0.699999988079071	0	0	0
02.52.50.856	4	20.979020979021	57.0524115884116	1123.46199024461	480.66	0.699999988079071	0	0	0
02.52.51.866	4	27.972027972028	75.7882597402597	1447.41524928114	775.55	0.699999988079071	0	0	0
02.52.52.874	4	31.968031968032	86.6582697302697	1214.4304859249	1014.62	0.699999988079071	0	0	0
02.52.53.883	4	29.940119760479	81.0097005988024	1094.10511026411	1157.43	0.699999988079071	0	0	0
02.52.54.891	4	30.938123752495	85.0688143712575	1142.63094735166	1151.74	0.699999988079071	0	0	0
02.52.55.901	4	30.969030969031	84.1698221778222	1010.28781246878	1100.73	0.699999988079071	0.05	0	1000
02.52.56.910	4	26.9461077844311	73.7629221556886	1083.49986936999	1073.95	0.699999988079071	0.1	0	1000
02.52.57.919	4	22.977022977023	62.8038281718282	1291.9120582631	1113.47	0.699999988079071	0.15	0	1000
02.52.58.928	4	22.977022977023	62.2096303696304	1541.12700507523	1189.49	0.699999988079071	0.2	0	1000
02.52.59.938	4	20.9580838323353	56.3103952095808	1677.81485876648	1327.34	0.699999988079071	0.25	0	1000
02.53.00.947	4	19.98001998002	54.0187492507493	1912.06735490956	1513.63	0.699999988079071	0.3	0	1000
02.53.01.956	4	21.978021978022	59.9267532467533	2219.11597008564	1705.02	0.699999988079071	0.35	0	1000
02.53.02.964	4	22	59.318232	2265.68154257258	1887.45	0.699999988079071	0.4	0	1000
02.53.03.973	4	20.979020979021	56.4660539460539	2367.93650600783	2079.11	0.699999988079071	0.45	0	1000
02.53.04.983	4	19.9600798403194	54.0504191616767	2448.97571859595	2231.49	0.699999988079071	0.5000001	0	1000
02.53.05.992	4	19.98001998002	54.043996003996	2434.12291000542	2332.17	0.699999988079071	0.5500001	0	1000
02.53.07.001	4	23.976023976024	65.0954805194805	2204.9169549249	2375.02	0.699999988079071	0.6000001	0	1000
02.53.08.010	4	21	56.908656	1568.05719309271	2301.46	0.699999988079071	0.6500001	0	1000
02.53.09.020	4	23	62.246208	592.105401263953	2023.92	0.699999988079071	0.6000001	0	1000
02.53.10.028	4	19	51.582768	54.2992423083987	1602	0.699999988079071	0.5500001	0	1000
02.53.11.037	4	11	29.858088	71.2621111134629	1334.31	0.699999988079071	0.5000001	0	1000
02.53.12.046	4	10.9780439121756	29.8248622754491	44.8422466664374	1076.44	0.699999988079071	0.45	0	1000
02.53.13.057	4	13.986013986014	37.9909450549451	30.7406967963942	739.3	0.699999988079071	0.4	0	1000
02.53.14.067	4	17.982017982018	48.7440719280719	52.7362692347785	389.27	0.699999988079071	0.35	0	1000
