DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
75	0	22	0	367977	1
64	11	35	24	368850	0
79	48	8	21	367779	0
57	47	3	42	366852	0
142	51	13	61	367617	1
49	6	29	22	365817	0
57	75	16	62	365151	1
96	6	31	21	365574	0
62	33	19	21	365556	0
58	29	11	21	364989	0
65	40	12	41	363783	0
60	29	4	21	362091	0
65	38	7	41	360840	0
72	40	8	41	359274	0
76	38	10	40	356430	0
77	34	18	42	353226	0
77	34	4	20	348870	0
80	36	10	42	344109	0
75	61	10	61	338340	0
71	30	2	22	336387	0
142	6	16	20	341211	0
78	34	3	21	334956	0
86	41	4	42	332895	0
86	34	11	41	331410	0
87	34	17	40	330555	0
89	35	3	21	329745	0

79	24	21	42	329529	0
81	34	8	21	329169	0
48	35	14	41	328746	0
50	34	1	21	328602	0
74	57	6	62	326973	0
179	6	21	21	328863	0
65	21	20	20	325083	0
66	33	8	21	323184	0
68	35	14	41	321186	0
63	28	7	21	320295	0
58	29	19	41	319998	0
69	44	17	42	321483	0
57	22	16	21	324210	0
59	34	2	20	325749	0
54	28	15	41	328305	0
54	34	2	21	329547	0
54	34	9	41	332841	0
66	45	5	41	335109	0
55	23	3	21	335388	0
63	41	4	42	334155	0
54	24	1	21	333084	0
55	35	8	42	333840	0
46	25	4	21	335010	0
54	40	5	41	335280	0
49	29	18	42	335046	0
44	28	11	21	334830	0
41	29	2	20	337017	0
51	45	18	61	338745	0
58	40	20	42	337719	0
58	33	7	20	337467	0
69	45	4	42	336054	0

64	29	16	41	334398	0
74	43	14	41	332841	0
74	33	2	21	332463	0
84	43	21	62	332895	0
86	35	7	21	332166	0
82	30	19	42	331113	0
83	34	6	21	330402	0
73	24	3	21	331095	0
68	28	16	41	330510	0
68	33	3	20	328620	0
58	23	1	21	328044	0
64	39	4	42	328503	0
54	23	2	21	329295	0
55	35	9	42	330501	0
49	28	1	20	331446	0
55	39	3	41	331752	0
54	32	12	41	331275	0
54	34	19	41	330780	0
55	33	7	21	330186	0
58	36	13	42	329745	0
53	29	5	21	329781	0
54	35	11	41	330051	0
48	27	4	20	330015	0
47	33	13	42	329862	0
50	36	18	41	329682	0
54	38	1	21	329808	0
49	28	15	42	330483	0
57	41	16	42	330960	0
53	30	7	21	331806	0
54	34	14	41	332733	0

68	46	10	42	333813	0
74	40	11	41	334479	0
70	30	2	21	334947	0
70	34	9	41	335073	0
73	35	15	41	335037	0
73	35	1	21	335235	0
77	36	6	41	335307	0
82	38	8	40	335577	0
82	34	17	43	335820	0
83	34	4	21	336540	0
85	35	10	41	336189	0
86	34	17	41	335982	0
87	34	4	21	335811	0
89	35	10	41	335676	0
89	35	16	41	335667	0
79	23	14	21	335460	0
87	41	14	41	335469	0
92	39	17	42	335496	0
83	24	13	20	335487	0
90	40	14	41	335181	0
80	24	11	21	335361	0
81	34	18	41	335316	0
87	38	1	21	335271	0
87	34	8	41	335703	0
87	33	16	41	335892	0
90	36	2	22	335928	0
96	40	2	40	336306	0
91	29	15	42	336738	0
98	40	17	42	336423	0

96	33	4	20	336234	0
98	35	11	42	336351	0
104	39	12	40	336774	0
111	40	13	41	337008	0
102	24	10	21	337332	0
97	29	2	21	337053	0
101	36	8	42	337350	0
74	40	9	41	337287	0
82	41	10	42	337683	0
89	41	10	41	337440	0
94	38	15	43	337386	0
95	35	1	21	337494	0
112	50	12	61	337647	0
119	40	13	41	337224	0
111	59	17	63	337467	1
417	6	32	21	337557	1
113	28	25	21	337485	1
184	6	40	21	337377	1
119	35	26	21	337449	0
114	28	19	21	337395	0
115	34	6	21	337368	0
116	35	12	41	337674	0
107	24	9	21	337620	0
101	27	3	21	337593	0
109	41	3	41	337665	0
103	28	17	42	337800	0
103	33	5	21	337629	0
110	40	6	41	337530	0
122	45	2	41	337665	0
112	24	20	42	337674	0

119	41	20	41	337584	0
118	32	8	20	337809	0
118	34	15	41	337809	0
113	27	10	22	338196	0
120	40	11	41	338394	0
120	34	18	41	338763	0
110	24	15	21	339762	0
110	33	3	21	340617	0
119	41	4	42	340059	0
109	24	1	21	341211	0
126	50	14	63	342984	0
113	55	21	62	345729	0
122	42	20	41	345774	0
122	33	7	20	346503	1
228	6	22	21	344721	1
112	18	25	21	348834	0
113	35	11	21	350535	0
115	34	18	41	352290	0
115	33	5	20	354189	0
104	23	3	21	354927	0
105	34	11	42	354315	0
92	22	9	20	354099	0
100	40	11	42	352812	0
95	29	3	21	350967	0
91	29	15	41	349815	0
85	27	9	21	348195	0
87	35	15	41	346827	0
87	34	2	21	345972	0
87	33	11	42	346062	0
87	33	19	41	345693	0
86	33	7	21	345027	0

76	23	5	21	344775	0
78	35	12	42	345288	0
74	29	3	20	344820	0
76	35	9	41	344568	0
82	39	12	42	345072	0
76	29	3	20	345045	0
87	45	20	62	344865	0
89	34	7	21	344460	0
88	33	15	41	344586	0
85	30	6	21	344397	0
84	33	14	41	344505	0
97	46	9	41	344190	0
93	29	1	21	344037	0
90	29	13	41	344091	0
92	36	19	42	344253	0
93	34	6	21	343920	0
89	29	18	41	343776	0
89	35	4	21	343947	0
85	29	17	42	343623	0
87	35	3	21	343668	0
83	30	14	41	343281	0
73	23	11	20	343110	0
74	34	18	41	343137	0
81	41	18	41	343038	0
70	22	17	21	343461	0
81	44	15	42	342858	0
82	35	1	21	342687	0
79	29	14	42	342489	0
79	33	1	20	342327	0
78	33	9	41	342471	0

84	40	10	41	342354	0
73	22	10	22	341571	0
73	34	16	40	342039	0
79	40	18	42	341553	0
81	35	5	22	341463	0
83	35	11	41	341409	0
80	30	2	21	341652	0
82	35	8	41	341112	0
93	45	4	41	340680	0
89	30	16	42	341013	0
91	34	3	21	340860	0
108	51	13	61	340653	0
115	40	14	41	340707	0
110	29	6	21	340329	0
118	41	7	42	340590	0
115	30	18	41	340536	0
118	35	4	21	340446	0
111	28	17	41	340500	0
118	40	18	41	340203	0
114	28	11	21	340230	0
119	40	12	41	340491	0
121	34	19	41	340293	0
131	44	16	41	340176	0
125	27	9	20	339942	0
132	41	10	42	340230	0
128	29	2	21	340104	0
140	46	18	62	340230	0
135	28	11	21	340212	0

137	36	16	41	340086	0
135	63	14	61	339717	0
142	41	15	42	340365	0
136	29	7	21	340149	0
143	40	8	41	340275	1
281	5	24	21	340149	0
151	36	9	21	340248	0
153	35	16	42	340311	0
143	24	13	21	340293	0
167	56	19	62	340293	0
173	40	21	42	340599	0
168	28	14	21	341544	0
170	34	1	21	342732	0
168	33	9	41	343929	0
181	46	5	42	344811	0
177	29	17	41	346125	0
174	64	16	63	350391	0
175	34	3	21	352956	0
169	28	17	42	354027	0
187	51	7	41	353649	0
177	23	4	20	352596	0
355	12	13	21	347880	0
191	36	19	42	351471	0
201	43	17	41	350589	0
201	34	4	21	348924	0
213	44	1	41	348366	0
214	35	8	42	347718	0
216	35	15	42	347493	0
217	35	1	21	346809	0

228	44	18	61	345414	0
229	33	6	21	344649	0
241	46	1	41	345000	0
260	52	11	62	345504	0
273	48	4	41	346296	0
273	32	13	41	347367	0
308	69	5	61	348879	0
304	29	17	41	349572	0
310	40	18	41	348375	0
311	34	5	21	346080	0
318	40	5	40	344208	0
277	26	21	42	341994	0
283	39	2	20	341526	0
305	56	8	62	341247	0
308	36	13	41	340617	0
314	39	15	41	340383	0
321	41	16	42	339960	0
334	46	10	40	339681	0
335	34	17	41	339573	0
335	34	4	21	339285	0
347	45	1	42	339303	0
342	28	13	40	339087	0
349	41	14	42	339141	0
357	41	15	42	338799	0

370	47	10	42	338961	0
363	60	11	61	339672	0
378	46	6	41	340104	0
389	46	2	42	340401	0
408	53	13	64	340473	0
415	40	14	41	341004	0
416	34	1	21	341103	0
422	39	3	41	340941	0
696	40	4	41	339042	0
434	6	19	21	341643	0
437	36	4	21	341616	0
445	41	4	41	341634	0
462	49	17	62	341418	0
461	35	2	20	341751	0
471	41	3	42	341472	0
466	63	2	62	341769	0
506	6	17	21	341517	0
474	35	3	21	341769	0
454	47	19	63	342120	0
462	41	20	42	341796	0
468	39	2	21	341724	0
475	41	2	41	341769	0
481	39	4	41	341625	0
480	33	13	42	341778	0
493	46	9	42	341814	0

509	82	10	83	341850	0
526	51	20	61	342390	0
509	83	17	80	341958	1
688	12	26	21	341913	1
972	17	30	21	341877	0
572	68	4	42	342246	0
707	33	12	41	342282	0
725	52	1	41	342246	0
688	63	21	83	342291	0
701	46	17	42	342399	0
708	41	17	41	342336	0
756	81	17	81	342750	0
764	41	17	41	343272	0
789	59	21	63	343578	0
809	52	11	42	343641	0
826	52	20	61	343380	0
850	57	5	42	343047	0
822	72	14	81	340671	0
835	45	10	41	339906	0

853	53	18	61	339546	0
866	46	13	41	339150	0
878	47	7	41	339042	0
907	62	8	63	339564	0
922	47	3	42	339339	0
948	58	8	63	339348	0
959	46	4	42	338970	0
979	53	14	63	339060	0
961	83	14	83	338664	0
981	52	3	41	338655	0
934	53	12	62	338610	0
951	51	2	41	338745	0
1201	17	6	21	339186	0
1236	69	20	83	338907	0
977	40	21	41	338520	0
986	41	2	22	338601	0
1758	6	16	20	342543	1
1228	5	32	21	338709	0
1235	40	13	21	338592	0
987	52	2	41	338592	0
984	29	14	41	338367	0
983	33	2	21	338565	0
989	39	3	40	338574	0

984	62	3	62	338565	0
952	34	11	42	338475	0
1397	12	20	21	338529	1
1081	17	24	21	338412	0
1005	91	14	81	338520	1
1111	6	29	21	338457	1
1069	24	27	22	338556	0
998	30	17	20	338583	0
1481	50	9	42	338673	0
1593	12	18	21	338547	0
1139	45	14	41	338556	0
1079	41	14	41	338637	0
1579	33	2	21	338673	0
1167	22	1	21	338484	0
1103	35	7	41	338772	0
1103	34	14	41	338520	0
1226	57	19	62	338664	0
1151	24	16	21	338601	1
2557	5	32	21	341526	0
1158	35	18	21	338646	0
1161	36	3	21	338799	0
1162	35	9	41	338871	0
