DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
48	0	4	0	305750	1	52390	48003
79	2	10	8	304580	0	52391	48004
42	26	2	18	304607	0	52389	48002
46	37	4	39	305615	0	52390	48003
78	66	6	68	310214	1	52391	48004
46	1	11	6	321239	0	52390	48003
43	29	6	24	336917	0	52389	48002
82	74	1	69	347105	0	52391	48004
52	2	5	6	354791	0	52390	48003
47	29	4	28	360803	0	52391	48004
51	70	1	67	372647	0	52390	48003
97	13	4	16	368156	0	52391	48004
50	54	3	53	378182	0	52390	48003
89	6	2	5	375698	0	52391	48004
56	66	6	70	379136	1	52390	48003
94	5	7	6	379469	0	52391	48004
69	41	1	35	378353	0	52390	48003
62	27	2	28	376337	0	52389	48002
43	48	1	47	370334	0	52390	48003
82	5	2	6	373223	0	52391	48004
48	33	4	35	366878	0	52390	48003
42	62	1	59	359588	0	52390	48003
81	4	3	6	363017	0	52391	48004
42	28	5	30	355997	0	52390	48003
65	56	6	57	353612	0	52391	48004
65	33	5	32	351524	0	52389	48002
61	30	3	28	350219	0	52391	48004
57	29	3	29	348806	0	52390	48003

58	34	3	34	348500	0	52390	48003
48	24	2	23	346574	0	52389	48002
49	34	3	35	345890	0	52391	48004
67	52	4	53	343901	0	52390	48003
55	20	5	21	342506	0	52389	48002
59	37	2	34	341624	0	52391	48004
48	24	1	23	343028	0	52390	48003
44	29	2	30	344225	0	52391	48004
58	47	1	46	344513	0	52391	48004
50	25	5	29	343946	0	52390	48003
46	30	4	29	343613	0	52391	48004
55	41	5	42	342695	0	52391	48004
44	24	5	24	341993	0	52390	48003
42	30	4	29	341561	0	52390	48003
62	53	2	51	340922	0	52391	48004
51	24	1	23	340265	0	52389	48002
45	27	4	30	339959	0	52391	48004
27	48	3	47	339599	0	52390	48003
35	42	5	44	339761	0	52391	48004
47	45	1	41	340346	0	52390	48003
60	46	1	46	340571	0	52391	48004
48	22	1	22	340841	0	52390	48003
50	34	1	34	342299	0	52391	48004
52	36	5	40	342407	0	52391	48004
43	25	3	23	343487	0	52390	48003
68	57	2	56	343910	0	52391	48004
64	31	5	34	345107	0	52391	48004
57	25	3	23	345467	0	52390	48003
54	30	2	29	345584	0	52391	48004

53	33	3	34	346214	0	52390	48003
51	32	5	34	346511	0	52391	48004
43	25	2	22	346646	0	52390	48003
43	34	2	34	347321	0	52391	48004
55	45	4	47	347456	0	52391	48004
52	29	4	29	347591	0	52390	48003
55	38	6	40	347942	0	52391	48004
25	36	6	36	348329	0	52391	48004
40	48	3	45	347897	0	52391	48004
43	36	1	34	347744	0	52391	48004
51	42	5	46	347681	0	52391	48004
49	31	3	29	347258	0	52390	48003
44	28	3	28	347528	0	52391	48004
58	48	5	50	347060	0	52391	48004
48	23	4	22	346988	0	52390	48003
42	28	3	27	346520	0	52391	48004
54	45	4	46	346214	0	52391	48004
50	30	2	28	346430	0	52390	48003
49	31	5	34	345944	0	52391	48004
41	25	4	24	345449	0	52390	48003
37	31	5	32	345971	0	52391	48004
46	41	5	41	345908	0	52391	48004
37	24	5	24	346016	0	52390	48003
35	33	1	29	346106	0	52391	48004
43	41	5	45	346142	0	52391	48004
64	54	1	50	346394	0	52391	48004
63	33	2	34	346160	0	52390	48003
59	29	1	28	346340	0	52391	48004
47	21	3	23	346601	0	52390	48003
54	40	4	41	345854	0	52391	48004

54	34	3	33	345548	0	52391	48004
44	23	3	23	344081	0	52390	48003
48	38	6	41	342866	0	52390	48003
49	33	1	28	341651	0	52391	48004
40	23	5	27	341345	0	52390	48003
33	28	6	29	341552	0	52391	48004
48	48	4	46	341390	0	52391	48004
53	38	6	40	341093	0	52391	48004
47	28	2	24	340472	0	52390	48003
45	31	5	34	340121	0	52391	48004
51	40	1	36	338762	0	52391	48004
42	23	6	28	337952	0	52390	48003
47	40	2	36	336836	0	52391	48004
45	31	5	34	335891	0	52391	48004
25	47	5	47	334298	0	52391	48004
34	42	2	39	333290	0	52391	48004
44	44	3	45	332948	0	52391	48004
56	45	2	44	332075	0	52391	48004
44	20	5	23	332327	0	52390	48003
37	28	1	24	332327	0	52391	48004
52	48	5	52	332048	0	52391	48004
41	22	1	18	332750	0	52390	48003
36	29	1	29	333236	0	52391	48004
52	48	6	53	333938	0	52391	48004
41	23	5	22	334847	0	52390	48003
38	31	2	28	334820	0	52391	48004
52	46	2	46	335324	0	52391	48004
56	38	4	40	336278	0	52391	48004
46	23	3	22	336521	0	52390	48003

47	35	3	35	337241	0	52391	48004
54	40	3	40	337628	0	52391	48004
44	24	2	23	338240	0	52390	48003
42	31	1	30	338438	0	52391	48004
52	42	4	45	338249	0	52391	48004
41	23	5	24	338663	0	52390	48003
38	30	3	28	338924	0	52391	48004
46	41	2	40	339437	0	52391	48004
59	47	1	46	340238	0	52391	48004
50	24	6	29	340076	0	52390	48003
46	29	1	24	340220	0	52391	48004
59	47	1	47	340355	0	52391	48004
52	27	2	28	340625	0	52390	48003
53	33	4	35	340436	0	52391	48004
42	24	4	24	340229	0	52390	48003
42	32	5	33	340040	0	52391	48004
53	44	2	41	339977	0	52391	48004
41	22	3	23	340004	0	52390	48003
36	30	1	28	340337	0	52391	48004
45	40	3	42	340301	0	52391	48004
55	44	4	45	340103	0	52391	48004
47	25	1	22	340463	0	52390	48003
45	31	6	36	340751	0	52390	48003
57	46	2	42	340697	0	52391	48004
53	29	1	28	341174	0	52390	48003
56	36	6	41	340562	0	52391	48004
43	21	2	17	340409	0	52390	48003
39	30	1	29	341048	0	52391	48004
56	49	6	54	340994	0	52391	48004
50	27	2	23	340931	0	52390	48003

46	30	1	29	340625	0	52391	48004
82	69	2	70	340427	0	52391	48004
71	24	1	23	340958	0	52390	48003
65	27	2	28	340355	0	52389	48002
66	34	3	35	340184	0	52391	48004
56	23	3	23	340166	0	52390	48003
53	30	1	28	340337	0	52391	48004
50	31	4	34	340517	0	52389	48002
46	29	4	29	339869	0	52391	48004
35	22	5	23	340094	0	52390	48003
35	34	1	30	339806	0	52389	48002
42	40	2	41	340553	0	52391	48004
58	49	5	52	340292	0	52391	48004
52	27	1	23	339356	0	52390	48003
49	32	3	34	339473	0	52391	48004
43	26	5	28	339644	0	52390	48003
51	42	2	39	340031	0	52391	48004
49	31	4	33	339923	0	52391	48004
47	31	3	30	340481	0	52390	48003
46	34	4	35	339869	0	52391	48004
50	38	1	35	339617	0	52391	48004
43	24	5	28	339743	0	52390	48003
42	33	1	29	339617	0	52390	48003
53	43	5	47	339023	0	52391	48004
41	22	6	23	339140	0	52390	48003
41	34	2	30	339293	0	52390	48003
46	38	6	42	339140	0	52391	48004
23	44	2	40	338762	0	52391	48004
36	46	5	49	338546	0	52391	48004

43	41	3	39	338951	0	52391	48004
60	49	3	49	339500	0	52391	48004
52	27	5	29	338663	0	52390	48003
49	29	5	29	338438	0	52391	48004
42	26	2	23	338492	0	52390	48003
45	37	6	41	338402	0	52391	48004
48	36	4	34	338807	0	52391	48004
38	24	4	24	338771	0	52390	48003
40	36	1	33	338960	0	52391	48004
46	38	5	42	338933	0	52391	48004
38	25	2	22	338447	0	52390	48003
36	33	1	32	338969	0	52391	48004
46	42	4	45	338807	0	52391	48004
54	41	1	38	338618	0	52391	48004
47	27	2	28	338213	0	52390	48003
41	27	5	30	338744	0	52390	48003
56	48	5	48	338321	0	52391	48004
47	25	4	24	338816	0	52390	48003
41	26	5	27	338492	0	52391	48004
55	48	1	44	338906	0	52391	48004
50	29	6	34	338825	0	52390	48003
49	32	2	28	338483	0	52391	48004
38	22	3	23	338492	0	52390	48003
32	28	4	29	338870	0	52391	48004
41	42	2	40	338717	0	52391	48004
49	42	4	44	338987	0	52391	48004
41	25	3	24	338852	0	52390	48003
39	31	1	29	338708	0	52391	48004
50	44	3	46	338438	0	52391	48004
44	28	4	29	339122	0	52390	48003
46	36	3	35	338411	0	52391	48004

55	41	4	42	338942	0	52391	48004
45	24	2	22	338951	0	52390	48003
43	31	5	34	338762	0	52391	48004
52	43	3	41	338564	0	52391	48004
51	32	6	35	338807	0	52390	48003
48	30	4	28	338447	0	52391	48004
35	20	1	17	338636	0	52390	48003
30	29	2	30	338384	0	52391	48004
45	48	4	50	338762	0	52391	48004
53	41	3	40	338510	0	52391	48004
44	25	1	23	338834	0	52390	48003
42	31	3	33	338879	0	52390	48003
50	42	1	40	338888	0	52391	48004
39	22	2	23	339473	0	52390	48003
45	40	3	41	338870	0	52391	48004
46	33	4	34	339230	0	52391	48004
65	53	4	53	339473	0	52391	48004
55	23	4	23	339095	0	52390	48003
49	27	5	28	339293	0	52391	48004
39	24	3	22	339185	0	52390	48003
39	33	5	35	338978	0	52391	48004
47	41	4	40	339212	0	52391	48004
56	43	6	45	340202	0	52391	48004
49	26	4	24	339914	0	52390	48003
42	26	5	27	341282	0	52391	48004
53	45	6	46	342497	0	52391	48004
49	29	6	29	342785	0	52390	48003
42	26	4	24	344306	0	52391	48004
54	47	2	45	345197	0	52391	48004
48	27	4	29	345791	0	52390	48003

50	34	6	36	345782	0	52391	48004
57	42	6	42	346547	0	52391	48004
53	28	2	24	347339	0	52390	48003
54	34	1	33	348041	0	52391	48004
43	23	6	28	349013	0	52390	48003
45	36	4	34	348896	0	52391	48004
50	37	2	35	349328	0	52391	48004
40	25	6	29	349166	0	52390	48003
40	32	4	30	349310	0	52391	48004
45	38	5	39	348653	0	52391	48004
57	46	6	47	349445	0	52390	48003
53	29	6	29	349445	0	52389	48002
48	29	5	28	348923	0	52391	48004
41	26	2	23	349499	0	52390	48003
38	30	5	33	348563	0	52390	48003
46	41	5	41	348149	0	52391	48004
57	45	2	42	347852	0	52391	48004
54	30	1	29	347681	0	52390	48003
49	29	1	29	347537	0	52391	48004
41	25	6	30	346727	0	52390	48003
37	30	6	30	346718	0	52391	48004
51	46	1	41	346736	0	52391	48004
41	24	6	29	346142	0	52390	48003
36	28	1	23	346097	0	52391	48004
49	46	2	47	345953	0	52391	48004
41	27	2	27	346538	0	52390	48003
