DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
1580	0	5	0	385940	0	53215	48004
1581	32	5	32	386246	0	53214	48003
1533	53	3	51	386696	0	53215	48004
1708	109	9	115	386093	0	53213	48002
1691	15	0	6	386219	0	53212	48001
1642	18	4	22	386849	0	53211	48000
1774	165	8	169	387056	0	53211	48000
1793	53	9	54	385877	0	53215	48004
1769	10	5	6	385283	0	53214	48003
1751	15	0	10	383321	0	53213	48002
1737	19	4	23	381404	0	53212	48001
1710	7	6	9	378497	0	53211	48000
1720	43	5	42	376454	0	53211	48000
1738	51	8	54	380819	0	53211	48000

