DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
225	0	28	0	402501	1
243	6	56	34	401781	0
289	92	10	46	402708	0
301	46	14	50	402447	0
293	24	14	24	402906	0
483	224	13	223	402762	0
486	69	15	71	402798	0
500	49	12	46	402429	1
476	9	27	24	402996	1
459	16	36	25	403311	1
614	21	36	21	402636	0
507	61	21	46	403410	0
504	97	13	89	403428	0
591	20	19	26	403518	0
570	79	9	69	402861	0
666	29	4	24	403428	0
632	66	10	72	403932	0

652	54	21	65	403473	0
678	58	14	51	403437	0
694	49	13	48	403986	0
713	54	13	54	403590	0
734	54	6	47	403140	0
901	334	17	345	403662	1
1045	9	35	27	403932	1
1019	9	51	25	403797	1
1020	33	41	23	403851	0
951	64	23	46	403590	1
1064	13	36	26	403815	0
1045	49	10	23	403599	0
988	10	24	24	404121	0
1026	71	25	72	404121	0
1062	103	15	93	403455	0

1193	96	12	93	403878	0
1121	29	7	24	404058	0
1045	58	0	51	403356	0
1217	104	10	114	403329	0
1326	10	27	27	404013	0
1315	56	18	47	404175	0
1280	98	11	91	403788	0
1292	45	12	46	403365	0
1404	12	24	24	403536	0
1282	44	4	24	403311	0
1349	134	12	142	403743	0
1397	82	6	76	403851	0
1521	57	15	66	403698	1
1597	10	34	29	403518	0
1471	39	20	25	403293	0
1502	65	22	67	403464	0
1528	59	12	49	404058	0
1544	49	8	45	403644	0

1564	54	21	67	403788	0
1590	59	9	47	403950	0
1620	63	18	72	403869	0
1648	63	5	50	403824	0
1682	66	10	71	403779	0
1685	36	0	26	403257	0
1710	60	9	69	403410	0
1736	58	28	77	403644	0
1764	61	13	46	403617	0
1793	64	0	51	403653	0
1823	62	3	65	403779	0
1839	49	5	51	403167	0
1853	48	11	54	404103	0
1875	54	4	47	403149	0
1903	62	12	70	403734	0
1922	52	10	50	403779	0
1947	58	27	75	403446	0
1947	34	18	25	403023	0

1956	43	26	51	403041	0
1977	54	23	51	403167	0
2007	63	9	49	403464	0
2022	50	9	50	403500	0
2012	90	8	89	403671	0
1976	64	19	75	402555	0
1991	47	18	46	403626	0
1971	46	23	51	403221	0
2280	43	6	26	402987	0
1781	68	6	68	403131	0
2398	83	15	92	403140	0
2124	26	14	25	403086	0
2133	43	16	45	403266	0
2178	78	8	70	402924	0
1865	55	6	53	403518	0
2098	65	11	70	403149	0
2101	36	23	48	403356	0
2144	78	17	72	403347	0

1859	80	6	69	403158	0
1999	6	28	28	402924	1
2039	8	42	22	403257	0
1940	102	12	72	402942	0
1850	43	15	46	403248	0
2130	46	15	46	403203	0
1863	66	21	72	402789	0
1925	95	19	93	402735	1
1906	15	29	25	403059	0
2069	29	22	22	402303	0
1792	58	15	51	402888	0
1845	85	21	91	402618	0
1766	21	22	22	401664	0
2026	28	17	23	402897	0
1842	115	12	110	401709	0
1687	112	15	115	401430	0
1659	70	13	68	404436	0

2054	64	26	77	401250	1
1932	12	37	23	401628	0
2200	66	20	49	402015	1
1949	16	30	26	401124	1
1803	22	36	28	405075	0
1822	52	9	25	403833	0
1780	90	17	98	406740	0
1690	46	16	45	372270	0
1674	48	16	48	358185	0
1681	41	21	46	348321	0
1658	43	4	26	329520	0
1676	53	15	64	325677	0
1642	30	7	22	324363	0
1658	50	5	48	323427	0
1617	25	4	24	323157	0

2144	562	23	581	324183	2
1485	6	41	24	359607	4
1593	9	59	27	359715	6
1567	8	73	22	359157	8
1172	6	90	23	357843	9
2116	8	111	29	328359	8
1326	10	128	27	358365	8
2068	9	144	25	335289	8
2048	14	154	24	338214	7
2022	8	171	25	341319	6
1529	7	189	25	359202	5
1970	7	205	23	342903	4
1881	11	219	25	347871	3
1822	7	237	25	352506	2
1143	55	204	22	356295	1
1202	26	202	24	356205	0
1994	291	0	89	358482	0
1501	207	23	230	355575	0
1468	101	15	93	354585	0

1473	39	23	47	353379	0
2123	50	22	49	358131	0
1835	413	20	411	352569	0
1845	42	23	45	352362	0
1865	53	15	45	353010	0
2358	28	11	24	357573	0
1842	116	9	114	352326	0
1823	47	6	44	351642	0
1800	43	8	45	351282	0
1730	30	0	22	350787	0
1712	50	21	71	351363	1
2321	9	34	22	352542	0

1913	292	12	270	350778	1
2454	8	27	23	352551	3
1830	9	42	24	350841	5
1806	9	59	26	351507	4
1712	6	77	24	350634	4
1686	8	92	23	350562	3
1661	7	109	24	350184	3
1636	8	128	27	350805	2
1635	34	118	24	350679	2
1646	43	99	24	351237	1
1663	51	74	26	350715	1
1620	56	44	26	351129	1
1619	34	37	27	350670	1
1624	37	24	24	350751	0
1566	43	5	24	351066	0
1590	57	18	70	350301	0
1603	48	13	43	350490	0
1507	36	0	23	349149	0
1521	47	4	51	348393	0
1542	55	17	68	348402	0
1550	41	0	24	348384	0
1558	40	8	48	348510	0
1537	46	9	47	348501	0
1553	49	7	47	348825	0

1571	53	24	70	348708	0
1585	46	26	48	348276	0
1608	57	13	44	348879	0
1520	79	4	70	347997	0
1424	37	18	51	346692	0
1417	60	8	50	347322	0
1304	53	4	49	349473	0
1322	52	20	68	348780	0
1155	33	15	28	346206	0
1891	35	5	25	348168	0
1897	40	12	47	348186	0
1171	41	0	29	345567	0
1142	38	9	47	344424	0
1766	24	10	25	347007	0
1197	97	7	94	345963	0
1206	44	12	49	346836	0
1187	46	13	47	350085	0
1722	34	4	25	348708	0
1169	82	11	89	352785	0
1185	49	5	43	352569	0
1198	47	5	47	350823	0

1545	12	17	24	345288	0
1189	77	15	75	346791	0
1142	55	12	52	349527	0
1460	17	19	24	352461	0
1097	37	6	24	349131	0
1096	33	22	49	349203	0
1110	47	22	47	348528	0
1002	60	8	46	349122	0
1039	69	6	67	349455	0
1046	74	22	90	349833	0
1073	59	10	47	349032	0
1726	53	3	46	346737	0
1101	8	20	25	348915	0
1048	48	17	45	349230	0
1005	23	19	25	348816	0
1028	56	11	48	348294	0
989	28	8	25	348186	0
944	56	15	63	348294	0
950	39	22	46	348456	0
781	65	4	47	348573	0
787	39	8	43	348798	0

703	83	18	93	350004	0
685	47	18	47	348456	0
683	33	6	21	348051	0
663	45	4	43	350580	0
1264	68	2	66	348060	0
1272	42	6	46	346719	0
752	13	19	26	350778	0
671	20	28	29	349158	1
1118	13	39	24	349716	0
591	73	13	47	349203	0
506	49	6	42	348690	0
524	51	22	67	348672	0
538	47	0	25	348600	0
540	36	14	50	348366	0
1149	41	20	47	348600	0
595	47	18	45	348204	0
606	43	19	44	348078	0
447	76	7	64	346710	0
387	39	15	47	343803	0
364	43	25	53	334911	1
736	6	44	25	348123	0
327	92	22	70	309774	0
784	22	23	23	347421	0
279	31	13	21	298443	0

279	31	5	23	295248	0
297	52	0	47	292080	0
264	33	16	49	288588	1
1472	9	36	29	349806	0
264	58	26	48	287508	0
238	41	10	25	286212	0
178	39	13	42	288183	0
175	31	9	27	290046	0
483	9	24	24	290424	0
137	54	14	44	295212	0
63	59	7	52	312006	0
90	159	7	159	317100	0
97	174	12	179	316650	0
160	163	8	159	319197	0
164	37	17	46	319161	0
166	37	4	24	319557	0

189	56	11	63	318828	0
192	35	22	46	318378	0
114	57	15	50	317595	0
117	36	4	25	317676	0
81	64	13	73	317811	0
74	59	20	66	318108	0
106	65	25	70	318000	0
97	59	16	50	318297	0
92	61	0	45	318756	0
116	58	16	74	318999	0
118	34	7	25	318612	0
139	54	20	67	318423	0
103	199	12	191	316938	0
115	45	13	46	317127	0
139	90	13	90	317892	0
158	52	9	48	318432	0

179	54	24	69	318306	0
192	48	27	51	318693	0
200	73	20	66	319323	0
257	24	20	24	319440	0
182	26	17	23	319359	0
191	41	24	48	319782	0
216	60	13	49	320385	0
194	45	15	47	320745	0
197	36	7	28	321789	0
165	68	5	66	323454	0
248	16	12	23	322608	0
200	52	4	44	323769	0
136	68	11	75	323877	0
142	40	17	46	323868	0
131	56	6	45	324579	0
105	41	12	47	326208	0
75	102	5	95	326316	0
111	71	6	72	325551	0
101	56	15	65	325299	0

118	117	13	115	323859	0
112	61	24	72	322797	0
115	35	14	25	322446	0
136	55	5	46	321906	0
60	58	17	70	322032	0
85	158	13	154	321870	0
111	225	16	228	321366	0
151	75	4	63	321024	0
152	33	18	47	321384	0
151	67	22	71	320106	0
151	33	17	28	318765	0
150	32	9	24	318423	0
184	68	15	74	317793	0

