Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	UTC
 
4	2.997002997003	9.35503696303696	153.5	201.5	0.5	0	11.21.58.301
4	8.96414342629482	28.0150996015936	830.573486328125	528.461538461538	0.5	0	11.21.59.307
4	11.9521912350598	37.3387410358566	1396.28925457597	826.576923076923	0.5	0	11.22.00.312
4	13.9303482587065	43.4339582089552	1996.90492488126	1184.25	0.5	0	11.22.01.319
4	15.9680638722555	49.3862754491018	2446.04397292862	1488.54545454545	0.5	0	11.22.02.324
4	19.9203187250996	56.8378087649402	2743.54429962348	1805.43421052632	0.5	0	11.22.03.327
4	24.8756218905473	73.2380656716418	3021.59803846742	2065.2	0.5	0	11.22.04.335
4	21.978021978022	64.473038961039	3251.43960554576	2615.83	0.5	0.9	11.22.05.337
4	24.9252243270189	64.9395014955135	3424.04346575973	2967.45	0.5	0.9	11.22.06.342
4	22.8174603174603	64.1661904761905	3629.49272769949	3203.84	0.5	0.9	11.22.07.351
4	20.8747514910537	63.1263220675944	3894.57670305772	3389.82	0.5	0.9	11.22.08.358
4	21.978021978022	65.2987012987013	4214.82798257927	3653.75	0.5	0.9	11.22.09.361
4	23.9043824701195	68.7873227091633	4427.84394989347	3900.56	0.5	0.9	11.22.10.366
4	22.8855721393035	67.1314149253731	4694.91840611028	4160.06	0.5	0.9	11.22.11.371
4	20.9163346613546	61.8066932270916	4991.59739871903	4418.46	0.5	0.9	11.22.12.377
4	22.9540918163673	65.8028023952096	5198.28762826904	4686.21	0.5	0.9	11.22.13.381
4	21.9123505976096	63.0388924302789	5461.58538355237	4910.89	0.5	0.9	11.22.14.387
4	21.9560878243513	62.1036886227545	5705.14327962224	5173.86	0.5	0.9	11.22.15.390
4	23.976023976024	67.072999000999	5903.52510834594	5435.34	0.5	0.9	11.22.16.392
4	23.8568588469185	66.7880159045726	6124.31773921997	5671.34	0.5	0.9	11.22.17.399
4	22.9312063808574	64.2562791625125	6354.24689427826	5897.07	0.5	0.9	11.22.18.404
4	25.8706467661692	72.5518328358209	4518.74851419013	5948.75	0.5	0.9	11.22.19.410
4	7.97607178464606	22.3847976071785	694.201049079194	5535.66	0.5	0.9	11.22.20.414
4	3.98803589232303	11.7817507477567	196.95006556745	5309.21	0.5	0.9	11.22.21.418
4	1.99203187250996	5.98415139442231	103.487516391862	5194.28	0.5	0.9	11.22.22.421
4	0	0	103.487516391862	5194.28	0.5	0.9	11.22.23.425
4	3.98009950248756	9.72374925373134	86.3429697744914	4964.41	0.5	0.9	11.22.24.431
4	4	10.772016	66.7928712218114	4790.55	0.5	0	11.22.25.433
4	16.9491525423729	51.1612522432702	396.855528204889	3831.84	0.5	0	11.22.26.438
4	21	61.71804	694.368752341774	2722.56	0.5	0	11.22.27.443
4	20.9371884346959	61.1758803589232	1071.09991296977	1525.14	0.5	0	11.22.28.447
4	21.8905472636816	64.1046686567164	1265.2527010679	700.91	0.5	0	11.22.29.454
4	21.868787276342	64.2616699801193	1581.87490278547	929.73	0.5	0	11.22.30.459
4	20.9371884346959	61.6860538384845	1817.1004056334	1210.63	0.5	0	11.22.31.463
4	21.8905472636816	62.7637492537313	2083.54245927344	1493.01	0.5	0	11.22.32.470
4	25.8706467661692	67.3484895522388	2255.04810442157	1785.98	0.5	0	11.22.33.476
4	20.979020979021	63.4786813186813	2541.41423321917	2032.44	0.5	0	11.22.34.478
4	21.8905472636816	64.0069492537313	2802.52339301449	2268.64	0.5	0	11.22.35.483
4	22.977022977023	66.6352207792208	3054.66497749369	2516.21	0.5	0	11.22.36.486
4	22.9312063808574	66.9408095712861	3168.36341468453	2739.41	0.5	0	11.22.37.491
4	20.8747514910537	61.065662027833	3532.66685728591	3010.34	0.5	0	11.22.38.496
4	22.9312063808574	66.6044267198405	3813.7478185495	3267.22	0.5	0	11.22.39.500
4	20.9371884346959	61.0959122632104	4105.64803194792	3496.31	0.5	0	11.22.40.504
4	20.9163346613546	61.1094980079681	4413.65635482026	3763.77	0.5	0	11.22.41.511
4	17.8926441351889	52.0258687872763	4773.51329672377	3994.25	0.5	0	11.22.42.516
4	18.9431704885344	55.7003868394816	5120.19038679752	4281.07	0.5	0	11.22.43.520
4	9.9601593625498	29.2320956175299	5668.98163123711	4479.63	0.5	0	11.22.44.527
4	19.98001998002	58.6086953046953	6104.72094058115	4924.04	0.5	0	11.22.45.531
4	20.8955223880597	61.3150567164179	6441.48704563186	5378.43	0.5	0	11.22.46.537
4	22.9312063808574	67.2109351944167	6586.5548100348	5796.67	0.5	0	11.22.47.540
4	2.98804780876494	8.74577689243028	7804.6387025087	5870.07	0.5	0	11.22.48.543
4	19.9600798403194	58.4798562874252	7515.30045379515	6424.48	0.5	0	11.22.49.547
4	21.9341974077767	64.2523788634098	8341.34656865608	6997.51	0.5	0	11.22.50.553
4	16.9491525423729	49.6237686939182	8529.21253332765	7495.86	0.5	0	11.22.51.557
4	21.868787276342	64.0453836978131	8743.69807007462	8052.06	0.5	0	11.22.52.564
4	21.9341974077767	64.3207178464606	8977.76698749019	8474.2	0.5	0	11.22.53.568
4	19.9401794616152	58.5081954137587	9335.46731651639	8792.69	0.5	0	11.22.54.574
4	19.98001998002	58.6329350649351	9925.21805903179	9060.7	0.5	0.9	11.22.55.577
4	20.9371884346959	61.4050887337986	10073.4049954934	9376.42	0.5	0.9	11.22.56.582
4	17.9282868525896	52.5360478087649	10419.7294594002	9633.92	0.5	0.9	11.22.57.588
4	20	58.841616	10788.0816705031	9957.55	0.5	0.9	11.22.58.590
4	19.8807157057654	58.6081192842942	11139.5610447709	10292.58	0.5	0.9	11.22.59.598
4	19.9004975124378	58.6930865671642	11451.4636197672	10633.36	0.5	0.9	11.23.00.602
4	19.9203187250996	58.4542948207171	11774.136286224	10967.67	0.5	0.9	11.23.01.606
4	20.9371884346959	61.4180817547358	12054.5336110917	11336.65	0.5	0.9	11.23.02.610
4	15.9045725646123	46.6717693836978	12448.0023732546	11590.41	0.5	0.9	11.23.03.617
4	14.9402390438247	43.8486454183267	13035.6597901115	11883.48	0.5	0.9	11.23.04.623
4	19.9401794616152	58.4811326021934	13384.2228199575	12287.96	0.5	0.9	11.23.05.627
4	21.8905472636816	64.1086089552239	13659.337735706	12726.34	0.5	0.9	11.23.06.634
4	18.9431704885344	55.4619900299103	14020.2790896182	13111.39	0.5	0.9	11.23.07.639
4	18.9431704885344	55.4858943170489	14400.0011582929	13518.27	0.5	0.9	11.23.08.644
4	23	67.338912	13291.5182933829	13729.18	0.5	0.9	11.23.09.646
4	16.9154228855721	49.7021134328358	13700.8983212215	13811.58	0.5	0.9	11.23.10.654
4	21.9341974077767	62.9849491525424	13986.2756299851	13934.63	0.5	0.9	11.23.11.658
4	22.8401191658391	64.5168381330685	14246.4361217351	14078.3	0.5	0.9	11.23.12.666
4	21.9341974077767	61.9782412761715	14947.8110097494	14169.34	0.5	0.9	11.23.13.672
4	22.9083665338645	64.7623266932271	15630.3396347536	14536.05	0.5	0.9	11.23.14.676
4	20.8955223880597	58.8447044776119	15147.6009637545	14847.79	0.5	0.9	11.23.15.683
4	21.9341974077767	61.7981335992024	15693.1842481852	15268.3	0.5	0.9	11.23.16.689
4	23.8805970149254	67.5547701492537	15770.2798327427	15501	0.5	0.9	11.23.17.696
4	21.9560878243513	63.8437604790419	16372.9958470535	15739.5	0.5	0.9	11.23.18.699
4	18.9243027888446	54.8877609561753	16297.0958633344	15921.57	0.5	0.9	11.23.19.705
4	12.909632571996	37.6267805362463	16810.771862288	16069.76	0.5	0.9	11.23.20.713
4	19.8807157057654	57.6499324055666	14927.0982673377	16252.74	0.5	0.9	11.23.21.719
4	18.9054726368159	53.4266029850746	9800.88247117831	15681.6	0.5	0.9	11.23.22.724
4	20.9163346613546	58.7127729083665	1860.79806984183	13766.91	0.5	0.9	11.23.23.730
4	13.9442231075697	40.1145896414343	3390.88579706024	11804.87	0.5	0.9	11.23.24.733
4	4.97512437810945	14.3099223880597	1016.77946557907	10994.36	0.5	0.9	11.23.25.739
4	0.997008973080758	2.87578863409771	544.889732789533	10832.84	0.5	0.9	11.23.26.743
4	2.98804780876494	8.61267729083665	154.486216598692	10343.27	0.5	0.9	11.23.27.748
4	1.98412698412698	5.71354761904762	103.121554149673	10019.69	0.5	0.9	11.23.28.758
4	1.99600798403194	5.74725748502994	82.2803885374182	9693.64	0.5	0.5	11.23.29.761
4	11.9521912350598	34.3426374501992	126.345840033466	7859.69	0.5	0.5	11.23.30.767
4	17.9461615154536	51.6782691924227	118.667147342377	4619.08	0.5	0.5	11.23.31.772
4	16.9322709163347	48.5360796812749	158.259257006032	2441.81	0.5	0.5	11.23.32.775
4	19.9004975124378	56.9297671641791	186.142016658074	839.34	0.5	0.5	11.23.33.780
4	9.97008973080758	28.6130967098704	138.581193375643	663.53	0.5	0.5	11.23.34.785
4	13.9303482587065	40.1432358208955	620.927317040207	206.53	0.5	0.5	11.23.35.792
4	16.8650793650794	48.3585476190476	129.35589571883	194.46	0.5	0.5	11.23.36.801
4	18.8305252725471	54.1338196233895	133.592924796859	196.42	0.5	0.5	11.23.37.812
4	14.9402390438247	42.9683665338645	120.007037137598	200.52	0.5	0.5	11.23.38.816
4	16.9322709163347	48.7082629482072	153.789634758279	194.68	0.5	0.5	11.23.39.820
4	12.9611166500499	37.2754935194417	108.868748734712	182.09	0.5	0.5	11.23.40.825
4	12.9353233830846	37.1931462686567	123.931380462492	162.91	0.5	0.5	11.23.41.832
4	13.9303482587065	40.2017671641791	132.232112511015	130.81	0.5	0.5	11.23.42.839
4	12.9482071713147	37.3575537848606	92.7691933731093	128.34	0.5	0.5	11.23.43.845
4	15.984015984016	46.1390769230769	170.511701730296	119.67	0.5	0.5	11.23.44.848
4	18.9431704885344	54.7027956131605	127.111531279949	131.35	0.5	0.5	11.23.45.853
4	15	43.318008	106.664801729204	127.42	0.5	0.5	11.23.46.855
4	17.8748758689176	51.6389433962264	300.412303285221	148.34	0.5	0.5	11.23.47.864
4	19.9600798403194	56.7471137724551	114.785704052261	169.11	0.5	0.5	11.23.48.867
4	14.9551345962114	41.0738105682951	317.660637991457	182.28	0.5	0.5	11.23.49.871
4	14.9402390438247	41.1116414342629	257.405507221618	187.51	0.5	0.5	11.23.50.877
4	14.9551345962114	41.1097746759721	151.54279801963	195.45	0.5	0.5	11.23.51.880
4	13.9442231075697	38.2926454183267	78.4078090086682	199.49	0.5	0.5	11.23.52.885
4	13.986013986014	39.4435324675325	95.3965703008428	192.79	0.5	0.5	11.23.53.889
4	10.9452736318408	31.6607044776119	125.839696428296	173.18	0.5	0.5	11.23.54.894
4	14.8957298907646	43.1001151936445	113.191396465846	160.39	0.5	0.5	11.23.55.904
4	12.9224652087475	37.4214870775348	90.8634150022257	153.03	0.5	0.5	11.23.56.911
4	15.9362549800797	46.1372509960159	117.848170880585	142.37	0.5	0.5	11.23.57.917
4	14.9551345962114	43.2853519441675	104.172330446943	122.13	0.5	0.5	11.23.58.922
4	13.9720558882236	40.4424910179641	93.3896694739315	117.51	0.5	0.5	11.23.59.926
4	17.9461615154536	51.092075772682	212.680875357321	130.09	0.5	0.5	11.24.00.932
4	15.8730158730159	44.8505238095238	136.351420301443	140.08	0.5	0.5	11.24.01.941
4	16.9491525423729	48.017443668993	95.2455547441124	139.73	0.5	0.5	11.24.02.944
4	10.989010989011	31.4785774225774	105.862608778014	140.9	0.5	0.5	11.24.03.946
4	10.9780439121756	31.579377245509	96.5516907269424	137.25	0.5	0.5	11.24.04.949
4	15.9680638722555	46.0716886227545	156.813218740562	139.47	0.5	0.5	11.24.05.952
4	15.9045725646123	45.9736699801193	348.83762837553	160.21	0.5	0.5	11.24.06.959
4	12.9611166500499	37.407146560319	408.486044342865	177.68	0.5	0.5	11.24.07.964
4	19.9203187250996	57.3923665338645	313.72465395262	211.33	0.5	0.5	11.24.08.970
4	14.8957298907646	43.0637934458788	109.61559638449	215.72	0.5	0.5	11.24.09.979
4	10.989010989011	31.7511848151848	92.0025542933442	217.88	0.5	0.5	11.24.10.982
4	14	40.669896	100.380249179339	220.34	0.5	0.5	11.24.11.984
4	15.9680638722555	44.9039520958084	93.7113829059538	213.16	0.5	0.5	11.24.12.989
4	14.985014985015	39.0741338661339	81.1935682840461	190.32	0.5	0.5	11.24.13.992
4	11.9521912350598	36.595577689243	112.965355660191	160.93	0.5	0.5	11.24.14.998
4	15.9362549800797	48.7703426294821	300.817397542658	137.68	0.5	0.4	11.24.16.002
4	19.98001998002	61.1605594405594	323.056765382192	162.01	0.5	0.4	11.24.17.006
4	23.9520958083832	62.421628742515	232.466698173092	196.22	0.5	0.4	11.24.18.009
4	19.9203187250996	50.7083426294821	143.862563578318	198.48	0.5	0.4	11.24.19.015
4	20.9580838323353	53.283880239521	253.638492518694	228.54	0.5	0.4	11.24.20.019
4	19.9600798403194	50.8597844311377	149.029082907193	216.63	0.5	0.4	11.24.21.022
4	16.9322709163347	43.1642629482072	103.482849342979	192.01	0.5	0.4	11.24.22.027
4	16.9154228855721	43.2018388059701	325.855777609629	181.75	0.5	0.4	11.24.23.034
4	17.8926441351889	45.6446361829026	304.287512632581	208.93	0.5	0.4	11.24.24.040
4	23.9520958083832	61.0718083832335	281.024506705255	231.73	0.5	0.4	11.24.25.044
4	20.9580838323353	54.1825149700599	182.092186933638	235.24	0.5	0.4	11.24.26.047
4	13	37.186368	486.366255950651	257.82	0.5	0.4	11.24.27.049
4	22	63.042	201.965694032088	295	0.5	0.4	11.24.28.051
4	18.9243027888446	54.0032509960159	188.092225963009	262.98	0.5	0.4	11.24.29.057
4	17.9282868525896	51.2037609561753	130.772713059334	240.31	0.5	0.4	11.24.30.061
4	16.8818272095333	48.4069275074479	108.261763659336	214	0.5	0.3	11.24.31.068
4	17.9282868525896	51.441203187251	191.464344204157	204.99	0.5	0.3	11.24.32.074
4	19.8609731876862	55.9506971201589	243.541413750023	176.06	0.5	0.3	11.24.33.082
4	21.8905472636816	61.462447761194	349.84041382857	212.49	0.5	0.3	11.24.34.088
4	19.98001998002	56.1241558441559	288.69408647557	266.8	0.5	0.3	11.24.35.090
4	24	67.610016	757.686202453157	370.39	0.5	0.3	11.24.36.093
4	19.9600798403194	56.280119760479	783.588416903592	477.09	0.5	0.3	11.24.37.096
4	20.8955223880597	58.8990089552239	1415.56449965878	549.63	0.5	0.3	11.24.38.103
4	20.9580838323353	59.0828982035928	399.949183256388	558.15	0.5	0.3	11.24.39.107
4	20.9163346613546	58.7867091633466	325.906293141647	556.41	0.5	0.3	11.24.40.111
4	23.9520958083832	61.7978443113772	947.555708465168	574.85	0.5	0.3	11.24.41.115
4	22.8628230616302	60.6722862823062	2776.0367469258	626.21	0.5	0.3	11.24.42.122
4	20.8955223880597	58.9381253731343	1543.82595445478	755.44	0.5	0.3	11.24.43.129
4	17.982017982018	55.1135184815185	637.284040119084	778.18	0.5	0.3	11.24.44.132
4	11.9760479041916	36.5858443113773	1160.85672269543	823.85	0.5	0.3	11.24.45.135
4	18.981018981019	57.9184495504496	780.438044411395	890.34	0.5	0.3	11.24.46.140
4	18.9054726368159	57.6152119402985	486.608242870416	880.32	0.5	0.3	11.24.47.146
4	21.9560878243513	67.0388502994012	900.707658197461	875.08	0.5	0.2	11.24.48.150
4	18.9431704885344	57.862037886341	1311.70630589992	859.81	0.5	0.2	11.24.49.156
4	22.8174603174603	62.2482619047619	1332.62600896992	976.46	0.5	0.2	11.24.50.164
4	20.9163346613546	53.7429800796813	2310.94951021768	1094.86	0.5	0.2	11.24.51.170
4	22.9083665338645	61.2420717131474	2623.76925491685	1210.99	0.5	0.2	11.24.52.175
4	18.9431704885344	56.1697866400798	1636.83280504668	1299.49	0.5	0.2	11.24.53.179
