Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	UTC
 
7	1.96656833824975	4.76344542772861	-68.5	-222.666666666667	0.5	0	05.28.30.273
7	4.92125984251969	11.9224251968504	300.6875	67.3333333333333	0.5	0	05.28.31.289
7	4.92125984251969	11.9286614173228	1466.365234375	632	0.5	0	05.28.32.305
7	3.91006842619746	9.48276832844575	2431.29266357422	1191.625	0.5	0	05.28.33.328
7	3.91389432485323	9.49500587084149	3230.89329147339	1605.85	0.5	0	05.28.34.350
7	3.93700787401575	9.5427874015748	4108.18083071709	2012.66666666667	0.5	0	05.28.35.366
7	3.93313667649951	9.53786430678466	5095.01130191982	2432.67857142857	0.5	0	05.28.36.382
7	4.92125984251969	11.9386535433071	6051.21910318499	2947.63636363636	0.5	0	05.28.37.398
7	4.92125984251969	11.9443937007874	6978.47559697453	3458.92105263158	0.5	0	05.28.38.414
7	3.93700787401575	9.54385039370079	7835.59222481091	3873.85714285714	0.5	0	05.28.39.430
7	0.980392156862745	2.37348235294118	8539.57402810136	4189.88888888889	0.5	0	05.28.40.450
7	3.92156862745098	9.52131764705882	9446.79918837817	4697.26	0.5	0	05.28.41.470
7	3.9177277179236	9.51721057786484	10263.6749492736	5101.87037037037	0.5	0	05.28.42.491
7	3.92927308447937	9.53443614931238	11093.3546843296	5507.70689655172	0.5	0	05.28.43.509
7	4.91159135559921	11.9087622789784	12125.9798338853	6016.69841269841	0.5	0	05.28.44.528
7	3.91006842619746	9.47713782991202	12975.1237396178	6425.4328358209	0.5	0	05.28.45.550
7	3.93700787401575	9.53577165354331	13784.0702337261	6834.0985915493	0.5	0	05.28.46.566
7	3.92927308447937	9.52269548133595	14642.8793896079	7244.42666666667	0.5	0	05.28.47.584
7	4.91159135559921	11.9076306483301	15644.1524809252	7756.5	0.5	0	05.28.48.602
7	3.9177277179236	9.49718315377081	16500.0720300578	8167.89285714286	0.5	0	05.28.49.623
7	3.93700787401575	9.5476062992126	17333.5045018786	8579.69318181818	0.5	0	05.28.50.639
7	3.92156862745098	9.5012705882353	18169.6565313674	8992.36956521739	0.5	0	05.28.51.659
7	3.92156862745098	9.50748235294118	18988.9160332105	9404.57291666667	0.5	0	05.28.52.679
7	4.92125984251969	11.929937007874	20026.7473760378	10024.24	0.5	0	05.28.53.695
7	3.93313667649951	9.52122713864307	20860.4842110024	10848.95	0.5	0	05.28.54.712
7	3.92156862745098	9.50741176470588	21686.6552631876	11674.6	0.5	0	05.28.55.733
7	3.92156862745098	9.50938823529412	22536.7909539492	12493.01	0.5	0	05.28.56.752
7	4.8780487804878	11.8260995121951	23554.5559673109	13522.45	0.5	0	05.28.57.777
7	3.90625	9.4633125	24404.1597479569	14350.28	0.5	0	05.28.58.816
7	3.92927308447937	9.52545383104126	25209.0724842473	15177.56	0.5	0	05.28.59.850
7	3.92541707556428	9.51483415112856	26039.7545302655	16001.06	0.5	0	05.29.00.869
7	4.91642084562439	11.9142418879056	27077.0860790708	17030.42	0.5	0	05.29.01.886
7	3.93700787401575	9.54562204724409	27907.5053799419	17855.72	0.5	0	05.29.02.902
7	3.93700787401575	9.54016535433071	28724.5315862464	18679.12	0.5	0	05.29.03.917
7	3.91389432485323	9.49620352250489	29559.4707241404	19503.96	0.5	0	05.29.04.939
7	4.91159135559921	11.9044479371316	30597.1084601294	20541.5	0.5	0	05.29.05.957
7	3.96825396825397	9.62273809523809	31429.1942787581	21371.64	0.5	0	05.29.07.012
7	3.91389432485323	9.48591780821918	32254.8871424224	22201.49	0.5	0	05.29.08.034
7	3.92927308447937	9.52227111984283	33078.4929464014	23031.15	0.5	0	05.29.09.051
7	3.92156862745098	9.50381176470588	34118.327904575	24068.17	0.5	0	05.29.10.071
7	3.92541707556428	9.50932286555446	34940.5829940359	24897.68	0.5	0	05.29.11.090
7	3.93700787401575	9.54172440944882	35771.1614371272	25726.74	0.5	0	05.29.12.122
7	4.8828125	11.8245	36805.2862949102	26763.65	0.5	0	05.29.13.146
7	3.9177277179236	9.49125954946131	37641.2053934319	27592.55	0.5	0	05.29.14.167
7	3.92541707556428	9.5046594700687	38471.9503370895	28421.13	0.5	0	05.29.15.186
7	3.92541707556428	9.51179587831207	39327.8093960681	29250.65	0.5	0	05.29.16.205
7	3.93313667649951	9.52526253687316	40133.9880872543	30079.81	0.5	0	05.29.17.222
7	4.89236790606654	11.859686888454	41166.5621277267	31115.84	0.5	0	05.29.18.244
7	3.91389432485323	9.47711154598826	42005.7851329829	31945.05	0.5	0	05.29.19.266
7	3.9177277179236	9.48470127326151	42829.5490708114	32774.1	0.5	0	05.29.20.287
7	3.93313667649951	9.52151032448378	43657.0343169257	33602.31	0.5	0	05.29.21.305
7	4.89715964740451	11.8568462291871	44699.2510724039	34638.98	0.5	0	05.29.22.326
7	3.92927308447937	9.5218467583497	45560.7031920252	35468.42	0.5	0	05.29.23.344
7	3.92927308447937	9.53033398821218	46384.9189495016	36298.7	0.5	0	05.29.24.362
7	3.93700787401575	9.53648031496063	47210.1824343438	37128.82	0.5	0	05.29.25.378
7	3.92541707556428	9.51610598626104	48038.5739021465	37959.02	0.5	0	05.29.26.397
7	4.90196078431373	11.8830823529412	49078.4241844421	38996.61	0.5	0	05.29.27.416
7	3.93700787401575	9.53293700787402	49902.0890115276	39827.15	0.5	0	05.29.28.432
7	3.93700787401575	9.55249606299213	50730.3180632205	40657.35	0.5	0	05.29.29.448
7	3.93700787401575	9.54661417322835	51564.6448789513	41487.78	0.5	0	05.29.30.463
7	4.91159135559921	11.9108133595285	52592.9889024672	42525.44	0.5	0	05.29.31.482
