DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
-459	0	172	0	302601	1
-336	156	47	31	302754	0
173	393	31	377	302844	0

328	203	16	188	302925	0
455	94	15	93	303114	1
336	15	32	32	302799	0

1066	797	16	781	302952	0
1045	78	32	94	302898	0
1375	297	16	281	302682	0
1471	63	15	62	303015	0
1668	297	0	282	303294	0

2460	625	31	656	302601	0
2355	161	31	161	303285	0
2367	47	15	31	303015	0
2498	31	15	31	302835	0
2513	47	31	63	302511	0

3194	815	35	819	303150	0
3293	66	32	63	302736	0
3321	94	33	95	303447	1
3304	17	47	31	303276	0

3863	626	16	595	303519	0
3938	141	31	156	303096	0
4148	110	15	94	303033	0
4300	218	16	219	303339	0
4527	328	0	312	302871	0

4779	219	0	219	303078	0
5243	564	0	564	302871	0
5323	46	16	62	303114	0
5429	172	0	156	302790	0

5459	63	0	63	303159	0
5999	641	15	656	303069	0
6111	78	31	94	303177	0
6237	93	32	94	303375	0

6294	157	31	156	303060	0
6849	656	31	656	303375	0
7009	125	0	94	303348	0
6973	31	32	63	303339	0
7120	47	16	31	303357	0

7669	782	16	782	303240	0
7810	109	32	125	303186	1
7859	16	47	31	303771	0
7988	94	15	62	303402	0

8570	816	16	817	302619	1
8653	16	31	31	303339	0
8683	63	31	63	302790	0

8925	343	32	344	302619	0
9139	47	16	31	303321	0
9219	281	16	281	303717	0
9452	266	31	281	303276	0
9658	239	16	224	303564	0

9860	235	31	250	303411	0
10076	250	35	254	304113	0
10281	238	17	220	303474	0
10484	236	31	250	303897	0

10684	234	16	219	303150	0
10901	250	16	250	303276	0
11104	235	31	250	303240	0
11320	250	33	252	303330	0
11524	237	15	219	303411	0

11727	237	0	222	303141	0
11944	250	31	281	302979	0
12145	234	16	219	303393	0
12344	234	32	250	302889	0

12562	251	31	250	302988	0
12766	236	16	221	303546	0
12968	236	0	220	303105	0
13218	283	31	314	302880	0

13389	204	16	189	302358	0
13590	235	31	250	303069	0
13791	234	16	219	302610	0
14008	250	16	250	302772	0

14223	250	16	250	302592	0
14428	237	0	221	302682	0
14629	235	15	250	302862	0
14893	297	31	313	303204	0

15047	187	32	188	303015	0
15248	235	17	220	302754	0
15450	236	0	219	302934	0
15651	234	16	250	302763	0
15868	250	16	250	303339	0

16085	251	16	251	303456	0
16318	266	31	281	303024	0
