DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
-474	0	15	0	302609	0	57311	48001
-351	156	15	156	302762	0	57310	48000

157	392	16	393	302852	0	57314	48004
312	203	16	203	302933	0	57312	48002
439	94	16	94	303122	0	57313	48003
321	16	15	15	302807	0	57310	48000

1051	797	15	797	302960	0	57314	48004
1030	78	15	78	302906	0	57311	48001
1360	297	15	297	302690	0	57312	48002
1455	62	16	63	303023	0	57313	48003

1652	297	16	297	303302	0	57314	48004
2445	626	15	625	302609	0	57310	48000
2339	160	16	161	303293	0	57311	48001
2351	47	16	47	303023	0	57314	48004
2482	31	16	31	302843	0	57313	48003

2497	47	16	47	302519	0	57312	48002
3179	816	15	815	303158	0	57312	48002
3278	66	15	66	302744	0	57313	48003
3306	94	15	94	303455	0	57311	48001

3288	16	16	17	303284	0	57314	48004
3848	627	15	626	303527	0	57312	48002
3922	140	16	141	303104	0	57314	48004
4132	110	16	110	303041	0	57313	48003

4285	219	15	218	303347	0	57311	48001
4512	328	15	328	302879	0	57312	48002
4764	219	15	219	303086	0	57313	48003

5227	563	16	564	302879	0	57314	48004
5308	47	15	46	303122	0	57311	48001
5414	172	15	172	302798	0	57313	48003
5443	62	16	63	303167	0	57312	48002

5983	641	16	641	303077	0	57313	48003
6095	78	16	78	303185	0	57314	48004
6222	94	15	93	303383	0	57311	48001
6278	156	16	157	303068	0	57312	48002

6833	656	16	656	303383	0	57313	48003
6993	125	16	125	303356	0	57314	48004
6958	32	15	31	303347	0	57312	48002
7105	47	15	47	303365	0	57311	48001

7653	781	16	782	303248	0	57312	48002
7795	110	15	109	303194	0	57313	48003
7843	15	16	16	303779	0	57314	48004
7972	94	16	94	303410	0	57311	48001

8539	801	0	785	302627	0	57312	48002
8637	31	16	47	303347	0	57314	48004
8667	63	16	63	302798	0	57313	48003
8910	344	15	343	302627	0	57310	48000
9124	47	15	47	303329	0	57311	48001
9204	281	15	281	303725	0	57310	48000

9437	266	15	266	303284	0	57310	48000
9643	239	15	239	303572	0	57310	48000
9844	234	16	235	303419	0	57310	48000
10060	250	16	250	304121	0	57310	48000
10266	239	15	238	303482	0	57310	48000

10468	235	16	236	303905	0	57310	48000
10668	234	16	234	303158	0	57310	48000
10885	250	16	250	303284	0	57310	48000
11088	235	16	235	303248	0	57310	48000

11305	251	15	250	303338	0	57310	48000
11508	236	16	237	303419	0	57310	48000
11711	237	16	237	303149	0	57310	48000
11928	250	16	250	302987	0	57310	48000

12129	234	16	234	303401	0	57310	48000
12329	235	15	234	302897	0	57310	48000
12546	250	16	251	302996	0	57310	48000
12751	237	15	236	303554	0	57310	48000
12953	236	15	236	303113	0	57310	48000

13202	282	16	283	302888	0	57310	48000
13374	205	15	204	302366	0	57310	48000
13574	234	16	235	303077	0	57310	48000
13776	235	15	234	302618	0	57310	48000

13993	250	15	250	302780	0	57310	48000
14208	250	15	250	302600	0	57310	48000
14413	237	15	237	302690	0	57310	48000
14613	234	16	235	302870	0	57310	48000

14877	297	16	297	303212	0	57310	48000
15032	188	15	187	303023	0	57310	48000
15233	235	15	235	302762	0	57310	48000
15434	235	16	236	302942	0	57310	48000

15636	235	15	234	302771	0	57310	48000
15853	250	15	250	303347	0	57310	48000
16069	250	16	251	303464	0	57310	48000
16302	266	16	266	303032	0	57310	48000

16503	234	16	234	303086	0	57310	48000
16709	240	15	239	303059	0	57310	48000
16910	234	16	235	302933	0	57310	48000
17127	250	16	250	303248	0	57310	48000
17328	234	16	234	302735	0	57310	48000

17545	250	16	250	303212	0	57310	48000
17747	235	15	234	303383	0	57310	48000
17999	286	15	286	302411	0	57310	48000
18169	203	16	204	302897	0	57310	48000

18370	234	16	234	303185	0	57310	48000
18571	235	15	234	302951	0	57310	48000
18787	250	15	250	303293	0	57310	48000
18989	234	16	235	303428	0	57310	48000

19194	239	15	238	302708	0	57310	48000
19411	250	15	250	302807	0	57310	48000
19612	234	16	235	303293	0	57310	48000
19828	250	16	250	303041	0	57310	48000

20030	235	15	234	302852	0	57310	48000
20230	234	16	235	303068	0	57310	48000
20449	252	15	251	302888	0	57310	48000
20646	234	16	235	302951	0	57310	48000

20866	250	16	250	302510	0	57310	48000
21067	235	15	234	302357	0	57310	48000
21268	234	16	235	302600	0	57310	48000
21475	239	16	239	302762	0	57310	48000
21691	250	16	250	302825	0	57310	48000

21893	235	15	234	303239	0	57310	48000
22110	250	15	250	303401	0	57310	48000
22312	236	16	237	303329	0	57310	48000
22578	299	15	298	302996	0	57310	48000

22732	187	16	188	303545	0	57310	48000
22933	235	15	234	302609	0	57310	48000
23138	238	15	238	302933	0	57310	48000
23342	237	15	237	303113	0	57310	48000

23557	250	15	250	303302	0	57310	48000
23761	237	15	237	303131	0	57310	48000
23962	234	16	235	302780	0	57310	48000
24165	237	16	237	302681	0	57310	48000

24385	252	16	252	302942	0	57310	48000
24635	284	16	284	302627	0	57310	48000
24789	188	16	188	303086	0	57310	48000
25010	253	16	253	302897	0	57310	48000
25211	234	16	234	302888	0	57310	48000

25411	235	15	234	303086	0	57310	48000
25629	250	16	251	303275	0	57310	48000
25829	234	16	234	302852	0	57310	48000
26033	237	16	237	302762	0	57310	48000

26251	251	15	250	302897	0	57310	48000
26451	234	16	235	303473	0	57310	48000
26668	251	16	251	302546	0	57310	48000
26870	234	16	234	303068	0	57310	48000

27071	235	15	234	302555	0	57310	48000
27287	250	15	250	303338	0	57310	48000
27489	234	16	235	303131	0	57310	48000
27737	282	15	281	302978	0	57310	48000

27906	203	15	203	303203	0	57310	48000
28107	234	16	235	303311	0	57310	48000
28309	235	15	234	302834	0	57310	48000
28526	250	15	250	303239	0	57310	48000

28727	234	16	235	302780	0	57310	48000
28927	234	16	234	302987	0	57310	48000
29143	250	16	250	302627	0	57310	48000
29348	238	16	238	303221	0	57310	48000
29565	250	16	250	303518	0	57310	48000

29766	235	15	234	303311	0	57310	48000
29970	237	15	237	303122	0	57310	48000
30187	250	15	250	303140	0	57310	48000
30387	234	16	235	302735	0	57310	48000

30589	234	16	234	303122	0	57310	48000
30809	253	15	252	302951	0	57310	48000
31008	234	16	235	302933	0	57310	48000
31225	250	16	250	303122	0	57310	48000

31433	240	15	239	303329	0	57310	48000
31635	236	15	236	303014	0	57310	48000
31837	235	16	236	303032	0	57310	48000
32040	236	16	236	302321	0	57310	48000

32257	251	15	250	303230	0	57310	48000
32463	239	15	239	303464	0	57310	48000
32665	235	16	236	302843	0	57310	48000
32866	235	16	235	303194	0	57310	48000

33083	250	16	250	302645	0	57310	48000
33284	234	16	234	303149	0	57310	48000
33500	250	16	250	302753	0	57310	48000
33702	235	15	234	303167	0	57310	48000
33907	238	15	238	303536	0	57310	48000

34122	250	16	251	302852	0	57310	48000
34325	235	15	234	302627	0	57310	48000
34525	234	16	235	302753	0	57310	48000
34725	234	16	234	302519	0	57310	48000

34943	250	16	250	303239	0	57310	48000
35148	238	16	238	302609	0	57310	48000
35348	235	15	234	302915	0	57310	48000
35565	250	15	250	303059	0	57310	48000

35766	234	16	235	302591	0	57310	48000
35982	250	16	250	303086	0	57310	48000
36184	235	15	234	303095	0	57310	48000
36389	238	16	239	302771	0	57310	48000
36591	235	15	234	302537	0	57310	48000

36808	250	15	250	302906	0	57310	48000
37013	238	16	239	302690	0	57310	48000
37216	237	15	236	302672	0	57310	48000
37433	250	15	250	302663	0	57310	48000

37637	237	16	238	303095	0	57310	48000
37853	250	16	250	303014	0	57310	48000
38054	235	15	234	302582	0	57310	48000
38272	250	15	250	302807	0	57310	48000

38474	236	15	236	302438	0	57310	48000
38677	236	15	236	302744	0	57310	48000
38893	250	15	250	302699	0	57310	48000
39096	237	16	238	303041	0	57310	48000

39298	235	15	234	302681	0	57310	48000
39562	297	15	297	303050	0	57310	48000
39716	187	16	188	302825	0	57310	48000
39934	251	16	251	303104	0	57310	48000

40136	235	15	234	302573	0	57310	48000
40336	234	16	235	302546	0	57310	48000
40538	235	15	234	302708	0	57310	48000
40755	250	15	250	302582	0	57310	48000
40955	234	15	234	303239	0	57310	48000

41160	238	16	239	303239	0	57310	48000
41378	251	16	251	303149	0	57310	48000
41580	236	16	236	302906	0	57310	48000
41797	250	16	250	302645	0	57310	48000

42002	238	16	238	302303	0	57310	48000
42218	251	16	251	302996	0	57310	48000
42423	237	15	236	302789	0	57310	48000
42626	236	15	236	302690	0	57310	48000

42826	234	16	235	303041	0	57310	48000
43036	243	11	238	302357	0	57310	48000
43233	231	16	236	302429	0	57310	48000
43449	250	16	250	302753	0	57310	48000

43652	235	15	234	302663	0	57310	48000
43868	250	15	250	302456	0	57310	48000
44073	239	12	236	302582	0	57310	48000
44287	246	16	250	302438	0	57310	48000

44490	237	16	237	302933	0	57310	48000
44694	237	15	236	302555	0	57310	48000
44910	250	15	250	302591	0	57310	48000
45112	234	16	235	302753	0	57310	48000

