Size	BytesSoFar	DeltaCreationEnqueue	DeltaEnqueue	DeltaStayedQueue	DeltaDequeue
1	1094002	1	0	10	0
1	1092427	1	17	9	16
1	1100059	1	30	13	34
1	1095685	1	32	12	31
1	1094146	1	35	8	31
1	1092823	1	33	7	32
1	1091986	1	32	8	33
1	1093174	1	34	6	32
1	1092868	1	33	4	31
1	1091014	1	33	5	34
1	1092382	1	35	1	31
1	1095478	1	33	15	47
1	1085713	1	33	14	32
1	1096027	1	34	14	34
1	1092346	1	32	13	31
1	1096189	1	34	10	31
1	1094290	1	32	9	31
1	1090726	1	34	7	32
1	1094803	1	32	6	31
1	1096225	1	36	3	33

1	1092283	1	31	6	34
1	1091419	1	34	4	32
1	1084939	2	35	2	33
1	1089952	1	32	16	46
1	1090375	2	34	14	32
1	1083859	0	33	13	32
1	1090780	1	33	11	31
1	1090762	1	34	10	33
1	1094821	1	34	8	32
1	1094416	1	32	7	31
1	1089151	1	33	6	32
1	1083814	1	35	5	34
1	1091509	1	33	3	31
1	1088539	1	32	2	31
1	1093534	1	35	14	47
1	1081033	1	33	2	21
1	1095172	1	33	14	45
1	1091644	1	33	11	30
1	1092481	1	33	12	34
1	1090798	1	33	10	31
1	1091131	1	34	7	31
1	1088557	1	33	6	32
1	1101580	1	33	7	34
1	1096477	1	34	5	32
1	1087936	1	33	3	31
1	1093210	1	33	1	31
1	1095910	1	35	15	49
1	1090798	1	32	16	33
1	1095334	1	33	13	30
1	1092067	1	35	13	35

1	1087396	1	32	12	31
1	1097251	1	42	2	32
1	1095478	0	25	8	31
1	1086847	1	34	5	31
1	1095289	1	32	5	32
1	1090870	1	35	4	34
1	1095685	1	33	2	31
1	1092301	1	32	16	46
1	1084669	1	35	14	33
1	1090744	1	32	15	33
1	1091077	1	33	13	31
1	1085524	1	34	12	33
1	1092643	1	33	9	30
1	1090321	1	33	8	32
1	1081843	1	34	8	34
1	1087657	0	33	6	31
1	1092184	1	33	6	33
1	1098502	1	34	2	30
1	1089709	1	33	4	35
1	1095739	1	33	16	45
1	1094605	1	34	16	34
1	1093777	1	33	14	31
1	1106035	1	33	12	31
1	1093561	1	34	10	32
1	1093795	1	33	9	32
1	1101175	1	33	10	34
1	1095145	1	34	6	30
1	1094632	1	33	6	33
1	1091743	1	33	4	31
1	1093633	0	34	3	33

1	1088332	1	33	5	35
1	1090555	1	34	2	31
1	1086055	1	34	13	45
1	1094380	1	33	13	33
1	1096189	1	33	11	31
1	1091599	1	33	13	35
1	1092013	1	34	10	31
1	1091842	1	31	10	31
1	1093516	1	35	7	32
1	1088359	1	32	7	32
1	1105135	1	34	4	31
1	1092445	1	34	4	34
1	1101472	1	34	2	32
1	1094812	1	32	1	31
1	1091752	1	34	15	48
1	1101724	1	34	13	32
1	1095334	1	32	12	31
1	1095370	0	33	10	31
1	1087729	1	34	8	32
1	1091563	1	33	7	32
1	1088278	1	34	6	33
1	1094695	0	32	7	33
1	1098268	1	34	6	33
1	1093489	1	35	3	32
1	1094362	1	32	1	30
1	1087963	1	33	16	48
1	1096396	1	35	14	33
1	1089007	1	32	13	31
1	1095478	1	33	11	31
1	1094668	1	34	9	32

1	1091761	1	33	10	34
1	1091068	1	33	8	31
1	1103191	1	35	5	32
1	1093300	0	31	5	31
1	1090771	1	34	2	31
1	1091014	1	34	16	48
1	1093894	1	34	14	32
1	1095541	1	32	14	32
1	1097701	1	34	13	33
1	1090204	1	33	10	30
1	1090303	1	33	9	32
1	1094245	1	34	9	34
1	1091617	1	33	8	32
1	1087936	1	32	7	31
1	1095253	1	35	5	33
1	1085497	1	33	3	31
1	1094443	1	33	2	32
1	1090474	1	34	15	47
