DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
15	0	15	0	1093986	1
10	12	27	24	1092411	0
10	30	19	22	1100043	0
8	30	10	21	1095669	0
3	30	2	22	1094130	0
6	36	8	42	1092807	0
4	30	20	42	1091970	0
6	36	6	22	1093158	0
3	30	19	43	1092852	0
0	30	10	21	1090998	0

-5	30	2	22	1092366	0
10	48	1	47	1095462	0
13	36	7	42	1085697	0
9	30	20	43	1096011	0
7	30	12	22	1092330	0
8	35	18	41	1096173	0
6	30	10	22	1094274	0
2	30	2	22	1090710	0
0	30	14	42	1094787	0
0	36	20	42	1096209	0
5	36	6	22	1092267	0
1	30	19	43	1091403	0
-3	30	11	22	1084923	0
12	48	6	43	1089936	0
9	30	19	43	1090359	0
10	36	5	22	1083843	0
8	30	18	43	1090764	0
4	30	10	22	1090746	0
6	36	17	43	1094805	0
4	30	9	22	1094400	0
1	30	1	22	1089135	0
2	36	8	43	1083798	0
-1	30	21	43	1091493	0
-3	30	13	22	1088523	0
10	48	7	42	1093518	0
1	24	4	21	1081017	0
9	41	4	41	1095156	0
6	30	16	42	1091628	0
9	36	2	22	1092465	0
6	30	15	43	1090782	0

2	30	7	22	1091115	0
5	36	13	42	1088541	0
2	30	4	21	1101564	0
4	36	11	43	1096461	0
1	30	2	21	1087920	0
4	36	8	42	1093194	0
11	42	9	43	1095894	0
15	36	16	43	1090782	0
12	30	8	22	1095318	0
7	30	21	43	1092051	0
11	36	6	21	1087380	0
-1	30	18	42	1097235	0
3	30	10	22	1095462	0
0	30	1	21	1086831	0
4	36	7	42	1095273	0
-1	30	19	42	1090854	0
2	36	4	21	1095669	0
11	41	4	41	1092285	0
12	36	11	43	1084653	0
10	30	2	21	1090728	0
7	30	14	42	1091061	0
9	36	1	23	1085508	0
6	30	13	42	1092627	0
3	30	4	21	1090305	0
5	36	10	42	1081827	0
1	30	1	21	1087641	0
5	36	7	42	1092168	0
1	30	19	42	1098486	0
4	36	6	23	1089693	0
13	42	7	43	1095723	0

9	30	19	42	1094589	0
12	36	4	21	1093761	0
9	30	17	43	1106019	0
5	30	9	22	1093545	0
8	36	15	42	1093779	0
5	30	7	22	1101159	0
1	30	19	42	1095129	0
4	36	4	21	1094616	0
1	30	16	42	1091727	0
-4	30	8	22	1093617	0
5	41	10	43	1088316	0
-5	24	7	21	1090539	0
9	48	1	42	1086039	0
12	36	8	43	1094364	0
9	30	20	42	1096173	0
12	36	5	21	1091583	0
7	29	17	41	1091997	0
6	30	8	21	1091826	0
1	30	20	42	1093500	0
5	36	5	21	1088343	0
1	30	17	42	1105119	0
3	36	2	21	1092429	0
-2	29	14	41	1101456	0
-4	30	6	22	1094796	0
10	48	0	42	1091736	0
12	36	7	43	1101708	0
10	30	19	42	1095318	0
6	30	10	21	1095354	0
3	30	2	22	1087713	0
0	30	14	42	1091547	0

3	37	19	42	1088262	0
0	30	10	21	1094679	0
3	36	17	43	1098252	0
-2	30	8	21	1093473	0
-4	30	20	42	1094346	0
11	48	14	42	1087947	0
11	35	1	22	1096380	0
9	30	13	42	1088991	0
6	30	5	22	1095462	0
8	36	11	42	1094652	0
5	30	2	21	1091745	0
2	30	14	42	1091052	0
3	36	21	43	1103175	0
1	30	12	21	1093284	0
-2	30	4	22	1090755	0
12	48	19	63	1090998	0
8	30	10	21	1093878	0
12	36	15	41	1095525	0
7	29	8	22	1097685	0
4	30	20	42	1090188	0
7	36	7	23	1090287	0
3	30	20	43	1094229	0
6	36	6	22	1091601	0
4	30	18	42	1087920	0
5	36	4	22	1095237	0
2	30	16	42	1085481	0
-1	30	8	22	1094427	0
13	48	2	42	1090458	0
10	30	14	42	1088928	0
13	36	20	42	1087839	0

9	30	12	22	1088757	0
5	30	6	24	1095741	0
2	30	17	41	1101546	0
4	35	4	22	1094328	0
1	30	16	42	1088631	0
4	36	2	22	1094355	0
0	30	15	43	1098414	0
-4	30	7	22	1086813	0
0	36	14	43	1097064	0
7	42	15	43	1092681	0
11	36	1	22	1092645	0
8	30	14	43	1093806	0
4	30	6	22	1093419	0
6	36	14	44	1092663	0
4	30	5	21	1095264	0
6	36	12	43	1082709	0
2	30	4	22	1092762	0
0	30	16	42	1090575	0
0	35	2	21	1090296	0
10	42	3	43	1098531	0
13	36	10	43	1094202	0
9	30	1	21	1099890	0
6	30	13	42	1095750	0
9	36	19	42	1087092	0
5	30	10	21	1092420	0
2	30	2	22	1089081	0
5	36	8	42	1090206	0
1	30	20	42	1100376	0
4	36	5	21	1092969	0
1	30	17	42	1095435	0

14	48	11	42	1093149	0
12	30	4	23	1093149	0
-3	18	8	22	1093905	0
