DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
-20	0	5	0	449669	1	51348	48004
-32	2	9	6	449840	0	51347	48003
-21	44	1	36	450308	0	51348	48004
-25	29	2	30	450254	0	51348	48004
-23	35	3	36	449975	0	51348	48004
-25	32	1	30	449651	0	51348	48004
-26	32	5	36	449948	0	51348	48004
-30	29	6	30	450164	0	51348	48004
-33	32	4	30	450110	0	51348	48004
-30	35	5	36	450056	0	51348	48004
-34	28	6	29	450011	0	51348	48004
-34	34	2	30	450227	0	51348	48004
-19	48	2	48	449705	0	51348	48004
-34	18	2	18	449516	0	51348	48004
-34	34	4	36	449255	0	51348	48004
-21	46	6	48	448922	0	51348	48004
-23	32	4	30	449057	0	51348	48004
-28	28	6	30	448742	0	51348	48004
-25	36	6	36	447473	0	51348	48004
-29	30	6	30	445142	0	51348	48004
-33	29	1	24	442100	0	51348	48004
-34	32	5	36	438662	0	51348	48004
-33	34	1	30	433343	0	51348	48004
-35	32	5	36	427223	0	51348	48004
-21	47	6	48	420491	0	51348	48004
-35	19	5	18	412472	0	51348	48004
-36	33	2	30	403589	0	51348	48004
-21	48	2	48	393554	0	51348	48004
-23	31	1	30	384698	0	51348	48004

-26	31	6	36	376202	0	51348	48004
-26	34	2	30	369371	0	51348	48004
-26	32	6	36	362369	0	51348	48004
-28	32	4	30	355304	0	51348	48004
-33	28	6	30	350795	0	51348	48004
-31	36	0	30	350381	0	51348	48004
-33	31	4	35	344036	0	51348	48004
-33	32	2	30	329897	0	51348	48004
-26	48	2	48	310898	0	51348	48004
-27	26	6	30	292403	0	51348	48004
-28	32	4	30	272171	0	51348	48004
-25	35	5	36	251957	0	51348	48004
-29	30	5	30	235514	0	51348	48004
-30	32	3	30	229520	0	51348	48004
-29	34	5	36	228845	0	51348	48004
-34	30	5	30	231329	0	51348	48004
-32	34	1	30	234020	0	51348	48004
-31	34	3	36	240428	0	51348	48004
-34	32	1	30	253820	0	51348	48004
-34	33	4	36	267023	0	51348	48004
-37	30	4	30	277958	0	51348	48004
-26	45	1	42	289172	0	51348	48004
-23	36	1	36	302852	0	51348	48004
-28	28	2	29	320240	0	51348	48004
-26	36	2	36	335189	0	51348	48004
-27	32	6	36	350075	0	51348	48004
-31	29	1	24	364268	0	51348	48004
-34	31	6	36	375815	0	51348	48004
-32	36	6	36	384041	0	51348	48004
-31	33	3	30	391520	0	51348	48004
-37	28	4	29	400943	0	51348	48004

-35	35	5	36	408638	0	51348	48004
-35	33	2	30	418052	0	51348	48004
-24	46	4	48	422579	0	51348	48004
-23	33	1	30	420779	0	51348	48004
-27	29	2	30	416882	0	51348	48004
-28	33	5	36	397784	0	51348	48004
