Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	UTC
 
7	20.979020979021	16.6496223776224	-59.4872579574585	-59.2380952380952	0.5	0	01.59.38.234
7	29.940119760479	25.1922395209581	-56.054553707584	-58.921568627451	0.5	0	01.59.39.245
7	29.97002997003	54.6008871128871	-64.3574075280265	-59.1481481481481	0.5	0	01.59.40.254
7	29.940119760479	57.8872814371258	-57.9371560815325	-59.1	0.5	0	01.59.41.263
7	29.97002997003	59.5507612387612	-55.065117225953	-59.5	0.5	0	01.59.42.272
7	29.97002997003	56.906973026973	-59.396134851561	-59.67	0.5	0	01.59.43.281
7	28.971028971029	57.5025854145854	-55.0408779162878	-59.88	0.5	0	01.59.44.291
7	29.97002997003	58.5968511488511	-63.4601725321453	-59.78	0.5	0	01.59.45.300
7	29.97002997003	64.9616943056943	-57.6965651302228	-59.72	0.5	0	01.59.46.310
7	29.97002997003	65.1348971028971	-57.7695117543419	-59.3	0.5	0	01.59.47.319
7	30.938123752495	62.8522874251497	-62.7411657187804	-59.53	0.5	0	01.59.48.328
7	29.97002997003	56.6360919080919	-58.3348824301461	-59.57	0.5	0	01.59.49.337
7	29.97002997003	54.325042957043	-57.2285495021705	-59.78	0.5	0	01.59.50.346
7	29.97002997003	52.8995004995005	-62.6492042729897	-59.4	0.5	0	01.59.51.356
7	29.97002997003	53.0406953046953	-59.6995557326121	-59.32	0.5	0	01.59.52.365
7	29.97002997003	53.7373906093906	-56.6560487958598	-59.59	0.5	0	01.59.53.381
7	30.969030969031	65.291004995005	-63.618403471686	-59.47	0.5	0	01.59.54.391
7	29.97002997003	59.2663576423576	-58.6835449494507	-59.26	0.5	0	01.59.55.399
7	29.97002997003	60.2364515484515	-54.4207143305648	-58.94	0.5	0	01.59.56.409
7	29.97002997003	52.3397562437562	-62.6347599555	-59.1	0.5	0	01.59.57.418
7	29.97002997003	37.1056063936064	-58.1985783210348	-59.21	0.5	0	01.59.58.429
7	30	20.671488	-59.3193668020883	-59.94	0.5	0	01.59.59.438
7	29.97002997003	21.2766833166833	-1540.13511196833	-80859.93	0.5	0	02.00.00.449
7	28.971028971029	9.48937462537462	-56.4813624584443	-80860.25	0.5	0	02.00.01.459
7	29.97002997003	8.15434165834166	-66.3263211694925	-80860.84	0.5	0	02.00.02.470
7	29.97002997003	8.09385014985015	-60.6208593010216	-60.72	0.5	0	02.00.03.480
7	29.940119760479	11.3808862275449	-57.4147152484492	-60.81	0.5	0	02.00.04.499
7	29.97002997003	25.4463536463536	-65.7871256893638	-60.53	0.5	0	02.00.05.509
7	29.97002997003	40.5803076923077	-59.9884522927805	-59.71	0.5	0	02.00.06.519
7	29	71.527512	-55.5269042681795	-59.34	0.5	0	02.00.07.529
7	29.97002997003	110.600991008991	-63.8362243066201	-59.44	0.5	0	02.00.08.538
7	24.975024975025	72.6462257742258	-59.6619730542965	-59.04	0.5	0	02.00.09.548
7	0	0	-59.6619730542965	-59.04	0.5	0	02.00.10.558
7	0	0	-59.6619730542965	-59.04	0.5	0	02.00.11.567
7	0	0	-59.6619730542965	-59.04	0.5	0	02.00.12.577
7	0	0	-59.6619730542965	-59.04	0.5	0	02.00.13.587
7	0	0	-59.6619730542965	-59.04	0.5	0	02.00.14.596
