DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
19	0	24	0	221070	1
16	6	41	23	223617	1
18	30	32	21	223446	1
15	30	23	21	223977	0
17	36	8	21	225642	0

14	30	19	41	228171	0
11	30	10	21	230907	0
14	36	16	42	233994	0
11	30	7	21	238467	0
7	30	19	42	243552	0
10	36	4	21	249132	0
7	30	16	42	255441	0
21	48	10	42	260922	0
18	30	1	21	264468	0
15	30	13	42	264981	0
16	36	19	42	261804	0
14	30	10	21	261264	0
16	35	16	41	262263	0
12	30	7	21	265458	0
15	36	14	43	267906	0
12	30	5	21	271119	0
8	30	17	42	272838	0
11	36	2	21	273981	0
8	30	14	42	274701	0
21	48	8	42	272019	0
18	30	20	42	269211	0
22	36	5	21	266133	0
18	30	18	43	260643	0
15	30	9	21	256827	0
12	30	21	42	254820	0
14	36	6	21	251202	0
11	30	20	44	247197	0
14	36	5	21	244821	0
10	30	17	42	241716	0
7	30	8	21	240033	0

3	30	20	42	238377	0
17	48	14	42	236487	0
20	36	20	42	235461	0
17	30	11	21	233346	0
14	30	2	21	229962	0
16	35	8	41	228000	0
13	30	20	42	225606	0
9	30	11	21	222069	0
12	36	17	42	220035	0
9	30	8	21	218181	0
11	36	14	42	216786	0
8	30	5	21	215184	0
5	30	17	42	213006	0
19	48	11	42	211791	0
22	36	17	42	209730	0
19	30	8	21	208299	0
15	30	20	42	206130	0
18	36	5	21	203772	0
16	31	15	41	200802	0
12	30	6	21	197535	0
9	30	18	42	194547	0
6	30	9	21	190947	0
8	36	15	42	187824	0
11	36	21	42	183423	0
8	30	12	21	178725	0
16	42	12	42	173469	0
19	36	18	42	167511	0
16	30	9	21	164766	0
18	36	15	42	162201	0
15	30	6	21	159987	0

11	29	19	42	156855	0
13	36	4	21	154389	0
10	30	16	42	153768	0
7	30	7	21	153021	0
10	37	12	42	152922	0
19	42	12	42	152076	0
16	30	3	21	150987	0
18	36	9	42	150474	0
15	30	1	22	149466	0
12	30	13	42	149241	0
14	36	19	42	148512	0
11	30	10	21	147396	0
8	30	1	21	146802	0
9	35	8	42	145911	0
12	36	14	42	145974	0
9	30	6	22	145020	0
22	47	21	62	144489	0
20	30	12	21	145020	0
22	36	18	42	145524	0
18	30	9	21	145488	0
15	30	21	42	144813	0
13	30	12	21	144210	0
13	35	20	43	143148	0
11	30	11	21	142248	0
14	36	17	42	141276	0
9	30	8	21	139818	0
13	36	14	42	138576	0
9	30	5	21	137298	0
5	30	17	42	136389	0
8	36	3	22	135678	0
17	42	3	42	134850	0

19	36	9	42	134310	0
16	30	0	21	134796	0
13	30	13	43	135660	0
15	36	19	42	136308	0
13	31	9	21	137136	0
10	30	0	21	138081	0
12	36	6	42	138684	0
9	30	18	42	139008	0
6	30	9	21	139017	0
8	36	16	43	138855	0
5	30	7	21	138918	0
20	47	1	41	138873	0
15	30	13	42	139719	0
19	36	19	42	140394	0
16	30	10	21	141042	0
11	30	1	21	142941	0
8	30	14	43	143823	0
11	36	20	42	145911	0
13	36	5	21	147432	0
10	30	17	42	150168	0
7	30	8	21	152868	0
15	42	8	42	154677	0
18	36	14	42	156855	0
15	30	6	22	158232	0
17	36	12	42	160752	0
13	30	3	21	162120	0
11	30	15	42	163326	0
13	36	21	42	163623	0
9	29	13	21	163065	0
6	30	4	21	162957	0

8	36	10	42	166188	0
11	36	16	42	165711	0
18	41	16	41	166683	0
15	30	8	22	167097	0
18	36	14	42	167781	0
15	30	5	21	167097	0
11	30	18	43	167907	0
14	36	3	21	167232	0
11	30	15	42	167394	0
13	36	0	21	166269	0
10	30	12	42	165621	0
7	30	2	20	165144	0
8	35	9	42	165396	0
23	48	3	42	165432	0
8	18	6	21	164469	0
16	42	6	42	164388	0
19	36	13	43	163677	0
16	30	4	21	161715	0
12	30	16	42	160059	0
15	36	2	22	156783	0
11	29	14	41	153651	0
13	36	20	42	150798	0
10	30	11	21	148098	0
7	30	2	21	145866	0
3	30	14	42	144111	0
6	36	20	42	143670	0
8	35	7	22	142446	0
16	42	7	42	142167	0
18	35	14	42	142428	0
15	30	5	21	144138	0

11	30	17	42	145434	0
14	36	2	21	147729	0
11	30	14	42	149088	0
13	36	21	43	151428	0
10	30	12	21	153462	0
7	30	2	20	153894	0
8	35	9	42	154974	0
5	30	21	42	154956	0
20	48	15	42	153993	0
16	30	6	21	153093	0
13	30	18	42	152616	0
15	35	3	20	151905	0
11	30	15	42	150960	0
14	36	1	22	150384	0
11	30	13	42	150024	0
7	30	4	21	148530	0
10	36	10	42	146631	0
7	30	1	21	144066	0
21	48	16	63	142761	0
18	30	7	21	140916	0
21	36	14	43	138360	0
17	30	5	21	137118	0
14	30	17	42	137784	0
16	35	2	20	140295	0
12	30	14	42	143805	0
9	30	5	21	148089	0
13	36	11	42	150375	0
8	30	3	22	151608	0
5	30	15	42	153003	0
8	36	21	42	154461	0

4	30	12	21	156144	0
7	36	18	42	156954	0
15	41	18	41	157881	0
17	36	3	21	158646	0
14	30	15	42	160203	0
11	30	6	21	160770	0
13	36	12	42	161247	0
10	30	4	22	161814	0
13	36	10	42	163272	0
9	30	1	21	167520	0
24	48	17	64	168825	1
8	17	21	21	167034	0
22	48	15	42	162669	0
19	30	6	21	157494	0
16	30	18	42	154263	0
18	36	3	21	153426	0
15	30	15	42	154254	0
12	30	6	21	158016	0
8	30	18	42	163857	0
11	36	3	21	167682	0
8	30	16	43	166728	0
10	36	1	21	165198	0
7	30	13	42	163146	0
4	30	4	21	160698	0
17	47	20	63	158808	0
14	30	11	21	160140	0
17	36	17	42	165270	0
13	30	8	21	170634	0
10	30	20	42	175251	0
12	35	5	20	176943	0

8	30	17	42	178644	0
11	36	2	21	179760	0
8	30	14	42	179508	0
10	36	20	42	179382	0
7	30	11	21	178653	0
22	48	5	42	177699	0
18	30	18	43	176520	0
15	30	9	21	176007	0
12	30	21	42	176448	0
14	36	7	22	175935	0
11	30	19	42	175647	0
14	36	4	21	175107	0
10	30	16	42	175413	0
13	36	1	21	174504	0
9	29	13	41	174936	0
23	48	7	42	174972	0
8	18	10	21	174576	0
17	42	10	42	174477	0
19	36	16	42	174729	0
16	30	7	21	174702	0
13	30	19	42	174909	0
15	36	4	21	175224	0
12	30	17	43	174405	0
9	30	8	21	174846	0
11	36	14	42	174441	0
8	30	6	22	174162	0
10	35	13	42	174648	0
6	30	4	21	174324	0
21	48	19	63	175053	0
18	30	10	21	174504	0
14	30	1	21	174414	0

17	36	7	42	174720	0
14	30	19	42	174432	0
10	30	10	21	174279	0
13	36	16	42	174000	0
10	30	7	21	173973	0
6	30	19	42	173730	0
9	36	4	21	173991	0
6	30	16	42	174621	0
19	47	11	42	174729	0
22	36	17	42	174513	0
19	30	8	21	174468	0
15	30	20	42	173343	0
12	30	11	21	172236	0
15	36	17	42	171363	0
11	30	8	21	170544	0
14	36	14	42	168897	0
10	29	5	20	166755	0
6	30	17	42	165018	0
10	36	2	21	160986	0
6	30	14	42	156711	0
20	48	8	42	153336	0
17	30	20	42	149295	0
14	30	11	21	144561	0
16	36	17	42	139062	0
13	30	8	21	132951	0
10	30	21	43	129072	0
12	36	6	21	126921	0
9	30	18	42	125148	0
12	36	3	21	125229	0
8	30	15	42	121035	0

5	30	6	21	116382	0
20	48	21	63	111288	0
22	36	6	21	108174	0
10	30	18	42	107571	0
22	36	3	21	104052	0
12	24	21	42	102666	0
15	36	6	21	102216	0
12	30	17	41	98625	0
8	29	9	21	98526	0
11	36	15	42	97986	0
8	30	6	21	96708	0
9	36	12	42	94827	0
7	30	3	21	92622	0
3	30	16	43	90561	0
18	48	10	42	90192	0
20	36	16	42	89769	0
17	30	7	21	88428	0
13	30	19	42	87294	0
10	30	10	21	87132	0
13	36	16	42	86448	0
9	30	8	22	85044	0
6	30	20	42	85611	0
9	36	5	21	85134	0
5	30	17	42	85206	0
20	48	11	42	84333	0
5	18	14	21	84324	0
19	48	8	42	83928	0
16	30	20	42	85080	0
12	29	12	21	84369	0
14	36	18	42	84990	0

12	30	9	21	85377	0
14	36	15	42	85116	0
10	30	6	21	84621	0
7	30	18	42	84243	0
4	30	9	21	84225	0
18	48	3	42	83433	0
3	18	7	22	84648	0
18	48	1	42	85422	0
14	30	13	42	86430	0
17	36	19	42	86466	0
14	30	10	21	88239	0
10	30	1	21	89184	0
13	36	7	42	88410	0
10	30	19	42	88869	0
12	36	4	21	88752	0
7	29	16	41	90192	0
6	30	7	21	89634	0
17	48	1	42	90237	0
5	18	4	21	90615	0
20	48	19	63	91632	0
16	30	10	21	91398	0
12	30	1	21	91893	0
15	36	7	42	91227	0
12	30	19	42	89787	0
8	30	10	21	91479	0
11	36	16	42	90048	0
7	30	7	21	90399	0
10	36	13	42	89535	0
7	30	4	21	89337	0
21	48	19	63	88896	0

18	30	10	21	89103	0
21	36	16	42	90660	0
17	30	7	21	90975	0
14	30	19	42	91263	0
17	36	4	21	90804	0
13	30	16	42	90453	0
10	30	7	21	90048	0
13	35	13	41	89436	0
8	30	4	21	89598	0
6	30	16	42	89013	0
2	30	7	21	88734	0
16	48	1	42	89328	0
19	36	7	42	88077	0
16	30	19	42	87960	0
18	36	4	21	88590	0
15	30	16	42	88464	0
12	30	7	21	88050	0
8	30	19	42	91641	0
11	36	4	21	91461	0
12	34	11	41	91308	0
9	30	2	21	91695	0
6	30	14	42	91974	0
2	30	5	21	91173	0
16	48	20	63	90966	0
13	30	11	21	90921	0
16	36	18	43	91353	0
12	30	9	21	90066	0
9	30	21	42	90003	0
12	36	6	21	89139	0
8	30	18	42	86268	0

11	36	3	21	85161	0
8	30	18	45	82470	0
4	30	9	21	81453	0
19	48	4	43	80841	0
4	18	7	21	76089	0
18	48	1	42	74991	0
15	30	13	42	73434	0
12	29	4	20	64353	0
14	36	10	42	62238	0
11	30	1	21	62454	0
14	36	7	42	60627	0
10	30	19	42	58584	0
7	30	10	21	58107	0
9	35	17	42	57117	0
5	30	8	21	55434	0
8	36	14	42	54264	0
21	46	10	42	53346	0
16	30	1	21	52149	0
14	30	13	42	50871	0
17	36	19	42	49845	0
13	30	10	21	48954	0
10	30	1	21	47667	0
