DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
-64	0	1	0	91379	0	51803	48004
-63	34	5	38	89570	0	51803	48004
-66	31	4	30	88391	0	51803	48004
-65	34	6	36	88670	0	51803	48004
-57	41	1	36	89075	0	51803	48004
-54	37	6	42	90344	0	51803	48004
-54	33	3	30	92504	0	51803	48004
-58	29	4	30	95510	0	51803	48004
-59	33	1	30	95807	0	51803	48004
-64	28	3	30	91235	0	51803	48004
-61	36	3	36	89255	0	51803	48004
-62	33	6	36	88814	0	51803	48004
-68	27	3	24	94421	0	51803	48004
-48	52	4	53	101756	0	51803	48004
-56	27	1	24	107588	0	51803	48004
-53	36	1	36	111251	0	51803	48004
-57	29	2	30	117443	0	51803	48004
-58	33	5	36	117074	0	51803	48004
-59	32	3	30	114176	0	51803	48004
-56	36	3	36	115139	0	51803	48004
-62	28	5	30	114050	0	51803	48004
-58	37	4	36	110405	0	51803	48004
-64	27	1	24	102800	0	51803	48004
-62	36	1	36	94502	0	51803	48004
-65	30	1	30	87230	0	51803	48004
-50	48	6	53	86240	0	51803	48004
-68	16	2	12	87941	0	51803	48004

-51	50	6	54	88184	0	51803	48004
-59	25	5	24	85106	0	51803	48004
-61	32	3	30	82946	0	51803	48004
-62	32	1	30	79697	0	51803	48004
-63	32	5	36	75890	0	51803	48004
-64	33	2	30	73577	0	51803	48004
-60	37	1	36	70967	0	51803	48004
-65	28	3	30	70364	0	51803	48004
-50	49	1	47	70418	0	51803	48004
-49	34	3	36	71435	0	51803	48004
-49	32	1	30	73793	0	51803	48004
-54	30	1	30	77411	0	51803	48004
-55	32	5	36	81056	0	51803	48004
-52	36	5	36	85799	0	51803	48004
-61	25	4	24	91658	0	51803	48004
-59	35	5	36	99830	0	51803	48004
-58	34	1	30	109514	0	51803	48004
-61	31	6	36	123437	0	51803	48004
-64	30	6	30	143291	0	51803	48004
-62	35	1	30	159500	0	51803	48004
-63	34	3	36	172820	0	51803	48004
-64	31	2	30	188237	0	51803	48004
-55	42	2	42	200045	0	51803	48004
-53	36	2	36	211475	0	51803	48004
-57	29	3	30	220736	0	51803	48004
-55	36	2	35	227864	0	51803	48004
-59	28	4	30	231347	0	51803	48004
-61	32	2	30	235028	0	51803	48004
-62	32	6	36	237296	0	51803	48004
-60	35	1	30	237008	0	51803	48004

-61	32	5	36	237431	0	51803	48004
-65	29	6	30	239375	0	51803	48004
-53	47	1	42	244874	0	51803	48004
-54	32	5	36	249995	0	51803	48004
-51	36	5	36	248699	0	51803	48004
-55	30	5	30	246593	0	51803	48004
-54	34	1	30	243155	0	51803	48004
-54	33	3	35	240626	0	51803	48004
-59	29	3	29	235226	0	51803	48004
-63	29	4	30	229961	0	51803	48004
-64	32	2	30	222104	0	51803	48004
-62	36	1	35	213509	0	51803	48004
-66	29	2	30	208037	0	51803	48004
-62	37	1	36	205697	0	51803	48004
-65	31	6	36	205184	0	51803	48004
-67	31	5	30	209243	0	51803	48004
-52	48	5	48	211484	0	51803	48004
-53	33	2	30	215948	0	51803	48004
-57	29	3	30	216299	0	51803	48004
-61	29	3	29	215039	0	51803	48004
-63	32	1	30	216947	0	51803	48004
-60	36	1	36	223247	0	51803	48004
-65	28	3	30	229412	0	51803	48004
-66	33	6	36	234812	0	51803	48004
-62	37	5	36	233822	0	51803	48004
-49	46	1	42	234938	0	51803	48004
-50	33	4	36	235208	0	51803	48004
-65	19	3	18	235559	0	51803	48004
-55	43	2	42	237611	0	51803	48004
-59	29	3	30	237620	0	51803	48004

-60	32	1	30	237440	0	51803	48004
-58	35	5	39	231023	0	51803	48004
-63	29	6	30	225488	0	51803	48004
-60	36	6	36	220628	0	51803	48004
-63	30	5	29	229898	0	51803	48004
-62	35	6	36	237656	0	51803	48004
-64	31	5	30	242408	0	51803	48004
-66	31	4	30	244703	0	51803	48004
-67	33	1	30	246332	0	51803	48004
-57	43	6	48	247187	0	51803	48004
-55	35	1	30	249041	0	51803	48004
-57	32	5	36	248807	0	51803	48004
-57	33	2	30	247961	0	51803	48004
-62	28	4	30	245909	0	51803	48004
-60	36	5	37	244163	0	51803	48004
-60	33	2	30	243218	0	51803	48004
-62	31	1	30	242075	0	51803	48004
-63	33	4	36	240752	0	51803	48004
-62	34	6	36	241769	0	51803	48004
-66	29	1	24	244640	0	51803	48004
-51	49	5	53	248402	0	51803	48004
-54	30	5	30	250949	0	51803	48004
-54	33	2	30	252398	0	51803	48004
-61	27	5	30	252569	0	51803	48004
-58	36	5	36	254270	0	51803	48004
-61	30	5	30	255935	0	51803	48004
-59	36	5	36	256511	0	51803	48004
-61	31	4	30	257312	0	51803	48004
-58	45	1	42	255935	0	51803	48004
-48	36	1	36	254999	0	51803	48004
-66	14	5	18	254720	0	51803	48004

-66	34	1	30	253955	0	51803	48004
-58	42	1	42	253397	0	51803	48004
-57	33	3	35	251948	0	51803	48004
-58	32	1	30	250598	0	51803	48004
-62	30	1	30	249491	0	51803	48004
-62	33	4	36	248474	0	51803	48004
-59	36	4	36	249365	0	51803	48004
-61	32	2	30	249896	0	51803	48004
-61	33	5	36	251309	0	51803	48004
-63	31	4	30	252596	0	51803	48004
-65	32	2	30	252596	0	51803	48004
-64	34	4	36	250571	0	51803	48004
-51	46	6	48	246872	0	51803	48004
-54	31	5	30	243848	0	51803	48004
-57	30	5	30	241274	0	51803	48004
-55	35	6	36	240059	0	51803	48004
-63	26	4	24	241859	0	51803	48004
-63	33	1	30	242714	0	51803	48004
-59	37	6	42	243722	0	51803	48004
-64	29	1	24	242498	0	51803	48004
-61	36	1	36	240896	0	51803	48004
-63	31	6	36	240419	0	51803	48004
-50	47	1	42	239114	0	51803	48004
-54	29	2	30	238646	0	51803	48004
-51	36	2	36	239069	0	51803	48004
-52	33	5	36	238583	0	51803	48004
-55	31	4	30	238565	0	51803	48004
-56	31	2	29	238682	0	51803	48004
-63	27	5	30	237755	0	51803	48004
-63	33	2	30	238043	0	51803	48004

-65	31	1	30	237422	0	51803	48004
-61	38	5	42	237584	0	51803	48004
-66	28	1	24	237233	0	51803	48004
-67	32	5	36	237656	0	51803	48004
-52	49	4	48	237287	0	51803	48004
-56	29	5	30	236612	0	51803	48004
-57	32	3	30	237386	0	51803	48004
-55	37	2	36	236954	0	51803	48004
-55	33	5	36	236387	0	51803	48004
-57	30	4	29	236009	0	51803	48004
-64	27	1	24	235172	0	51803	48004
-63	34	3	36	234785	0	51803	48004
-65	31	2	30	234182	0	51803	48004
-64	35	3	36	234605	0	51803	48004
-64	33	6	36	235271	0	51803	48004
-65	32	4	30	236171	0	51803	48004
-67	32	2	30	236981	0	51803	48004
-67	33	5	36	237611	0	51803	48004
-55	45	2	42	237161	0	51803	48004
-56	33	4	35	236225	0	51803	48004
-56	33	1	30	236297	0	51803	48004
-62	27	4	30	238241	0	51803	48004
-60	36	4	36	241562	0	51803	48004
-59	34	6	36	245234	0	51803	48004
-65	27	3	24	248330	0	51803	48004
-66	33	5	35	249437	0	51803	48004
-52	47	6	48	249374	0	51803	48004
-65	20	4	18	248852	0	51803	48004
-67	33	7	36	248006	0	51803	48004
-53	46	2	41	246134	0	51803	48004

-59	27	5	30	244784	0	51803	48004
-56	37	4	36	243767	0	51803	48004
-63	26	2	24	243389	0	51803	48004
-61	35	3	36	244901	0	51803	48004
-59	36	3	36	246107	0	51803	48004
-66	26	1	24	247259	0	51803	48004
-63	36	1	36	248384	0	51803	48004
-63	34	2	35	249050	0	51803	48004
-66	30	2	30	249536	0	51803	48004
-65	34	4	36	249320	0	51803	48004
-57	42	4	42	249383	0	51803	48004
-54	36	4	36	249140	0	51803	48004
-58	30	4	30	249455	0	51803	48004
-58	33	1	30	249734	0	51803	48004
-62	29	2	30	249212	0	51803	48004
-63	32	6	36	249455	0	51803	48004
-61	37	4	35	249437	0	51803	48004
-62	31	3	30	249545	0	51803	48004
-63	32	1	30	249554	0	51803	48004
-63	34	3	36	249590	0	51803	48004
-66	30	3	30	249140	0	51803	48004
-52	48	3	48	248609	0	51803	48004
-54	31	2	30	247745	0	51803	48004
-54	33	5	36	246944	0	51803	48004
-57	30	5	30	246656	0	51803	48004
-58	33	2	30	246728	0	51803	48004
-58	33	5	36	246611	0	51803	48004
-60	31	4	30	246701	0	51803	48004
-61	33	1	30	246143	0	51803	48004
-62	32	5	36	245999	0	51803	48004

-61	34	1	30	245567	0	51803	48004
-65	30	1	30	245198	0	51803	48004
-64	34	3	36	244829	0	51803	48004
-66	31	2	30	244748	0	51803	48004
-53	47	3	48	244649	0	51803	48004
-55	31	2	30	244190	0	51803	48004
-54	34	4	36	244361	0	51803	48004
-58	30	4	30	244334	0	51803	48004
-57	34	6	36	243983	0	51803	48004
-59	31	5	30	243668	0	51803	48004
-61	32	3	30	243821	0	51803	48004
-62	32	1	30	243830	0	51803	48004
-63	32	4	35	243011	0	51803	48004
-53	44	1	41	242660	0	51803	48004
-53	33	4	36	242858	0	51803	48004
-52	34	6	36	242759	0	51803	48004
-56	30	6	30	242714	0	51803	48004
-55	34	2	30	243326	0	51803	48004
-58	30	2	30	243515	0	51803	48004
-59	33	5	36	242948	0	51803	48004
-61	31	4	30	243884	0	51803	48004
-62	32	2	30	243776	0	51803	48004
-61	35	3	36	244505	0	51803	48004
-63	31	2	30	245162	0	51803	48004
-65	31	1	30	245693	0	51803	48004
-66	33	4	36	245864	0	51803	48004
-50	49	3	48	245153	0	51803	48004
-53	31	2	30	245963	0	51803	48004
-56	30	2	30	246971	0	51803	48004
-55	34	4	36	249050	0	51803	48004

-60	29	4	29	251741	0	51803	48004
-60	33	1	30	253343	0	51803	48004
-61	32	5	36	255512	0	51803	48004
-62	32	3	30	257825	0	51803	48004
-64	32	1	30	260138	0	51803	48004
-65	32	5	36	263594	0	51803	48004
-65	33	2	30	267248	0	51803	48004
-66	33	5	36	270335	0	51803	48004
-53	46	1	42	269498	0	51803	48004
-53	33	4	36	270587	0	51803	48004
-57	31	3	30	269849	0	51803	48004
-56	33	6	36	270317	0	51803	48004
-60	30	5	29	272999	0	51803	48004
-61	32	3	30	271793	0	51803	48004
-61	33	6	36	273332	0	51803	48004
-63	31	5	30	275960	0	51803	48004
-65	32	3	30	279812	0	51803	48004
-65	33	6	36	284951	0	51803	48004
-65	33	3	30	289118	0	51803	48004
-54	45	5	47	292853	0	51803	48004
-53	34	1	30	295553	0	51803	48004
-55	31	6	36	297992	0	51803	48004
-56	33	3	30	298802	0	51803	48004
-59	30	3	30	300602	0	51803	48004
-58	34	5	36	301817	0	51803	48004
-61	32	3	30	302483	0	51803	48004
-62	31	2	30	302609	0	51803	48004
-62	34	3	35	300908	0	51803	48004
-64	31	2	30	297866	0	51803	48004
-65	32	6	36	294284	0	51803	48004

-52	46	2	42	288389	0	51803	48004
-53	33	5	36	287498	0	51803	48004
-55	31	3	29	285986	0	51803	48004
-57	31	2	30	283385	0	51803	48004
-59	32	6	36	279335	0	51803	48004
-58	34	2	30	276770	0	51803	48004
-60	31	0	29	275087	0	51803	48004
-64	30	6	36	274151	0	51803	48004
-64	33	3	30	273278	0	51803	48004
-66	31	2	30	272324	0	51803	48004
-65	35	3	36	268913	0	51803	48004
-51	47	4	48	264098	0	51803	48004
-54	31	3	30	260561	0	51803	48004
-56	31	2	30	257816	0	51803	48004
-56	33	5	36	255827	0	51803	48004
-56	33	2	30	254009	0	51803	48004
-58	32	6	36	252767	0	51803	48004
-60	31	5	30	254396	0	51803	48004
-62	31	4	30	255278	0	51803	48004
-61	35	5	36	254981	0	51803	48004
-64	30	5	30	254783	0	51803	48004
-66	32	3	30	253226	0	51803	48004
-52	48	3	48	254180	0	51803	48004
-67	18	3	18	256610	0	51803	48004
-53	47	4	48	258446	0	51803	48004
-57	30	3	29	259760	0	51803	48004
-56	32	6	35	261434	0	51803	48004
-59	31	5	30	262343	0	51803	48004
-59	34	1	30	264629	0	51803	48004
-61	31	6	36	266168	0	51803	48004
-63	31	5	30	265916	0	51803	48004

-62	35	6	36	264206	0	51803	48004
-65	30	6	30	263756	0	51803	48004
-67	32	4	30	263747	0	51803	48004
-52	48	4	48	263828	0	51803	48004
-54	31	3	30	261731	0	51803	48004
-54	34	5	36	259265	0	51803	48004
-57	31	4	30	257591	0	51803	48004
-58	32	2	30	255710	0	51803	48004
-60	31	6	35	253523	0	51803	48004
-60	33	3	30	251048	0	51803	48004
-62	31	2	30	248708	0	51803	48004
-63	32	6	36	247394	0	51803	48004
-64	33	3	30	246530	0	51803	48004
-63	34	5	36	247664	0	51803	48004
-66	30	5	30	248168	0	51803	48004
-53	47	6	48	249662	0	51803	48004
-55	31	5	30	249860	0	51803	48004
-54	34	1	30	249797	0	51803	48004
-58	30	1	30	248960	0	51803	48004
-57	34	3	36	246836	0	51803	48004
-59	31	1	29	245387	0	51803	48004
-62	31	6	36	244865	0	51803	48004
-63	32	4	30	242660	0	51803	48004
-64	32	2	30	241463	0	51803	48004
-66	32	6	36	239888	0	51803	48004
-65	34	2	30	238745	0	51803	48004
-53	45	5	48	237269	0	51803	48004
-55	32	3	30	235820	0	51803	48004
-54	34	5	36	235100	0	51803	48004
-58	29	6	30	234686	0	51803	48004

-59	33	3	30	234893	0	51803	48004
-59	33	6	36	235865	0	51803	48004
-59	33	3	30	236342	0	51803	48004
-62	31	2	30	235703	0	51803	48004
-63	32	6	36	236414	0	51803	48004
-64	32	4	30	236306	0	51803	48004
-66	32	2	30	235640	0	51803	48004
-65	34	4	36	236621	0	51803	48004
-67	32	2	30	236819	0	51803	48004
-55	45	4	47	237449	0	51803	48004
-57	31	3	30	236765	0	51803	48004
-56	34	5	36	237377	0	51803	48004
-60	30	5	30	237098	0	51803	48004
-59	34	1	30	237188	0	51803	48004
-61	31	6	36	236342	0	51803	48004
-63	32	4	30	236810	0	51803	48004
-64	32	2	30	236117	0	51803	48004
-65	32	6	36	236666	0	51803	48004
-51	48	6	48	236000	0	51803	48004
-66	18	6	18	236333	0	51803	48004
-53	47	6	47	236702	0	51803	48004
-58	28	2	24	235802	0	51803	48004
-57	34	4	36	235280	0	51803	48004
-58	32	2	30	234542	0	51803	48004
-59	33	5	36	234137	0	51803	48004
-61	31	4	30	233561	0	51803	48004
-62	32	2	30	233651	0	51803	48004
-63	33	5	36	232517	0	51803	48004
-65	31	4	30	232247	0	51803	48004
-66	32	2	30	231797	0	51803	48004

-66	34	4	36	231329	0	51803	48004
-53	46	6	48	230762	0	51803	48004
-55	31	5	30	230132	0	51803	48004
-57	32	3	30	229916	0	51803	48004
-58	32	1	30	229556	0	51803	48004
-60	31	6	36	228251	0	51803	48004
-61	34	2	30	228548	0	51803	48004
-61	32	6	36	227765	0	51803	48004
-62	32	3	29	226820	0	51803	48004
-65	31	2	30	226217	0	51803	48004
-50	48	2	48	225938	0	51803	48004
-66	17	3	18	225974	0	51803	48004
-53	47	4	48	223922	0	51803	48004
-53	33	1	30	224750	0	51803	48004
-55	31	6	36	223742	0	51803	48004
-57	32	4	30	223517	0	51803	48004
-59	31	3	30	222239	0	51803	48004
-59	33	6	36	222923	0	51803	48004
