DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
3864	0	111	0	1081035	1
3998	79	63	31	1081782	0
4068	157	31	125	1081197	0
4594	424	16	409	1081251	0

5137	578	31	593	1081233	0

6691	1721	32	1722	1081188	0
6915	157	31	156	1080936	0
6943	62	31	62	1080720	0

8496	1619	16	1604	1080135	0

8697	234	0	218	1080621	0

10081	1417	15	1432	1082241	0
10406	359	0	344	1078461	0

11885	1512	31	1543	1083177	0
11930	78	16	63	1078713	0

13149	1286	16	1286	1080477	0

13619	437	16	437	1082331	0

15164	1645	0	1629	1079910	0
15277	78	17	95	1079037	0

16830	1621	31	1635	1081593	0
17016	219	31	219	1080891	0

18437	1488	16	1473	1081935	0
18611	141	0	125	1079991	0

19956	1445	31	1476	1083501	0

20273	283	31	283	1079937	0

21744	1538	31	1538	1081791	0

22165	454	16	439	1079253	0

23226	1095	16	1095	1077840	0
23991	798	31	813	1077606	0

24977	1019	16	1004	1083069	0

25569	626	15	625	1080810	0

26600	1064	16	1065	1082448	0

27444	877	15	876	1082457	0

28113	703	31	719	1083591	0

29071	1001	0	970	1081152	0
29766	719	31	750	1080828	0

-9423	845	31	845	1081710	0

-8283	1173	16	1158	1081476	0

-7766	550	31	565	1079847	0

-7018	781	31	781	1076931	0

-5761	1290	31	1290	1080270	0
-5404	390	16	375	1079946	0

-4247	1191	16	1191	1080639	0

-3514	766	32	782	1081026	0

-2702	845	0	813	1081179	0

-1760	976	31	1007	1081719	0

-1102	691	31	691	1082664	0

-70	1065	0	1034	1081485	0
521	625	0	625	1079028	0

1730	1242	16	1258	1080828	0
2011	314	16	314	1081530	0

3478	1534	16	1534	1081179	0
3574	63	15	62	1081179	0

4836	1328	0	1313	1078200	0

45574	772	16	788	1079874	0

46776	1235	0	1219	1081026	0
46977	234	16	250	1081206	0

48381	1438	15	1437	1079343	0

48833	485	32	502	1081404	0

50005	1205	16	1189	1083564	0

50522	551	31	566	1079703	0

51551	1062	31	1062	1078740	0
52259	741	16	726	1079523	0

53194	969	18	971	1079280	0

53949	788	16	786	1083384	0

54844	927	0	911	1081746	0

55874	1065	31	1096	1082520	0
56169	328	16	313	1082529	0

57417	1315	15	1314	1082367	0
57748	297	31	313	1080936	0

59425	1744	15	1728	1079721	0
59454	62	19	66	1081080	0

60767	1347	16	1344	1082502	0

61720	986	31	1001	1081800	0

62124	437	31	437	1080666	0

63595	1538	32	1539	1080162	1
63644	16	47	31	1082169	0

64920	1376	16	1345	1079271	0

65348	394	31	409	1082151	0

66904	1656	31	1656	1082313	0
67031	94	0	63	1081719	0

68484	1553	16	1569	1080225	0
68673	156	16	156	1083231	0

69982	1409	15	1408	1083465	0
70344	328	31	344	1081053	0

71938	1661	0	1630	1080738	0
72046	141	16	157	1076967	0

73652	1673	31	1688	1083069	1
73700	16	46	31	1083240	0

74980	1379	15	1348	1080234	0
75344	330	31	346	1082727	0

76770	1526	16	1511	1080117	0
76990	187	16	187	1081503	0

78551	1628	16	1628	1078560	0

78831	313	16	313	1077543	0

