DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
3849	0	15	0	1081043	0	53134	48001
3983	79	15	79	1081790	0	53136	48003
4052	156	16	157	1081205	0	53133	48000
4579	425	15	424	1081259	0	53137	48004

5122	578	15	578	1081241	0	53135	48002

6676	1721	15	1721	1081196	0	53134	48001

6899	156	16	157	1080944	0	53133	48000
6927	62	16	62	1080728	0	53136	48003

8480	1619	16	1619	1080143	0	53136	48003
8682	235	15	234	1080629	0	53134	48001

10065	1416	16	1417	1082249	0	53136	48003
10390	359	16	359	1078469	0	53134	48001

11870	1513	15	1512	1083185	0	53136	48003
11915	78	15	78	1078721	0	53134	48001

13133	1285	16	1286	1080485	0	53134	48001

13604	438	15	437	1082339	0	53136	48003

15148	1644	16	1645	1079918	0	53134	48001
15261	78	16	78	1079045	0	53136	48003

16814	1621	16	1621	1081601	0	53136	48003
17000	219	16	219	1080899	0	53134	48001

18422	1489	15	1488	1081943	0	53134	48001
18595	140	16	141	1079999	0	53136	48003

19940	1445	16	1445	1083509	0	53134	48001
20257	283	16	283	1079945	0	53136	48003

21729	1539	15	1538	1081799	0	53136	48003
22149	453	16	454	1079261	0	53134	48001

23226	1111	0	1095	1077848	0	53136	48003

23975	782	16	798	1077614	0	53134	48001

24962	1020	15	1019	1083077	0	53136	48003

25553	625	16	626	1080818	0	53134	48001

26585	1065	15	1064	1082456	0	53136	48003

27428	876	16	877	1082465	0	53134	48001
28097	703	16	703	1083599	0	53136	48003

29056	1002	15	1001	1081160	0	53134	48001

29750	718	16	719	1080836	0	53136	48003

-9439	845	16	845	1081718	0	53134	48001

-8299	1173	16	1173	1081484	0	53136	48003

-7782	550	16	550	1079855	0	53134	48001
-7034	781	16	781	1076939	0	53136	48003

-5777	1290	16	1290	1080278	0	53134	48001
-5419	391	15	390	1079954	0	53136	48003

-4263	1190	16	1191	1080647	0	53134	48001

-3529	767	15	766	1081034	0	53136	48003

-2717	845	15	845	1081187	0	53134	48001

-1776	975	16	976	1081727	0	53136	48003

-1118	691	16	691	1082672	0	53134	48001

-85	1066	15	1065	1081493	0	53136	48003
506	625	15	625	1079036	0	53134	48001

1715	1242	15	1242	1080836	0	53136	48003

1996	314	15	314	1081538	0	53134	48001

3463	1534	15	1534	1081187	0	53134	48001
3558	62	16	63	1081187	0	53136	48003

4820	1328	16	1328	1078208	0	53136	48003
45559	773	15	772	1079882	0	53134	48001

46760	1234	16	1235	1081034	0	53136	48003
46961	234	16	234	1081214	0	53134	48001

48365	1438	16	1438	1079351	0	53136	48003

48818	486	15	485	1081412	0	53134	48001

49990	1205	15	1205	1083572	0	53136	48003
50506	550	16	551	1079711	0	53134	48001

51536	1063	15	1062	1078748	0	53136	48003

52243	740	16	741	1079531	0	53134	48001

53179	970	15	969	1079288	0	53136	48003

53934	788	15	788	1083392	0	53134	48001

54829	927	15	927	1081754	0	53136	48003

55858	1064	16	1065	1082528	0	53134	48001
56154	329	15	328	1082537	0	53136	48003

57401	1314	16	1315	1082375	0	53136	48003

57732	297	16	297	1080944	0	53134	48001

59409	1744	16	1744	1079729	0	53134	48001

59438	62	16	62	1081088	0	53136	48003

60752	1348	15	1347	1082510	0	53134	48001

61704	985	16	986	1081808	0	53136	48003
62108	437	16	437	1080674	0	53134	48001

63580	1539	15	1538	1080170	0	53134	48001
63628	15	16	16	1082177	0	53136	48003

64905	1377	15	1376	1079279	0	53134	48001

65332	393	16	394	1082159	0	53136	48003

66889	1657	15	1656	1082321	0	53134	48001
67015	93	16	94	1081727	0	53136	48003

68468	1553	16	1553	1080233	0	53134	48001
68658	157	15	156	1083239	0	53136	48003

69966	1408	16	1409	1083473	0	53134	48001

70328	328	16	328	1081061	0	53136	48003

71938	1677	0	1661	1080746	0	53136	48003
72030	125	16	141	1076975	0	53134	48001

73636	1673	16	1673	1083077	0	53134	48001
73684	16	16	16	1083248	0	53136	48003

74964	1379	16	1379	1080242	0	53134	48001

75328	330	16	330	1082735	0	53136	48003

76754	1526	16	1526	1080125	0	53134	48001
76975	188	15	187	1081511	0	53136	48003

78535	1627	16	1628	1078568	0	53136	48003
78816	314	15	313	1077551	0	53134	48001

