UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement

05.59.06.093	3	16.983016983017	13.9467572427572	15.3577041759831	20.8235294117647	0.800000011920929	0	0	0
05.59.07.095	3	28.971028971029	19.805010989011	24.7486148926112	19.4565217391304	0.800000011920929	0	0	0
05.59.08.096	3	30.969030969031	21.2834685314685	18.4352888234343	19.1038961038961	0.800000011920929	0	0	0
05.59.09.099	3	29.97002997003	21.0432767232767	13.7593999548067	18.26	0.800000011920929	0	0	0
05.59.10.101	3	29.940119760479	20.2864670658683	22.1628295000534	18.37	0.800000011920929	0	0	0
05.59.11.101	3	29.97002997003	19.3591528471528	21.3138457625646	19.26	0.800000011920929	0	0	0
05.59.12.104	3	29.97002997003	79.6222177822178	57.8788411509868	30.98	0.800000011920929	0	0	0
05.59.13.106	3	29.97002997003	81.3918641358641	50.0861688325046	52.06	0.800000011920929	0	0	0
05.59.14.107	3	30.969030969031	25.5423296703297	28.1097954050067	53.35	0.800000011920929	0	0	0
05.59.15.109	3	28.9421157684631	23.4699640718563	29.3046428299266	44.37	0.800000011920929	0	0	0
05.59.16.112	3	20.979020979021	83.3246433566433	311.982477430934	60.41	0.800000011920929	0	0	0
05.59.17.112	3	4.99500499500499	14.8242077922078	356.236798856171	83.41	0.800000011920929	0	0	0
05.59.18.113	3	0	0	356.236798856171	83.41	0.800000011920929	0	0	0
05.59.19.116	3	0	0	356.236798856171	83.41	0.800000011920929	0	0	0
05.59.20.118	3	12.987012987013	42.6015824175824	50.8753083980123	79.17	0.800000011920929	0	0	0
05.59.21.119	3	29.97002997003	70.1438241758242	48.3682225682244	101.75	0.800000011920929	0	0	0
05.59.22.121	3	30.969030969031	59.0154965034965	11.1665959804742	114.21	0.800000011920929	0	0	0
05.59.23.124	3	29.97002997003	17.1923196803197	16.7151643339323	58.26	0.800000011920929	0	0	0
05.59.24.127	3	28.971028971029	17.7614625374625	26.1086978263435	36.82	0.800000011920929	0	0	0
05.59.25.129	3	13.986013986014	8.58746853146853	30.9718164975512	34.04	0.800000011920929	0	0	0
05.59.26.132	3	0	0	30.9718164975512	34.04	0.800000011920929	0	0	0
05.59.27.134	3	0	0	30.9718164975512	34.04	0.800000011920929	0	0	0
05.59.28.137	3	0	0	30.9718164975512	34.04	0.800000011920929	0	0	0
05.59.29.138	3	0	0	30.9718164975512	34.04	0.800000011920929	0	0	0
05.59.30.140	3	0	0	30.9718164975512	34.04	0.800000011920929	0	0	0
05.59.31.143	3	0	0	30.9718164975512	34.04	0.800000011920929	0	0	0
05.59.32.146	3	15.984015984016	37.1821618381618	36.6687784553381	26.87	0.800000011920929	0	0	0
05.59.33.148	3	29.97002997003	84.0837002997003	42.2656428858817	34.27	0.800000011920929	0	0	0
