UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement

06.26.27.438	7	2.997002997003	5.87868131868132	35.875	45.3333333333333	0.5	0	0	0
06.26.28.442	7	30.969030969031	60.5331068931069	21.3010186998872	41.0909090909091	0.5	0	0	0
06.26.29.444	7	30	44.402112	32.4036546985628	33	0.5	0	0	0
06.26.30.446	7	29.97002997003	45.5934065934066	19.6486306250129	30.4408602150538	0.5	0	0	0
06.26.31.449	7	29.940119760479	48.9120718562874	23.8503466414514	24.69	0.5	0	0	0
06.26.32.450	7	29.97002997003	47.7075884115884	26.5983861383988	24.99	0.5	0	0	0
06.26.33.452	7	30	46.184256	24.7370956815764	26.33	0.5	0	0	0
06.26.34.453	7	29.97002997003	43.2617862137862	24.0168057511268	27.14	0.5	0	0	0
06.26.35.456	7	29.97002997003	48.43399000999	18.390594551371	27.25	0.5	0	0	0
06.26.36.457	7	29.97002997003	43.5322357642358	20.782942138976	25.05	0.5	0	0	0
06.26.37.458	7	28.971028971029	40.2446673326673	22.8985855780224	23.38	0.5	0	0	0
06.26.38.461	7	29.97002997003	42.2010629370629	14.1499773156593	22.18	0.5	0	0	0
06.26.39.463	7	30.938123752495	44.1393293413174	17.136513592815	23.14	0.5	0	0	0
06.26.40.467	7	28.971028971029	41.4235684315684	14.4382591863503	23.32	0.5	0	0	0
06.26.41.469	7	30.969030969031	43.6828051948052	31.2213328875958	24.08	0.5	0	0	0
06.26.42.472	7	29.97002997003	42.3463576423576	29.8017569903483	24.67	0.5	0	0	0
06.26.43.474	7	29.940119760479	42.077748502994	27.9051508128659	24.62	0.5	0	0	0
06.26.44.477	7	29.97002997003	41.9252187812188	18.2041286024313	23.52	0.5	0	0	0
06.26.45.479	7	29.97002997003	42.043972027972	18.4077438424361	22.04	0.5	0	0	0
06.26.46.482	7	29.940119760479	42.4869700598802	17.9668603478072	21.93	0.5	0	0	0
06.26.47.484	7	30	42.270336	15.2051139752695	22.62	0.5	0	0	0
06.26.48.487	7	29.97002997003	42.5391968031968	25.2033160554293	22.77	0.5	0	0	0
06.26.49.489	7	30	43.031808	13.4666694622502	23.46	0.5	0	0	0
06.26.50.492	7	29.97002997003	42.491004995005	16.5326447984825	23.15	0.5	0	0	0
06.26.51.493	7	29.97002997003	45.2246313686314	24.0418545981242	24.42	0.5	0	0	0
06.26.52.494	7	31	50.488152	24.6824742714333	23.76	0.5	0	0	0
06.26.53.496	7	30	37.657872	20.9800882504158	23.36	0.5	0	0	0
06.26.54.502	7	29	25.366584	16.0707453172468	21.76	0.5	0	0	0
06.26.55.503	7	31	26.126016	7.77904334993602	18.14	0.5	0	0	0
06.26.56.505	7	29.940119760479	25.1831137724551	16.4921307783184	17.28	0.5	0	0	0
06.26.57.508	7	28.9421157684631	26.7339640718563	16.5432938109079	15.46	0.5	0	0	0
06.26.58.510	7	30.969030969031	29.3634365634366	18.1301180122156	16.46	0.5	0	0	0
06.26.59.512	7	30	29.988288	13.6564379318247	17.53	0.5	0	0	0
06.27.00.515	7	28.9421157684631	27.2774131736527	20.6006024271775	16.97	0.5	0	0	0
06.27.01.517	7	30.969030969031	29.0859380619381	17.9394128646704	16.88	0.5	0.05	0	15
06.27.02.519	7	26.973026973027	35.800975024975	19.4451300869838	18.33	0.5	0.1	0	15
06.27.03.522	7	28	41.09892	25.6569089421821	20.18	0.5	0.15	0	15
06.27.04.524	7	23.9520958083832	30.2583233532934	23.6284904275482	21.88	0.5	0.2	0	15
06.27.05.527	7	25.974025974026	33.6685714285714	24.8196857218219	24	0.5	0.25	0	15
06.27.06.527	7	25.974025974026	36.0220579420579	19.503684986811	23.23	0.5	0.3	0	15
06.27.07.528	7	17.982017982018	19.2637042957043	13.3566808770847	22.85	0.5	0.25	0	15
06.27.08.530	7	23	25.711464	27.6624545284129	21.18	0.5	0.3	0	15
06.27.09.537	7	15.984015984016	15.8044195804196	17.3385975834238	19.85	0.5	0.35	0	15
06.27.10.540	7	21.9560878243513	21.1933173652695	11.5644280140865	18.38	0.5	0.3	0	15
06.27.11.543	7	20.979020979021	20.5228051948052	11.6173075591154	17.43	0.5	0.25	0	15
06.27.12.544	7	20.979020979021	20.6680999000999	10.711633499769	16.82	0.5	0.2	0	15
06.27.13.547	7	21.978021978022	22.415040959041	27.9073442725261	17.82	0.5	0.25	0	15
06.27.14.549	7	20.9580838323353	22.253748502994	28.8874854599687	19.23	0.5	0.3	0	15
06.27.15.552	7	20.979020979021	28.4881918081918	16.4493445813587	20.37	0.5	0.35	0	15
06.27.16.553	7	20.979020979021	27.5140699300699	17.0760080572818	21.1	0.5	0.4	0	15
06.27.17.554	7	14.985014985015	19.5702617382617	20.3901390383318	21.27	0.5	0.45	0	15
06.27.18.556	7	13.986013986014	17.1904975024975	29.4623278978318	20.14	0.5	0.5000001	0	15
06.27.19.559	7	8.99100899100899	10.5109210789211	27.9672483670877	20.16	0.5	0.5500001	0	15
06.27.20.561	7	12	15.360264	10.7717245176229	18.93	0.5	0.5000001	0	15
06.27.21.564	7	12.987012987013	13.4128111888112	13.603853970278	19.26	0.5	0.45	0	15
06.27.22.566	7	18.981018981019	16.7272567432567	17.9484970166282	17.7	0.5	0.5000001	0	15
06.27.23.568	7	12.987012987013	11.0301938061938	6.87938824426472	16.94	0.5	0.45	0	15
06.27.24.569	7	12.987012987013	11.4515484515485	16.7077489487603	17.31	0.5	0.5000001	0	15
06.27.25.570	7	16.983016983017	15.0233046953047	20.7897240276256	17.8	0.5	0.5500001	0	15
06.27.26.572	7	8.99100899100899	8.00487512487512	22.5132611797415	16.74	0.5	0.6000001	0	15
06.27.27.574	7	8.99100899100899	8.0265974025974	3.06350246324168	15.54	0.5	0.5500001	0	15
06.27.28.577	7	13.986013986014	12.5849430569431	6.87164694228902	15.54	0.5	0.5000001	0	15
06.27.29.578	7	13.986013986014	12.4787052947053	17.0024335722011	15.31	0.5	0.5500001	0	15
06.27.30.581	7	13	11.502096	17.1953127970669	14.95	0.5	0.6000001	0	15
06.27.31.584	7	14.9700598802395	13.3008862275449	7.23322129250479	15.9	0.5	0.5500001	0	15
06.27.32.586	7	19	16.711224	7.64268347400912	15.11	0.5	0.5000001	0	15
06.27.33.588	7	12.987012987013	11.1646273726274	19.44771028851	15.88	0.5	0.5500001	0	15
06.27.34.591	7	15.984015984016	13.7308051948052	8.35047069870435	16.7	0.5	0.5000001	0	15
06.27.35.592	7	19	16.305432	3.76965398878231	16.98	0.5	0.45	0	15
06.27.36.593	7	17.982017982018	15.0034765234765	19.903884008995	16.79	0.5	0.5000001	0	15
