DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
44	0	13	0	245208	1
82	5	34	26	241923	1
27	12	43	21	248439	1
33	40	25	22	253866	0
65	64	3	42	258348	0
36	6	19	22	260598	0
25	22	18	21	262290	0
46	53	6	41	264675	0
45	34	13	41	265521	0
35	23	11	21	268572	0
79	77	16	82	274566	0
79	35	2	21	273882	0
71	24	20	42	273027	0
39	35	7	22	276960	0
42	35	16	44	278922	1
113	5	32	21	275457	0
49	35	18	21	266844	1
32	17	22	21	254496	0
27	28	15	21	246711	0

46	52	4	41	245145	0
58	46	1	43	243831	0
43	18	4	21	239250	0
34	24	2	22	233913	0
55	55	9	62	230349	0
38	17	13	21	226047	0
29	23	11	21	223365	0
41	46	8	43	220413	0
26	18	12	22	217848	0
22	29	6	23	214689	0
34	46	3	43	211332	0
42	41	5	43	208218	0
21	12	14	21	204843	0
22	35	1	22	202125	0
28	39	4	42	198102	0
55	60	7	63	196608	1
27	6	22	21	194439	0
21	28	15	21	195303	0
32	44	15	44	195546	0
49	51	6	42	196311	0
33	17	11	22	194916	0
29	29	3	21	192873	0
37	42	2	41	189786	0
16	11	12	21	187374	0
16	33	21	42	184917	0
21	39	3	21	182289	0
39	51	15	63	180228	1
12	6	31	22	179229	1
8	30	22	21	178644	0
23	48	16	42	176682	0
31	47	10	41	176862	0

41	39	13	42	176799	1
15	6	27	20	178023	0
21	39	9	21	179121	0
38	51	20	62	180138	1
10	6	35	21	180372	0
13	35	21	21	182685	0
29	51	11	41	183378	0
43	47	6	42	182730	0
16	6	21	21	182325	0
16	34	8	21	183963	0
23	40	8	40	183801	0
31	40	10	42	184404	0
44	47	4	41	184575	0
21	10	15	21	185943	0
22	34	2	21	186060	0
35	47	16	61	186078	0
48	46	11	41	185934	0
26	11	22	22	185124	0
28	36	8	22	188625	0
31	36	14	42	189129	0
41	43	12	41	187851	1
18	11	26	25	188337	0
24	40	7	21	187473	0
28	36	14	43	187068	0
38	45	10	41	187113	0
22	17	14	21	187914	0
17	28	6	20	188706	0
29	46	3	43	189831	0
43	47	18	62	191559	1

22	12	28	22	191082	0
17	29	22	23	191199	0
26	41	2	21	192504	0
44	51	13	62	191964	1
22	12	22	21	191901	0
16	27	17	22	192018	0
39	56	2	41	192783	0
43	39	6	43	192405	0
22	11	17	22	193008	0
18	29	9	21	192441	0
31	47	4	42	192315	0
44	47	18	61	192801	1
24	12	27	21	193908	0
18	29	19	21	193323	0
31	45	16	42	194421	0
43	46	15	45	195546	1
20	11	24	20	195627	0
15	28	18	22	197175	0
29	46	17	45	198327	0
45	51	8	42	199911	0
25	13	17	22	200073	0
22	30	8	21	199749	0
22	34	16	42	199947	0
41	52	6	42	200118	0
20	11	16	21	200307	0
16	30	7	21	200820	0
27	45	4	42	201216	0
46	51	15	62	200883	1
23	11	26	22	201171	0
19	29	18	21	200847	0
32	46	13	41	200829	0

38	40	14	41	201909	1
16	11	24	21	201621	0
16	33	12	21	201432	0
28	46	7	41	201099	0
46	52	17	62	204843	1
24	10	28	21	206013	0
23	34	15	21	208281	0
26	36	1	22	209478	0
39	46	18	63	212520	1
23	17	22	21	213645	0
13	24	19	21	215832	0
27	46	15	42	217596	0
39	46	11	42	219747	0
22	16	17	22	219675	0
35	46	12	41	220188	0
34	33	21	42	219171	0
42	41	2	22	216345	0
26	17	7	22	216003	0
27	35	14	42	211359	0
27	34	1	21	209847	0
42	47	17	63	207660	1
18	11	27	21	204654	0
20	35	13	21	200892	0
29	41	14	42	197616	0
42	47	9	42	197571	0
19	12	23	26	195150	0
12	25	19	21	195087	0
33	55	6	42	194169	0
42	41	8	43	191811	0
26	17	12	21	191127	0

21	29	3	20	190560	0
28	40	6	43	190623	0
40	45	7	46	188283	0
18	12	16	21	187977	0
19	34	3	21	187959	0
32	46	20	63	188706	0
50	52	9	41	189336	0
29	12	18	21	191127	0
25	29	10	21	193503	0
30	39	13	42	195942	0
49	53	2	42	198885	0
21	5	19	22	198516	0
28	41	20	42	199191	0
36	41	20	41	200154	0
60	57	4	41	202989	0
37	11	14	21	203682	0
38	34	3	23	200685	0
17	11	13	21	199155	0
10	28	8	23	198885	0
29	51	19	62	200199	0
42	46	15	42	200514	0
59	51	6	42	200577	0
39	13	16	23	199290	0
30	24	13	21	198255	0
35	39	17	43	196626	0
49	48	11	42	196041	0
27	11	23	23	193710	0
17	24	21	22	194745	0
36	52	11	42	192999	0

43	40	14	43	191847	1
22	12	23	21	190110	0
18	30	14	21	189615	0
38	52	3	41	188148	0
42	38	6	41	187212	0
21	12	15	21	186753	0
22	34	2	21	186609	0
29	41	2	41	186447	0
43	47	17	62	185268	1
22	12	26	21	185340	0
17	29	18	21	184620	0
52	68	12	62	183846	0
34	15	18	21	184656	0
18	18	21	21	182694	0
35	50	12	41	181515	0
41	39	19	46	181893	1
19	12	28	21	180570	0
18	33	16	21	180111	0
33	47	15	46	179958	0
43	45	11	41	179085	0
21	11	21	21	179634	0
19	31	16	26	179634	0
33	47	10	41	179355	0
46	47	6	43	179274	0
26	12	17	23	178743	0
21	30	8	21	178635	0
28	40	10	42	177825	0
41	46	5	41	177123	0
13	6	19	20	176430	0
16	35	6	22	173721	0
33	51	16	61	174666	0

46	46	13	43	174693	1
18	5	29	21	171300	0
31	46	5	22	171381	0
45	48	18	61	172857	1
29	17	22	21	176970	0
24	28	15	21	180498	0
30	41	15	41	183450	0
44	47	13	45	186249	1
18	6	28	21	186474	0
18	34	15	21	187023	0
42	58	2	45	188346	0
49	40	5	43	189804	0
27	12	14	21	193611	0
19	25	10	21	193818	0
39	52	21	63	196257	0
54	49	14	42	197571	1
27	6	30	22	198129	0
24	30	21	21	199164	0
35	45	18	42	199785	0
48	46	15	43	200424	1
22	7	29	21	201063	0
23	35	16	22	203025	0
31	41	16	41	203448	0
52	54	4	42	202152	0
23	6	19	21	202512	0
18	28	12	21	204663	0
33	47	7	42	203727	0
45	46	3	42	204717	0
22	11	14	22	204735	0
18	29	7	22	204240	0

30	46	4	43	204231	0
42	46	21	63	204096	1
22	11	31	21	205275	1
17	29	23	21	204303	0
23	39	5	21	203817	0
40	50	18	63	204384	1
22	16	22	20	203907	0
16	27	16	21	203484	0
23	40	17	41	203196	0
40	51	8	42	201729	0
24	17	13	22	201387	0
9	18	16	21	199857	0
23	48	9	41	198165	0
37	47	4	42	196860	0
14	11	14	21	194619	0
11	30	5	21	190254	0
20	42	5	42	186852	0
28	42	5	42	184683	0
39	45	1	41	182613	0
19	12	10	21	181029	0
14	29	2	21	182460	0
27	47	18	63	183027	0
42	48	12	42	182577	1
15	6	27	21	182847	0
11	30	19	22	183144	0
26	48	13	42	183027	0
36	42	13	42	183207	1
14	12	22	21	182883	0
10	30	13	21	182145	0
24	46	9	42	181533	0

38	48	2	41	181740	0
45	40	4	42	181173	0
18	6	19	21	180660	0
25	41	20	42	180651	0
26	34	7	21	180021	0
40	47	2	42	178896	0
18	12	11	21	178986	0
19	34	19	42	178554	0
32	46	14	41	177771	0
43	46	10	42	176943	0
22	11	21	22	177015	0
16	27	14	20	176430	0
25	44	12	42	176061	0
39	47	7	42	175170	0
17	10	18	21	175656	0
17	34	4	20	174621	0
32	48	18	62	174279	0
41	42	18	42	174333	1
19	12	27	21	173298	0
19	33	15	21	173253	0
31	45	12	42	172695	0
43	46	8	42	173973	0
22	12	17	21	172902	0
18	29	13	25	174279	0
24	40	14	41	172767	0
36	46	10	42	172929	0
15	11	20	21	172164	0
13	33	8	21	172434	0
24	44	6	42	171597	0
39	47	1	42	172794	0
15	11	11	21	172740	0

14	32	21	42	172974	0
24	42	21	42	174108	0
38	48	15	42	173685	1
11	6	30	21	172668	1
7	29	22	21	174387	0
25	52	11	41	173838	0
32	40	13	42	173640	1
11	12	22	21	174090	0
12	35	8	21	173685	0
