DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
35	0	6	0	101072	0	53729	48004
37	34	2	30	101450	0	53729	48004
18	16	4	18	101873	0	53728	48003
13	27	5	28	101846	0	53729	48004
39	58	5	58	101954	0	53729	48004
35	31	3	29	102089	0	53729	48004
10	9	1	7	102179	0	53728	48003
16	39	3	41	102278	0	53729	48004
20	37	6	40	102305	0	53729	48004
36	49	3	46	102584	0	53729	48004
7	5	4	6	103439	0	53728	48003
8	34	3	33	103808	0	53729	48004
21	45	3	45	104789	0	53729	48004
30	42	1	40	104852	0	53729	48004
3	7	5	11	104357	0	53728	48003
9	39	2	36	102710	0	53729	48004
17	41	5	44	101639	0	53729	48004
32	50	5	50	99137	0	53729	48004
4	5	6	6	96617	0	53728	48003
7	35	5	34	94592	0	53729	48004
19	46	5	46	92774	0	53729	48004
44	59	5	59	90767	1	53729	48004
14	3	7	5	88535	0	53728	48003
7	27	4	24	87671	0	53729	48004
19	44	6	46	86987	0	53729	48004
37	52	6	52	85943	1	53729	48004
6	3	9	6	85124	0	53728	48003
3	29	3	23	84080	0	53729	48004
16	47	3	47	82370	0	53729	48004

29	47	1	45	81758	0	53729	48004
0	5	2	6	81065	0	53728	48003
12	44	6	48	80678	0	53729	48004
19	42	3	39	81020	0	53729	48004
35	48	1	46	81515	0	53729	48004
7	4	3	6	82199	0	53728	48003
6	34	3	34	82505	0	53729	48004
16	43	6	46	82559	0	53729	48004
26	43	4	41	82550	0	53729	48004
36	44	5	45	82667	0	53729	48004
8	5	6	6	82802	0	53728	48003
16	42	3	39	83225	0	53729	48004
26	43	2	42	83171	0	53729	48004
41	48	4	50	83252	0	53729	48004
14	6	4	6	83747	0	53728	48003
15	34	3	33	84215	0	53729	48004
27	45	4	46	84809	0	53729	48004
32	39	4	39	85115	0	53729	48004
5	6	3	5	85430	0	53728	48003
13	42	2	41	86087	0	53729	48004
22	41	3	42	86087	0	53729	48004
34	47	1	45	86078	0	53729	48004
8	6	1	6	85952	0	53728	48003
15	41	1	41	85709	0	53729	48004
26	45	4	48	85628	0	53729	48004
37	44	4	44	85664	0	53729	48004
13	9	1	6	85916	0	53728	48003
15	36	1	36	86159	0	53728	48003
31	48	4	51	86087	0	53729	48004
1	4	6	6	86213	0	53728	48003

2	36	5	35	85754	0	53729	48004
13	43	3	41	85475	0	53729	48004
37	57	4	58	85844	1	53729	48004
5	3	7	6	85619	0	53728	48003
7	34	1	28	85079	0	53729	48004
12	38	3	40	85124	0	53729	48004
27	49	6	52	85223	0	53729	48004
36	41	5	40	84962	1	53729	48004
6	4	7	6	85115	0	53728	48003
13	41	4	38	85439	0	53729	48004
23	43	0	39	86015	0	53729	48004
34	44	9	53	86537	0	53729	48004
10	10	5	6	86888	0	53728	48003
9	32	2	29	86735	0	53729	48004
18	42	4	44	86861	0	53729	48004
42	58	4	58	86888	0	53729	48004
11	4	5	5	86897	0	53728	48003
19	39	1	35	86762	0	53729	48004
30	44	3	46	86672	0	53729	48004
39	44	0	41	86780	0	53729	48004
12	5	1	6	87257	0	53728	48003
12	34	1	34	87266	0	53729	48004
25	46	2	47	86996	0	53729	48004
38	47	1	46	87005	0	53729	48004
10	6	1	6	87068	0	53728	48003
15	37	4	40	87176	0	53729	48004
22	39	4	39	87365	0	53729	48004
33	45	5	46	87491	1	53729	48004
3	3	8	6	87635	0	53728	48003
7	38	4	34	87725	0	53729	48004

23	49	1	46	87635	0	53729	48004
35	46	1	46	87806	0	53729	48004
7	6	1	6	87950	0	53728	48003
12	38	2	39	88076	0	53729	48004
23	43	4	45	88031	0	53729	48004
34	45	5	46	88022	0	53729	48004
6	6	4	5	88346	0	53728	48003
12	39	5	40	88238	0	53729	48004
24	45	5	45	88328	0	53729	48004
31	42	2	39	88535	0	53729	48004
1	3	4	5	88355	0	53728	48003
6	37	7	40	88004	0	53729	48004
18	46	3	42	88175	0	53729	48004
31	46	1	44	88256	0	53729	48004
3	5	2	6	88544	0	53728	48003
4	35	1	34	88022	0	53729	48004
16	45	2	46	88373	0	53729	48004
24	42	5	45	88148	0	53729	48004
34	45	2	42	87950	0	53729	48004
9	6	2	6	88238	0	53728	48003
11	35	2	35	88049	0	53729	48004
24	46	3	47	88337	0	53729	48004
32	41	4	42	88139	0	53729	48004
3	5	5	6	88031	0	53728	48003
6	37	4	36	88058	0	53729	48004
15	42	4	42	88148	0	53729	48004
25	44	2	42	87860	0	53729	48004
39	47	3	48	87284	1	53729	48004
7	1	8	6	86798	0	53728	48003
11	37	1	30	86816	0	53729	48004

24	47	2	48	86708	0	53729	48004
36	45	4	47	86159	1	53729	48004
7	3	7	6	86285	0	53728	48003
9	37	6	36	86447	0	53729	48004
19	44	4	42	86231	0	53729	48004
30	43	3	42	86015	0	53729	48004
3	6	3	6	85718	0	53728	48003
