UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement

06.16.13.991	3	0	0	3973.5	5244	0.5	0.8	0	0
06.16.15.007	3	2.95275590551181	33.7927322834646	6016.9375	5783.6	0.5	0.8	0	0
06.16.16.023	3	0	0	6016.9375	5783.6	0.5	0.8	0	0
06.16.17.041	3	0	0	6016.9375	5783.6	0.5	0.8	0	0
06.16.18.059	3	0.982318271119843	11.2397328094303	8527.234375	6791.57142857143	0.5	0.8	0	0
06.16.19.075	3	0.984251968503937	11.2793622047244	9428.6171875	7233.875	0.5	0.8	0	0
06.16.20.091	3	0	0	9428.6171875	7233.875	0.5	0.8	0	0
06.16.21.107	3	0.984251968503937	11.2547007874016	10571.80859375	7731.77777777778	0.5	0.8	0	0
06.16.22.125	3	0.982318271119843	11.24242043222	11571.904296875	8215.8	0.5	0.8	0	0
06.16.23.144	3	0.98135426889107	11.2293385672228	12893.9521484375	8761.27272727273	0.5	0.8	0	0
06.16.24.160	3	0.984251968503937	11.2667480314961	14038.9760742188	9296.5	0.5	0.8	0	0
06.16.25.176	3	0.984251968503937	11.2538503937008	15219.4880371094	9842.92307692308	0.5	0.8	0	0
06.16.26.195	3	0	0	15219.4880371094	9842.92307692308	0.5	0.8	0	0
06.16.27.214	3	0.98135426889107	11.2281373895976	16662.2440185547	10433.0714285714	0.5	0.8	0	0
06.16.28.230	3	0.984251968503937	11.2711417322835	17837.1220092773	11005	0.5	0.8	0	0
06.16.29.246	3	0	0	17837.1220092773	11005	0.5	0.8	0	0
06.16.30.261	3	0.984251968503937	11.272062992126	19174.0610046387	11599.125	0.5	0.8	0	0
06.16.31.278	3	0.984251968503937	11.2644803149606	20724.0305023193	12227.0588235294	0.5	0.8	0	0
06.16.32.295	3	0.983284169124877	11.2538997050147	21741.5152511597	12812.1666666667	0.5	0.8	0	0
06.16.33.312	3	0	0	21741.5152511597	12812.1666666667	0.5	0.8	0	0
06.16.34.328	3	0	0	23451.7576255798	13462.1578947368	0.5	0.8	0	0
06.16.35.344	3	1.96850393700787	22.5286771653543	24409.8788127899	14057.45	0.5	0.8	0	0
06.16.36.362	3	0	0	24409.8788127899	14057.45	0.5	0.8	0	0
06.16.37.378	3	1.96850393700787	22.5427795275591	27107.9697031975	15321.3181818182	0.5	0.8	0	0
06.16.38.393	3	0	0	27107.9697031975	15321.3181818182	0.5	0.8	0	0
06.16.39.409	3	0	0	27107.9697031975	15321.3181818182	0.5	0.8	0	0
06.16.40.425	3	1.96850393700787	22.5368267716535	-194.00757420063	13267.375	0.5	0.8	0	0
06.16.41.441	3	0	0	-194.00757420063	13267.375	0.5	0.8	0	0
06.16.42.456	3	0	0	-194.00757420063	13267.375	0.5	0.8	0	0
06.16.43.472	3	1.96850393700787	22.5434881889764	-4975.25189355016	11738.2692307692	0.5	0.8	0	0
06.16.44.488	3	0	0	-4975.25189355016	11738.2692307692	0.5	0.8	0	0
06.16.45.511	3	0.9765625	11.18540625	-4636.12594677508	11144.3703703704	0.5	0.8	0	0
06.16.46.527	3	0	0	-4636.12594677508	11144.3703703704	0.5	0.8	0	0
06.16.47.544	3	1.96656833824975	22.5191268436578	-2936.03148669377	10207.7586206897	0.5	0.8	0	0
06.16.48.559	3	0	0	-2936.03148669377	10207.7586206897	0.5	0.8	0	0
06.16.49.575	3	0	0	-2936.03148669377	10207.7586206897	0.5	0.8	0	0
06.16.50.590	3	1.96850393700787	22.5444803149606	-408.007871673442	9575.74193548387	0.5	0.8	0	0
06.16.51.606	3	0	0	-408.007871673442	9575.74193548387	0.5	0.8	0	0
06.16.52.625	3	0	0	-408.007871673442	9575.74193548387	0.5	0.8	0	0
