DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
5098	0	422	0	1430940	1
5421	390	63	31	1429194	0
5700	313	0	250	1431903	0
6268	500	0	500	1430850	0

6522	204	31	235	1430409	0

9169	2864	16	2849	1431453	0

9485	282	15	281	1430211	0
10346	828	31	844	1430013	0

11731	1485	16	1470	1430256	0

12588	891	31	906	1432479	0

14231	1677	16	1662	1429347	0

15199	1000	16	1000	1430598	0

16416	1251	15	1250	1430337	0

18120	1738	31	1754	1430877	0

19028	941	0	910	1429239	0

20526	1531	0	1531	1430184	0

22290	1798	16	1814	1431435	0
22774	517	0	501	1431552	0

25178	2471	15	2486	1430652	0
25384	172	31	188	1430589	0

27833	2549	16	2534	1430904	0
28117	250	16	250	1430238	0

-9404	2579	31	2594	1431489	0
-9216	156	31	156	1431444	0

-6721	2594	31	2594	1430931	0
-6469	219	31	219	1431246	0

-4281	2255	15	2239	1430517	0

-2623	1690	16	1691	1432506	0
-2219	439	15	438	1431732	0

357	2609	0	2594	1431705	0
496	172	16	188	1431039	0

