DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
5082	0	16	0	1430948	0	54185	48003
5406	391	15	390	1429202	0	54183	48001

5684	312	16	313	1431911	0	54182	48000
6253	501	15	500	1430858	0	54184	48002
6493	190	29	204	1430417	0	54186	48004

9154	2878	15	2864	1431461	0	54183	48001
9469	281	16	282	1430219	0	54185	48003

10330	828	16	828	1430021	0	54182	48000

11715	1485	16	1485	1430264	0	54185	48003

12572	891	16	891	1432487	0	54183	48001

14216	1678	15	1677	1429355	0	54185	48003

15184	1000	15	1000	1430606	0	54183	48001

16400	1250	16	1251	1430345	0	54185	48003

18105	1739	15	1738	1430885	0	54183	48001

19012	940	16	941	1429247	0	54185	48003

20511	1532	15	1531	1430192	0	54183	48001

22274	1797	16	1798	1431443	0	54185	48003

22759	518	15	517	1431560	0	54183	48001

25162	2470	16	2471	1430660	0	54183	48001
25368	172	16	172	1430597	0	54185	48003

27818	2550	15	2549	1430912	0	54183	48001
28102	250	15	250	1430246	0	54185	48003

-9420	2578	16	2579	1431497	0	54183	48001
-9232	156	16	156	1431452	0	54185	48003

-6737	2594	16	2594	1430939	0	54183	48001
-6485	219	16	219	1431254	0	54185	48003

-4297	2255	16	2255	1430525	0	54185	48003

-2638	1691	15	1690	1432514	0	54183	48001
-2235	438	16	439	1431740	0	54185	48003

342	2610	15	2609	1431713	0	54183	48001
481	172	15	172	1431047	0	54185	48003

