UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement

08.34.34.013	8	10.8267716535433	11.9302204724409	191.890625	89.5	0.5	0.8	0	0
08.34.35.028	8	6.88976377952756	7.59729921259842	933.038848876953	516.866666666667	0.5	0.8	0	0
08.34.36.060	8	9.84251968503937	10.6098188976378	1599.55085712671	850.125	0.5	0.8	0	0
08.34.37.157	8	10.9561752988048	10.2449163346614	2448.11453557478	1331.36842105263	0.5	0.8	0	0
08.34.38.178	8	11.7647058823529	10.5371294117647	3120.21682483779	1700.74	0.5	0.8	0	0
08.34.39.201	8	10.752688172043	9.59139002932551	3724.919051184	2026.16393442623	0.5	0.8	0	0
08.34.40.217	8	10.8267716535433	9.78283464566929	4343.05415969296	2346.22222222222	0.5	0.8	0	0
08.34.41.235	8	13.7524557956778	12.853673870334	4928.78227945283	2635.9756097561	0.5	0.8	0	0
08.34.42.250	8	4.92125984251969	4.58218110236221	5222.63722311645	2797.73863636364	0.5	0.8	0	0
08.34.43.266	8	9.84251968503937	9.17300787401575	4618.38350063759	3043.42574257426	0.5	0.8	0	0
08.34.44.283	8	11.7994100294985	11.0245663716814	3702.70071679937	3364.18	0.5	0.8	0	0
08.34.45.304	8	8.94632206759443	8.36116103379722	2430.03756112266	3597.99	0.5	0.8	0	0
08.34.46.321	8	10.8161258603736	10.1143126843658	1798.23452172314	3619.61	0.5	0.8	0	0
08.34.47.338	8	12.7826941986234	11.9256873156342	586.824491518765	3432.36	0.5	0.8	0	0
08.34.48.353	8	0.984251968503937	0.925535433070866	480.591007679981	3281.15	0.5	0.8	0	0
08.34.49.362	8	0	0	480.591007679981	3281.15	0.5	0.8	0	0
08.34.50.382	8	0	0	480.591007679981	3281.15	0.5	0.8	0	0
08.34.51.401	8	0	0	480.591007679981	3281.15	0.5	0.8	0	0
08.34.52.417	8	0	0	480.591007679981	3281.15	0.5	0.8	0	0
08.34.53.433	8	0	0	480.591007679981	3281.15	0.5	0.8	0	0
08.34.54.450	8	0	0	480.591007679981	3281.15	0.5	0.8	0	0
08.34.55.470	8	0	0	480.591007679981	3281.15	0.5	0.8	0	0
08.34.56.485	8	0	0	480.591007679981	3281.15	0.5	0.8	0	0
08.34.57.503	8	0	0	480.591007679981	3281.15	0.5	0.8	0	0
08.34.58.519	8	0	0	480.591007679981	3281.15	0.5	0.8	0	0
08.34.59.535	8	0	0	480.591007679981	3281.15	0.5	0.8	0	0
08.35.00.546	8	0	0	480.591007679981	3281.15	0.5	0.8	0	0
