DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
487	0	78	0	153057	1
531	78	31	31	152013	1
696	31	31	31	154614	1
679	16	47	32	154623	1
677	31	47	31	153642	0

686	110	31	94	151158	0
793	140	16	125	149979	0
869	109	0	93	149070	0
1156	454	15	469	146937	1
1270	15	31	31	148395	0
1285	47	16	32	147792	0
1326	141	31	156	146298	0

1570	78	15	62	148440	0
1496	125	15	125	145515	0
1611	15	32	32	147486	0
1768	391	16	375	142815	0
1832	31	16	31	143130	1
1915	16	31	31	144795	0
1960	78	16	63	144291	0
2079	219	15	218	141771	0

2181	203	0	188	139737	0
2276	62	0	62	140313	0
2226	16	16	32	137145	1
2342	16	31	31	140727	0
2581	406	0	375	134436	0
2629	15	16	31	136128	1
2545	16	31	31	136137	0
2610	31	32	32	133923	0
2809	298	16	282	139197	0
2857	16	31	31	138045	0

3039	281	0	250	139071	0
3050	78	16	94	138135	1
3100	16	31	31	138891	0
3077	78	16	63	137937	0
3353	109	0	93	138720	0
3247	94	0	94	137415	0
3355	141	15	156	138747	0
3363	109	31	125	142653	0
3440	109	16	94	143166	0

3531	125	16	125	143616	0
3608	110	0	94	143724	0
3549	109	16	125	139755	0
3593	110	20	114	138324	0
3673	114	0	94	136965	0
3749	109	16	125	136101	0
3825	109	32	125	135183	0
3885	94	31	93	134436	0
3862	109	16	94	131898	0

3842	113	31	128	128550	0
3835	93	0	62	127488	0
3811	110	15	125	128082	0
3872	94	19	98	127902	0
3950	112	32	125	127911	0
3944	94	31	93	127821	0
3954	110	17	96	128370	0
4016	95	16	94	128352	0
3992	110	31	125	128280	0
4052	93	0	62	129090	0

3962	110	15	125	129234	0
3990	94	15	94	129027	0
4066	109	32	126	129045	0
4075	110	15	93	127506	0
4069	93	16	94	124869	0
4063	94	16	94	124005	0
4106	110	31	125	123528	0
4165	93	32	94	123852	0
4126	94	31	93	124329	0
4201	109	16	94	124347	0

4244	110	31	125	123771	0
4414	203	16	188	124365	0
4390	109	32	125	124446	0
4288	32	31	31	125265	0
4338	250	31	250	125562	1
4236	31	31	31	126237	0
4545	109	16	94	124707	0
4559	47	0	31	125202	0

4574	281	31	312	125868	0
4519	78	16	63	126228	0
4584	32	16	32	126975	1
4400	16	32	32	126759	0
4564	297	16	281	126102	0
4574	78	0	62	126282	0
4491	16	16	32	126300	1
4473	16	31	31	126102	0
4685	312	31	312	125877	1
4483	31	32	32	125985	1
4665	16	47	31	126003	0

4591	125	15	93	125508	0
4578	187	16	188	125913	1
4694	16	31	31	125733	0
4792	31	31	31	125904	0
4808	250	0	219	125535	0
4720	78	16	94	126273	0
4733	47	0	31	126093	0
4830	31	0	31	125508	0
4982	251	31	282	126012	1

