DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
471	0	16	0	153065	0	50632	48001
515	78	16	78	152021	0	50631	48000
681	32	15	31	154622	1	50635	48004
648	0	31	16	154631	0	50634	48003
661	46	16	31	153650	0	50633	48002
670	110	16	110	151166	0	50631	48000

777	140	16	140	149987	0	50631	48000
854	110	15	109	149078	0	50631	48000
1140	453	16	454	146945	1	50632	48001
1239	0	31	15	148403	0	50635	48004
1269	62	16	47	147800	0	50634	48003
1310	141	16	141	146306	0	50635	48004
1554	78	16	78	148448	0	50631	48000

1480	125	16	125	145523	0	50634	48003
1596	16	15	15	147494	0	50633	48002
1752	390	16	391	142823	0	50634	48003
1817	32	15	31	143138	1	50635	48004
1884	0	31	16	144803	0	50633	48002
1944	93	16	78	144299	0	50632	48001
2063	219	16	219	141779	0	50633	48002
2165	203	16	203	139745	0	50634	48003
2261	63	15	62	140321	0	50635	48004

2210	15	16	16	137153	0	50633	48002
2326	16	16	16	140735	0	50632	48001
2565	406	16	406	134444	1	50635	48004
2598	0	31	15	136136	0	50632	48001
2529	31	16	16	136145	0	50633	48002
2595	32	15	31	133931	0	50634	48003
2794	298	15	298	139205	1	50635	48004
2826	0	31	16	138053	0	50632	48001

3023	296	16	281	139079	0	50633	48002
3035	79	15	78	138143	0	50635	48004
3084	15	16	16	138899	0	50632	48001
3061	78	16	78	137945	0	50631	48000
3338	110	15	109	138728	0	50634	48003
3231	93	16	94	137423	0	50631	48000
3339	141	16	141	138755	0	50631	48000
3347	109	16	109	142661	0	50631	48000
3425	110	15	109	143174	0	50631	48000
3516	125	15	125	143624	0	50631	48000

3592	109	16	110	143732	0	50631	48000
3534	110	15	109	139763	0	50631	48000
3577	109	16	110	138332	0	50631	48000
3657	114	16	114	136973	0	50631	48000
3733	109	16	109	136109	0	50631	48000
3810	110	15	109	135191	0	50631	48000
3869	93	16	94	134444	0	50631	48000
3847	110	15	109	131906	0	50631	48000
3826	112	16	113	128558	0	50631	48000
3820	94	15	93	127496	0	50631	48000

3795	109	16	110	128090	0	50631	48000
3856	94	16	94	127910	0	50631	48000
3935	113	15	112	127919	0	50631	48000
3929	94	15	94	127829	0	50631	48000
3938	109	16	110	128378	0	50631	48000
4001	96	15	95	128360	0	50631	48000
3976	109	16	110	128288	0	50631	48000
4037	94	15	93	129098	0	50631	48000
3946	109	16	110	129242	0	50631	48000
3974	94	16	94	129035	0	50631	48000

4050	109	16	109	129053	0	50631	48000
4059	110	16	110	127514	0	50631	48000
4054	94	15	93	124877	0	50631	48000
4048	94	15	94	124013	0	50631	48000
4090	109	16	110	123536	0	50631	48000
4150	94	15	93	123860	0	50631	48000
4110	93	16	94	124337	0	50631	48000
4186	110	15	109	124355	0	50631	48000
4228	109	16	110	123779	0	50631	48000

4398	203	16	203	124373	0	50631	48000
4375	110	15	109	124454	0	50635	48004
4272	31	16	32	125273	0	50634	48003
4322	250	16	250	125570	0	50635	48004
4220	31	16	31	126245	0	50634	48003
4530	110	15	109	124715	0	50633	48002
4543	46	16	47	125210	0	50632	48001
4559	282	15	281	125876	0	50633	48002

4504	78	15	78	126236	0	50635	48004
4568	31	16	32	126983	0	50632	48001
4385	17	15	16	126767	0	50634	48003
4549	297	15	297	126110	0	50633	48002
4559	78	15	78	126290	0	50632	48001
4475	15	16	16	126308	0	50635	48004
4457	16	16	16	126110	0	50634	48003
4669	312	16	312	125885	0	50633	48002
4468	32	15	31	125993	1	50635	48004
4634	0	31	16	126011	0	50632	48001
4575	140	16	125	125516	0	50634	48003

4563	188	15	187	125921	0	50635	48004
4678	15	16	16	125741	0	50632	48001
4777	32	15	31	125912	0	50633	48002
4793	250	15	250	125543	0	50634	48003
4705	78	15	78	126281	0	50632	48001
4718	47	15	47	126101	0	50635	48004
4815	31	15	31	125516	0	50633	48002
4966	250	16	251	126020	0	50634	48003
4763	31	16	31	125912	0	50635	48004
5074	110	15	109	125471	0	50633	48002

4969	62	16	63	125669	0	50632	48001
4873	172	16	172	126182	0	50634	48003
4949	109	16	109	125957	0	50633	48002
4614	32	15	31	125417	0	50635	48004
4652	171	16	172	125246	0	50633	48002
5001	16	16	16	126209	0	50632	48001
4749	47	15	46	125696	0	50634	48003
4799	250	15	250	125102	0	50635	48004
4727	62	16	63	124787	0	50633	48002
4841	47	16	47	124967	0	50634	48003
5058	16	15	15	124346	0	50632	48001

4883	360	15	360	124157	1	50634	48003
4783	0	31	16	124877	1	50633	48002
4999	15	32	16	125030	0	50635	48004
5112	47	16	31	125057	0	50632	48001
4926	313	15	312	125246	0	50633	48002
5054	62	16	63	124940	1	50635	48004
5021	0	32	16	125498	0	50634	48003
5219	32	15	15	124580	0	50632	48001

4981	328	15	328	125084	0	50631	48000
5096	15	16	16	125408	0	50633	48002
5089	126	16	126	125507	0	50631	48000
5093	172	15	171	125111	0	50631	48000
5492	31	16	32	125408	1	50634	48003
5625	0	31	15	125210	0	50635	48004
5185	94	15	78	125075	0	50631	48000
5847	94	15	94	124571	0	50632	48001
5277	31	15	31	125147	0	50631	48000
5352	109	16	110	125534	0	50631	48000
5413	94	16	94	124850	0	50631	48000
5407	94	15	93	125471	0	50631	48000

5483	109	16	110	125102	0	50631	48000
5543	94	15	93	124724	0	50631	48000
