UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement

10.53.47.869	7	5.97014925373134	3.79321791044776	174.78125	163	0.5	0	0	0
10.53.48.885	7	6.88976377952756	4.3838031496063	972.23095703125	535.818181818182	0.5	0	0	0
10.53.49.901	7	15.748031496063	10.0000157480315	1503.37637096643	976.291666666667	0.5	0	0	0
10.53.50.917	7	9.85221674876847	6.24075665024631	2320.32267777966	1378.13513513514	0.5	0	0	0
10.53.51.933	7	13.7659783677483	8.73328613569322	2808.47931892938	1742.03846153846	0.5	0	0	0
10.53.52.948	7	15.7635467980296	9.99341083743842	3295.29630979367	2046.23880597015	0.5	0	0	0
10.53.53.964	7	12.807881773399	8.12176551724138	3771.11185144516	2344.49397590361	0.5	0	0	0
10.53.54.995	7	14.7783251231527	9.4007881773399	4269.30218676531	2622.71717171717	0.5	0	0	0
10.53.56.044	7	14.7347740667976	9.36325343811395	4764.65617831706	3219.8	0.5	0	0	0
10.53.57.061	7	14.7492625368732	9.39058407079646	5237.88936328669	3732.88	0.5	0	0	0
10.53.58.083	7	16.6340508806262	10.5817925636008	5773.2394095563	4262.97	0.5	0	0	0
10.53.59.103	7	14.7058823529412	9.35661176470588	6274.19150510893	4732.95	0.5	0	0	0
10.54.00.118	7	17.7339901477833	11.2644177339901	6795.09171116654	5212.1	0.5	0	0	0
10.54.01.134	7	13.7795275590551	8.73316535433071	7285.66064593065	5730.31	0.5	0	0	0
10.54.02.149	7	14.7783251231527	9.40327093596059	7750.6613562406	6184.5	0.5	0	0	0
10.54.03.165	7	16.7487684729064	10.6551960591133	8291.06264237485	6739.33	0.5	0	0	0
10.54.04.180	7	13.7931034482759	8.79326896551724	8748.63366890388	7226.26	0.5	0	0	0
10.54.05.291	7	12.807881773399	8.17993300492611	9331.51592458601	7746.8	0.5	0	0	0
10.54.06.306	7	16.7487684729064	10.7167684729064	9854.51950466861	8294.99	0.5	0	0	0
10.54.07.323	7	15.732546705998	10.0398820058997	10352.3042834397	8803.35	0.5	0	0	0
10.54.08.340	7	13.7659783677483	8.76691445427729	10794.8838076345	9253.23	0.5	0	0	0
10.54.09.356	7	16.7322834645669	10.6287637795276	11329.3864584641	9795.38	0.5	0	0	0
10.54.10.371	7	10.8267716535433	6.85535433070866	11940.1311978658	10202.19	0.5	0	0	0
10.54.11.434	7	14.7637795275591	9.31535433070866	12417.037967871	10718.17	0.5	0	0	0
10.54.12.449	7	14.7637795275591	9.27843307086614	12953.059738304	11327.75	0.5	0	0	0
10.54.13.465	7	15.748031496063	9.88074803149606	13373.2137612875	11853.76	0.5	0	0	0
10.54.14.480	7	15.748031496063	9.88393700787402	13869.6607240869	12375.89	0.5	0	0	0
10.54.15.496	7	15.748031496063	9.89003149606299	14348.3894601551	12892.4	0.5	0	0	0
10.54.16.512	7	15.748031496063	9.91129133858268	14834.4515287698	13390.98	0.5	0	0	0
10.54.17.527	7	15.748031496063	9.92957480314961	15318.0269691701	13864.27	0.5	0	0	0
10.54.18.623	7	15.7170923379175	9.9126836935167	15839.6650163801	14367.43	0.5	0	0	0
10.54.19.640	7	15.732546705998	9.94529793510324	16330.2142740634	14850.88	0.5	0	0	0
10.54.20.657	7	15.732546705998	9.95230678466077	16813.3895754131	15336.91	0.5	0	0	0
10.54.21.673	7	15.748031496063	9.97251968503937	17309.0033933956	15824.42	0.5	0	0	0
10.54.22.689	7	14.7637795275591	9.33597637795276	17764.0536805235	16282.93	0.5	0	0	0
10.54.23.704	7	14.7637795275591	9.30295275590551	18246.4796913709	16771.84	0.5	0	0	0
10.54.24.739	7	14.5067698259188	9.14100580270793	18759.1570812941	17263.09	0.5	0	0	0
10.54.25.754	7	14.7637795275591	9.31329921259842	19276.5206780561	17756.88	0.5	0	0	0
10.54.26.770	7	15.748031496063	9.90838582677165	19767.3121875103	18252.83	0.5	0	0	0
10.54.27.793	7	15.6402737047898	9.7523284457478	20248.8839158964	18748.85	0.5	0	0	0
10.54.28.814	7	17.6125244618395	11.0441095890411	16831.2327540258	19050.17	0.5	0	0	0
10.54.29.836	7	14.6914789422135	9.26254260528893	17041.4411386949	18897.71	0.5	0	0	0
10.54.30.852	7	14.7637795275591	9.28289763779527	17536.5815539638	18723.33	0.5	0	0	0
10.54.31.874	7	14.6771037181996	9.24361643835616	18023.3478748507	18580.05	0.5	0	0	0
10.54.32.894	7	15.6862745098039	9.92811764705882	18527.4837978201	18404.11	0.5	0	0	0
10.54.33.911	7	14.7492625368732	9.34853097345133	18996.7577357116	18251.11	0.5	0	0	0
10.54.34.927	7	14.7637795275591	9.35950393700788	19444.1622545696	18097.64	0.5	0	0	0
10.54.35.942	7	14.7637795275591	9.35135433070866	19959.5406366311	18466.14	0.5	0	0	0
10.54.36.959	7	13.7795275590551	8.73479527559055	20468.1031353954	18929.6	0.5	0	0	0
10.54.37.975	7	16.7322834645669	10.6017637795276	20992.1562210561	19443.18	0.5	0	0	0
10.54.38.991	7	16.7158308751229	10.5783126843658	21542.6517956255	19983.6	0.5	0	0	0
10.54.40.007	7	13.7795275590551	8.72232283464567	21980.6642853879	20429.02	0.5	0	0	0
10.54.41.025	7	16.6994106090373	10.5609194499018	22504.3341051647	21004.14	0.5	0	0	0
10.54.42.038	7	0.987166831194472	0.6275538005923	22504.3341051647	21004.14	0.5	0	0	0
