DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
316	0	484	0	79275	5
312	16	499	31	79707	4
293	15	516	32	79284	3
276	16	531	31	79545	2
258	15	547	31	79410	1
632	407	171	31	79302	2
706	140	63	32	79491	1
755	16	78	31	79473	0

1029	375	15	312	79608	0
1011	15	157	157	79653	1
1056	78	110	31	79455	1
1251	95	47	32	79365	1
1148	31	47	31	79698	0
1209	94	15	62	79401	0
1254	78	31	94	79365	0
1314	94	0	63	79446	0
1343	62	31	93	79320	0
1373	63	31	63	78924	0
1401	62	31	62	79599	0
1432	63	31	63	79689	0
1461	62	31	62	79392	0
1490	63	31	63	79401	0
1519	62	31	62	79410	0
1548	62	32	63	79248	0

1634	220	31	219	79860	0
1679	78	16	63	79140	0
2076	265	32	281	79581	0
2074	63	31	62	79023	0
2154	47	15	31	79203	0
2126	172	31	188	79239	0
2204	46	16	31	79086	0
2185	47	32	63	79347	1
2302	16	47	31	79113	0
2274	172	0	125	79086	0

2338	31	31	62	79275	0
2417	47	16	32	79023	1
2333	16	31	31	79356	0
2420	187	31	187	78942	1
2403	16	46	31	79293	1
2534	31	47	32	79176	1
2516	15	63	31	79095	0
2553	203	16	156	79761	0
2535	16	31	31	79329	0
2666	31	32	32	79104	0
2665	32	31	31	79266	0
2768	204	16	189	79185	0
2700	31	16	31	79356	0
2749	16	31	31	79248	1
2798	15	47	31	79383	0
2869	172	0	125	79158	0

2852	16	16	32	79464	0
2816	31	16	31	79077	0
2880	31	16	31	79149	0
2953	172	0	156	79797	0
3017	31	32	63	79446	1
2933	16	47	31	79671	0
3014	47	31	31	79473	0
3085	172	15	156	79086	0
3134	15	32	32	79311	1
3048	16	47	31	78951	1
3130	47	31	31	79257	0
3187	156	0	125	79158	0
3265	47	15	62	79347	1
3182	15	32	32	79257	0
3247	32	31	31	79464	0

3319	172	15	156	79293	1
3368	15	31	31	79104	0
3409	141	15	125	79257	0
3436	62	16	63	78987	0
3420	16	31	31	79158	0
3418	31	31	31	78969	0
3461	78	16	63	79014	0
3523	94	16	94	79536	0
3551	62	16	62	79221	0
3832	47	0	31	79140	0
3596	32	31	63	79338	0
3641	78	15	62	79419	0
3670	62	16	63	79194	0
3699	63	15	62	79302	0
3728	62	16	63	79428	0
3758	63	15	62	79149	0
3786	62	16	63	79230	0

3816	63	15	62	79212	0
3845	62	16	63	79437	0
3874	63	15	62	79887	0
3902	62	16	63	79455	0
3933	62	16	62	79419	0
3962	63	16	63	79311	0
4007	78	31	93	79527	0
4037	63	31	63	79581	0
4065	62	31	62	79509	0
4095	63	31	63	79284	0
4140	78	15	62	79851	0
4168	62	16	63	79194	0
4198	63	15	62	79500	0
4227	62	16	63	79392	0
4255	63	15	62	79455	0
4285	62	16	63	79815	0

4315	63	15	62	79608	0
4342	62	16	63	79824	0
4375	65	16	65	79518	0
4404	63	15	62	79527	0
4432	62	16	63	79473	0
4477	78	32	94	79590	0
4507	63	31	62	79509	0
4535	62	32	63	79302	0
4565	63	31	62	79356	0
4594	62	32	63	79212	0
4623	63	31	62	79167	0
4668	78	15	62	79527	0
4697	62	16	63	79356	0
4711	47	31	62	79284	0
4756	78	16	63	79401	0
4769	47	31	62	79689	0

4814	78	16	63	79500	0
4844	63	15	62	79581	0
4872	62	16	63	79230	0
4901	63	15	62	79527	0
4930	62	16	63	79329	0
4960	63	15	62	79527	0
5004	78	31	94	79707	0
5033	62	31	62	79473	0
