DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
113	0	203	0	79283	4	50651	48004
140	47	172	16	79715	3	50650	48003
184	78	109	15	79292	2	50649	48002
198	47	78	16	79553	1	50648	48001
180	15	78	15	79418	0	50647	48000
616	469	16	407	79310	0	50651	48004

690	140	16	140	79499	0	50650	48003
739	16	16	16	79481	0	50651	48004
1013	375	16	375	79616	1	50648	48001
980	0	31	15	79661	0	50647	48000
1041	94	15	78	79463	0	50647	48000
1235	94	16	95	79373	0	50649	48002
1132	31	16	31	79706	0	50647	48000
1193	94	16	94	79409	0	50647	48000
1238	78	16	78	79373	0	50647	48000
1298	94	16	94	79454	0	50647	48000

1327	62	16	62	79328	0	50647	48000
1357	63	16	63	78932	0	50647	48000
1386	63	15	62	79607	0	50647	48000
1416	62	16	63	79697	0	50647	48000
1445	62	16	62	79400	0	50647	48000
1474	63	16	63	79409	0	50647	48000
1503	62	16	62	79418	0	50647	48000
1533	63	15	62	79256	0	50647	48000
1618	219	16	220	79868	0	50649	48002
1663	78	16	78	79148	0	50648	48001

2061	266	15	265	79589	0	50647	48000
2058	62	16	63	79031	0	50650	48003
2138	47	16	47	79211	0	50651	48004
2110	172	16	172	79247	0	50649	48002
2189	47	15	46	79094	0	50650	48003
2170	47	15	47	79355	1	50648	48001
2271	0	31	16	79121	0	50651	48004
2258	187	16	172	79094	0	50649	48002
2322	31	16	31	79283	0	50650	48003
2401	47	16	47	79031	1	50651	48004
2301	0	32	16	79364	0	50648	48001
2404	203	16	187	78950	0	50649	48002
2387	16	16	16	79301	0	50648	48001
2518	31	16	31	79184	0	50651	48004
2501	16	15	15	79103	0	50650	48003

2538	203	15	203	79769	0	50649	48002
2519	15	16	16	79337	0	50648	48001
2651	32	15	31	79112	0	50651	48004
2649	31	16	32	79274	0	50650	48003
2752	204	16	204	79193	0	50651	48004
2685	32	15	31	79364	0	50648	48001
2733	15	16	16	79256	1	50649	48002
2767	0	31	15	79391	0	50650	48003
2854	188	15	172	79166	0	50651	48004
2836	15	16	16	79472	0	50650	48003
2801	32	15	31	79085	0	50648	48001
2865	31	15	31	79157	0	50649	48002
2938	172	15	172	79805	0	50650	48003
3002	31	15	31	79454	0	50651	48004
2917	15	16	16	79679	0	50648	48001
2998	47	16	47	79481	0	50649	48002

3069	172	16	172	79094	0	50650	48003
3119	16	15	15	79319	0	50651	48004
3032	15	16	16	78959	0	50648	48001
3114	47	16	47	79265	0	50649	48002
3171	156	16	156	79166	0	50650	48003
3249	47	16	47	79355	0	50651	48004
3167	16	15	15	79265	0	50648	48001
3231	31	16	32	79472	0	50649	48002
3303	172	16	172	79301	1	50650	48003
3337	0	31	15	79112	0	50651	48004
3393	156	16	141	79265	0	50648	48001
3421	63	15	62	78995	0	50651	48004
3404	15	16	16	79166	0	50650	48003
3403	32	15	31	78977	0	50647	48000
3446	78	15	78	79022	0	50647	48000

3507	93	16	94	79544	0	50647	48000
3536	63	15	62	79229	0	50647	48000
3817	47	15	47	79148	0	50649	48002
3580	31	16	32	79346	0	50647	48000
3625	78	16	78	79427	0	50647	48000
3655	63	15	62	79202	0	50647	48000
3683	62	16	63	79310	0	50647	48000
3713	63	15	62	79436	0	50647	48000
3742	62	16	63	79157	0	50647	48000
3770	62	16	62	79238	0	50647	48000
3800	63	16	63	79220	0	50647	48000
3829	62	16	62	79445	0	50647	48000
3858	63	16	63	79895	0	50647	48000
3886	62	16	62	79463	0	50647	48000
3918	63	15	62	79427	0	50647	48000
3946	62	16	63	79319	0	50647	48000

3992	79	15	78	79535	0	50647	48000
4021	62	16	63	79589	0	50647	48000
4049	62	16	62	79517	0	50647	48000
4079	63	16	63	79292	0	50647	48000
4124	78	16	78	79859	0	50647	48000
4153	63	15	62	79202	0	50647	48000
4182	62	16	63	79508	0	50647	48000
4212	63	15	62	79400	0	50647	48000
4239	62	16	63	79463	0	50647	48000
4269	62	16	62	79823	0	50647	48000
4299	63	16	63	79616	0	50647	48000
4326	62	16	62	79832	0	50647	48000
4360	66	15	65	79526	0	50647	48000
4388	62	16	63	79535	0	50647	48000
4417	63	15	62	79481	0	50647	48000
4462	78	15	78	79598	0	50647	48000

4491	62	16	63	79517	0	50647	48000
4520	63	15	62	79310	0	50647	48000
4549	62	16	63	79364	0	50647	48000
4579	63	15	62	79220	0	50647	48000
4607	62	16	63	79175	0	50647	48000
4652	78	16	78	79535	0	50647	48000
4682	63	15	62	79364	0	50647	48000
4696	47	15	47	79292	0	50647	48000
4741	78	15	78	79409	0	50647	48000
4754	47	15	47	79697	0	50647	48000
4799	78	15	78	79508	0	50647	48000
4828	62	16	63	79589	0	50647	48000
4857	63	15	62	79238	0	50647	48000
4885	62	16	63	79535	0	50647	48000
4915	63	15	62	79337	0	50647	48000
4944	62	16	63	79535	0	50647	48000

4988	78	16	78	79715	0	50647	48000
5018	63	15	62	79481	0	50647	48000
5047	62	16	63	79769	0	50647	48000
5076	63	15	62	79670	0	50647	48000
5105	62	16	63	79625	0	50647	48000
5135	63	15	62	79427	0	50647	48000
5179	78	15	78	79940	0	50647	48000
5211	65	14	64	79463	0	50647	48000
5239	61	16	63	79778	0	50647	48000
5268	63	15	62	79778	0	50647	48000
5360	124	16	125	79607	0	50647	48000
5359	32	15	31	79544	0	50647	48000
5372	47	15	47	79355	0	50647	48000
5400	62	16	63	79517	0	50647	48000
5430	63	15	62	79715	0	50647	48000
5458	62	16	63	79319	0	50647	48000

5490	65	15	64	79517	0	50647	48000
5519	62	16	63	79742	0	50647	48000
5549	63	15	62	79229	0	50647	48000
5594	78	15	78	79877	0	50647	48000
5622	62	16	63	79859	0	50647	48000
5652	63	15	62	79562	0	50647	48000
5685	66	16	67	79769	0	50647	48000
5715	63	16	63	79589	0	50647	48000
5744	63	15	62	79463	0	50647	48000
5773	62	16	63	79310	0	50647	48000
5803	63	15	62	79427	0	50647	48000
5846	78	16	79	79166	0	50647	48000
5892	78	16	78	79580	0	50647	48000
5920	62	16	62	79616	0	50647	48000
5949	63	16	63	79445	0	50647	48000

5979	62	16	62	79571	0	50647	48000
6008	63	15	62	79526	0	50647	48000
6036	62	16	63	79472	0	50647	48000
6070	67	16	67	79580	0	50647	48000
6162	125	16	125	79670	0	50647	48000
6144	16	16	16	80012	0	50647	48000
6174	63	15	62	79175	0	50647	48000
6219	78	15	78	79472	0	50647	48000
6232	47	15	47	79445	0	50647	48000
6277	78	15	78	79418	0	50647	48000
6306	62	16	63	79391	0	50647	48000
6335	63	15	62	79715	0	50647	48000
6364	62	16	63	79544	0	50647	48000
6395	63	15	62	79445	0	50647	48000
6423	62	16	63	79220	0	50647	48000

6640	250	16	250	79805	0	50647	48000
6623	16	15	15	79238	0	50651	48004
6651	62	16	63	78959	0	50650	48003
6601	16	15	15	79391	0	50648	48001
6712	78	16	79	79517	0	50649	48002
6661	16	15	15	79175	0	50651	48004
6737	109	16	110	79256	0	50650	48003
6731	94	15	93	79580	0	50651	48004
6826	62	16	63	79508	1	50648	48001
6860	0	31	15	79427	1	50649	48002
6775	16	31	16	79310	0	50650	48003
6927	218	16	203	79472	0	50648	48001
6975	16	16	16	79355	0	50649	48002
6940	31	16	31	79301	0	50651	48004
6953	47	16	47	79814	0	50650	48003

7043	156	16	156	78842	0	50648	48001
7093	16	16	16	79031	0	50649	48002
7056	31	16	31	79409	0	50651	48004
7071	47	16	47	79490	0	50650	48003
7179	141	15	140	79409	0	50649	48002
7143	31	16	32	79211	0	50651	48004
7223	47	16	47	78932	0	50648	48001
7172	16	15	15	79373	0	50650	48003
7216	78	15	78	79355	0	50649	48002
7272	156	16	157	79454	0	50650	48003
7337	31	16	31	79310	0	50651	48004
7286	16	15	15	79112	1	50649	48002
7402	15	16	16	79184	0	50648	48001
7420	219	16	219	80084	0	50650	48003
7503	16	15	15	79112	0	50648	48001
7484	15	16	16	79733	0	50651	48004
