UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement

11.12.53.244	7	14.720314033366	11.3501393523062	608.0009765625	466.7	0.5	0.8	0	0
11.12.54.261	7	10.8267716535433	8.32795275590551	1137.63159191608	765.652173913044	0.5	0.8	0	0
11.12.55.276	7	10.8267716535433	8.32391338582677	1740.24861225487	1032.88888888889	0.5	0.8	0	0
11.12.56.297	7	12.7326150832517	9.80901860920666	2306.95095808255	1312.44897959184	0.5	0.8	0	0
11.12.57.318	7	15.6709108716944	12.0612575905975	2864.25573131813	1593.43548387097	0.5	0.8	0	0
11.12.58.337	7	11.7878192534381	9.06733202357564	2462.32550188753	1770.81081081081	0.5	0.8	0	0
11.12.59.355	7	12.7576054955839	9.80982924435721	1237.64583142136	1741.81395348837	0.5	0.8	0	0
11.13.00.371	7	5.90551181102362	4.53685039370079	150.367502847374	1593.88659793814	0.5	0.8	0	0
11.13.01.387	7	5.90551181102362	4.51381889763779	108.66773446398	1547.13	0.5	0.8	0	0
11.13.02.402	7	6.88976377952756	5.26920472440945	169.4427166755	1520.31	0.5	0.8	0	0
11.13.03.418	7	2.95275590551181	2.25744094488189	105.840169792219	1496.92	0.5	0.8	0	0
11.13.04.435	7	4.91642084562439	3.77470206489676	157.307505306007	1454.99	0.5	0.8	0	0
11.13.05.453	7	5.89390962671906	4.52029862475442	124.036054770406	1391.36	0.5	0.8	0	0
11.13.06.471	7	8.84955752212389	6.79348672566372	111.078688355788	1316.3	0.5	0.8	0	0
11.13.07.486	7	6.88976377952756	5.27508661417323	130.96905737639	1190.92	0.5	0.8	0	0
11.13.08.502	7	5.90551181102362	4.51474015748031	109.468508260753	1056.64	0.5	0.8	0	0
11.13.09.518	7	6.88976377952756	5.25474803149606	128.894285220787	901.16	0.5	0.8	0	0
11.13.10.533	7	2.95275590551181	2.26062992125984	108.111785652598	827.58	0.5	0.8	0	0
11.13.11.549	7	5.90551181102362	4.52097637795276	119.735248325411	642.73	0.5	0.8	0	0
11.13.12.565	7	1.96850393700787	1.5024094488189	109.183812081353	584	0.5	0.8	0	0
11.13.13.583	7	4.91159135559921	3.75748526522593	119.698988255085	477.27	0.5	0.8	0	0
11.13.14.605	7	6.84931506849315	5.23594520547945	124.760542922871	297.9	0.5	0.8	0	0
11.13.15.624	7	7.85083415112856	5.99031992149166	305.085002120792	191.13	0.5	0.8	0	0
11.13.16.640	7	4.92125984251969	3.74588976377953	109.471406316275	140.12	0.5	0.8	0	0
11.13.17.655	7	3.93700787401575	3.02062204724409	83.1839257895343	134.29	0.5	0.8	0	0
11.13.18.675	7	7.84313725490196	6.01296470588235	138.906609230058	138.49	0.5	0.8	0	0
11.13.19.691	7	3.93700787401575	3.01013385826772	95.6845815384393	138.12	0.5	0.8	0	0
11.13.20.708	7	5.89390962671906	4.513721021611	125.791946586538	135.62	0.5	0.8	0	0
11.13.21.724	7	2.95275590551181	2.26190551181102	89.6744966616586	136.07	0.5	0.8	0	0
11.13.22.741	7	6.88298918387414	5.26147492625369	144.317769505169	135.66	0.5	0.8	0	0
11.13.23.757	7	5.90551181102362	4.49496850393701	107.166180297037	135.2	0.5	0.8	0	0
11.13.24.772	7	5.90551181102362	4.50063779527559	134.690096567141	134.64	0.5	0.8	0	0
11.13.25.788	7	4.92125984251969	3.75814960629921	89.2715655177232	133.91	0.5	0.8	0	0
11.13.26.809	7	11.7531831537708	8.99894221351616	158.552023013201	136.43	0.5	0.8	0	0
11.13.27.825	7	5.90551181102362	4.55116535433071	83.9424844199477	137.01	0.5	0.8	0	0
11.13.28.857	7	9.68992248062015	7.46786046511628	189.490122039883	142.17	0.5	0.8	0	0
11.13.29.873	7	4.92125984251969	3.78188976377953	98.6795331568732	138.9	0.5	0.8	0	0
11.13.30.889	7	5.90551181102362	4.5021968503937	176.583735411152	141.07	0.5	0.8	0	0
11.13.31.904	7	7.8740157480315	6.01849606299213	94.4007177164498	131.68	0.5	0.8	0	0
11.13.32.920	7	6.88976377952756	5.28408661417323	108.50626121432	131.87	0.5	0.8	0	0
11.13.33.940	7	4.90196078431373	3.75724705882353	166.441455165737	129.5	0.5	0.8	0	0
11.13.34.955	7	9.84251968503937	7.55116535433071	279.323761368482	136.66	0.5	0.8	0	0
11.13.35.973	7	4.91159135559921	3.94717485265226	113.348920942846	142.65	0.5	0.8	0	0
11.13.36.989	7	4.92125984251969	3.9567874015748	94.9796537794639	143.03	0.5	0.8	0	0
11.13.38.005	7	3.93700787401575	3.11806299212598	133.248728361216	142.55	0.5	0.8	0	0
11.13.39.027	7	4.89236790606654	3.72580039138943	85.882772761288	141.24	0.5	0.6	0	0
11.13.40.048	7	11.7531831537708	8.96495200783546	288.601104581099	148.35	0.5	0.6	0	0
11.13.41.063	7	9.84251968503937	7.50708661417323	643.990381129048	202.23	0.5	0.6	0	0
11.13.42.079	7	6.88976377952756	5.26126771653543	956.578106213143	249.77	0.5	0.6	0	0
11.13.43.095	7	0	0	956.578106213143	249.77	0.5	0.6	0	0
11.13.44.110	7	0	0	956.578106213143	249.77	0.5	0.6	0	0
11.13.45.129	7	0	0	956.578106213143	249.77	0.5	0.6	0	0
11.13.46.145	7	0	0	956.578106213143	249.77	0.5	0.6	0	0
11.13.47.160	7	0	0	956.578106213143	249.77	0.5	0.6	0	0
11.13.48.181	7	0	0	956.578106213143	249.77	0.5	0.6	0	0
11.13.49.197	7	0	0	956.578106213143	249.77	0.5	0.6	0	0
11.13.50.212	7	0	0	956.578106213143	249.77	0.5	0.6	0	0
11.13.51.228	7	0	0	956.578106213143	249.77	0.5	0.6	0	0
11.13.52.249	7	0	0	956.578106213143	249.77	0.5	0.6	0	0
