DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer
190	0	204	0	96564	1
246	188	47	31	96744	0
355	141	16	110	96213	0

396	109	0	93	96465	0
582	19	15	34	96924	0
643	94	15	94	96393	0
491	15	31	31	96276	0
521	63	0	32	95889	0
848	62	0	62	96609	0
565	16	15	31	96627	0
688	156	16	157	96213	0
758	203	0	187	96348	0
840	16	15	31	96339	0
916	109	31	125	96303	0
1030	47	16	32	95601	1
912	16	31	31	96591	0

1018	172	15	156	96087	0
1066	15	31	31	96024	2
1449	16	47	32	95817	1
1030	15	63	31	96582	0
1137	173	16	126	96105	0
1186	16	31	31	96636	1
1149	31	31	31	96060	0
1270	187	0	156	95997	0
1320	16	16	32	95988	1
1269	16	31	31	95979	0
1423	187	0	156	96654	0
1406	16	15	31	96060	0
1386	47	0	32	95979	0
1509	156	0	156	96123	0
1669	94	0	94	95853	0

1584	15	16	31	96231	0
1661	110	31	125	96474	0
1721	93	0	62	95979	0
1750	63	0	63	96321	0
1795	78	16	94	95718	0
1840	78	0	62	95745	0
1884	78	16	94	96285	0
1929	78	0	62	96087	0
1974	79	15	94	96069	0
2019	78	0	63	96096	0
2048	62	0	62	96402	0
2093	78	16	94	96312	0
2137	78	32	94	96096	0

2198	94	0	62	96510	0
2243	78	16	94	96159	0
2272	63	15	62	96789	0
2322	83	15	83	96393	0
2367	78	0	63	96267	0
2412	79	15	94	96411	0
2458	79	31	95	96402	0
2503	78	16	63	96087	0
2546	78	31	93	96213	0
2577	63	0	32	95880	0
2622	78	15	93	96537	0
2666	78	0	63	95826	0
2711	78	16	94	96294	0

2755	78	0	62	96528	0
2804	82	16	98	95763	0
2834	63	15	62	96555	0
2879	78	31	94	96051	0
2923	78	16	63	96204	0
3124	234	32	250	96159	0
2983	125	32	125	96087	1
2765	16	47	31	96132	1
3181	16	62	31	96600	0
2615	234	16	188	96276	0

2626	78	31	93	96330	0
2324	31	32	32	95988	0
2289	32	31	31	95844	0
2216	93	32	94	96258	0
3747	32	31	31	96177	0
2306	159	31	159	96384	1
2288	15	47	31	96330	0
1751	63	15	31	95772	0
2233	15	32	32	96357	0
1299	266	16	250	96123	0
1596	97	16	97	95970	0
1945	16	31	31	96186	0
1776	31	31	31	96249	1
1358	15	47	31	96024	1
1974	16	63	32	95916	0
1369	63	31	31	95520	0

1266	62	31	62	95970	0
1226	94	31	94	95799	0
1185	125	31	125	96735	0
969	219	31	219	96357	1
1252	15	47	31	96339	0
1029	78	32	63	96474	0
277	47	16	31	95862	0
374	31	16	31	96105	0
238	63	16	63	95673	0
233	62	16	62	96492	0
125	125	16	125	96744	0
207	16	31	31	96186	0

100	359	16	344	95484	0
176	110	31	125	95601	0
81	172	15	156	96321	0
114	468	16	469	95601	0

141	125	16	125	95799	0
140	32	15	31	95457	0
113	140	32	157	95574	0
148	235	15	218	94503	0
177	62	16	63	95574	0
100	156	16	156	95601	0

77	344	16	344	95583	0
213	203	32	219	95718	1
263	16	47	31	95817	1
159	31	47	31	95475	0
132	172	31	156	95421	0
160	94	31	94	95259	0
113	187	32	188	95898	0

107	594	31	593	95538	0
91	250	31	250	96024	0
96	205	16	190	95862	0

175	313	15	312	96249	0
189	47	31	63	95916	0
182	93	32	94	95808	0
93	344	31	343	95673	0
98	172	16	157	95907	0
247	16	31	31	95772	0
150	236	16	221	95817	0

116	266	31	281	96105	0
139	156	31	156	95934	0
113	141	15	125	95952	0
170	125	15	125	96357	0
147	109	31	125	96078	0
119	205	16	190	96069	0

140	156	16	156	95790	0
117	141	31	156	95862	0
216	234	16	219	95682	0
