DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
175	0	15	0	96572	0	50802	48004
231	188	15	188	96752	0	50798	48000
339	140	16	141	96221	0	50798	48000
381	110	15	109	96473	0	50798	48000
567	19	15	19	96932	0	50800	48002
627	93	16	94	96401	1	50799	48001
460	0	31	15	96284	0	50798	48000
505	78	16	63	95897	0	50798	48000

833	63	15	62	96617	0	50801	48003
549	15	16	16	96635	0	50798	48000
672	156	16	156	96221	0	50798	48000
743	204	15	203	96356	0	50799	48001
824	15	16	16	96347	0	50801	48003
901	110	15	109	96311	0	50800	48002
1014	46	16	47	95609	1	50798	48000
880	0	32	16	96599	0	50801	48003
1002	188	16	172	96095	0	50799	48001
1051	16	15	15	96032	0	50800	48002
1433	15	16	16	95825	1	50802	48004
999	0	31	15	96590	0	50801	48003
1121	188	16	173	96113	0	50799	48001
1170	16	16	16	96644	0	50800	48002
1133	31	16	31	96068	0	50801	48003

1255	188	15	187	96005	0	50799	48001
1304	15	16	16	95996	0	50800	48002
1253	16	16	16	95987	0	50801	48003
1407	187	16	187	96662	1	50800	48002
1390	16	16	16	96068	0	50799	48001
1370	47	16	47	95987	0	50798	48000
1493	156	16	156	96131	0	50798	48000
1653	94	16	94	95861	0	50802	48004
1569	16	15	15	96239	0	50798	48000
1645	109	16	110	96482	0	50798	48000
1706	94	15	93	95987	0	50798	48000
1750	78	0	63	96329	0	50798	48000

1779	62	16	78	95726	0	50798	48000
1824	78	16	78	95753	0	50798	48000
1869	79	15	78	96293	0	50798	48000
1914	78	15	78	96095	0	50798	48000
1958	78	16	79	96077	0	50798	48000
2003	78	16	78	96104	0	50798	48000
2033	63	15	62	96410	0	50798	48000
2078	78	15	78	96320	0	50798	48000
2122	78	15	78	96104	0	50798	48000
2183	94	15	94	96518	0	50798	48000
2228	78	15	78	96167	0	50798	48000
2256	62	16	63	96797	0	50798	48000
2306	83	16	83	96401	0	50798	48000

2352	79	15	78	96275	0	50798	48000
2396	78	16	79	96419	0	50798	48000
2442	79	16	79	96410	0	50798	48000
2487	78	16	78	96095	0	50798	48000
2530	78	16	78	96221	0	50798	48000
2561	63	16	63	95888	0	50798	48000
2606	78	16	78	96545	0	50798	48000
2650	78	16	78	95834	0	50798	48000
2695	78	16	78	96302	0	50798	48000
2739	78	16	78	96536	0	50798	48000
2789	83	15	82	95771	0	50798	48000
2818	62	16	63	96563	0	50798	48000
2863	78	16	78	96059	0	50798	48000

2907	78	16	78	96212	0	50798	48000
3109	235	15	234	96167	0	50798	48000
2968	125	15	125	96095	1	50801	48003
2734	0	31	16	96140	1	50800	48002
3149	15	32	16	96608	0	50802	48004
2599	250	16	234	96284	0	50799	48001
2611	79	15	78	96338	0	50802	48004
2309	31	15	31	95996	0	50801	48003
2273	31	16	32	95852	0	50800	48002
2201	94	15	93	96266	0	50799	48001
3731	31	16	32	96185	0	50798	48000

2290	159	16	159	96392	0	50802	48004
2273	16	15	15	96338	0	50801	48003
1735	62	16	63	95780	1	50799	48001
2202	0	31	15	96365	0	50800	48002
1283	281	16	266	96131	0	50798	48000
1580	97	16	97	95978	1	50799	48001
1913	0	32	16	96194	0	50802	48004
1760	47	16	31	96257	0	50800	48002
